date,session,direction,fvg_upper,fvg_lower,fvg_formed_time_ny,entry_time_ny,entry_price,stop,target,target_type,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2024-08-23,midnight,LONG,1.11257,1.11247,2024-08-23 00:00,2024-08-23 00:28,1.11257,1.11241,1.1139,PDH,2024-08-23 02:00,1.11241,SL,-1.0,-1000.0
2024-08-26,midnight,SHORT,1.11846,1.11838,2024-08-26 00:04,2024-08-26 00:06,1.11838,1.11852,1.11054,PDL,2024-08-26 00:09,1.11852,SL,-1.0,-1000.0
2024-08-27,midnight,LONG,1.11677,1.11667,2024-08-27 00:00,2024-08-27 00:02,1.11677,1.11661,1.11788,PDH,2024-08-27 01:45,1.11661,SL,-1.0,-1000.0
2024-08-28,midnight,SHORT,1.11668,1.11661,2024-08-28 00:28,2024-08-28 00:30,1.11661,1.11674,1.11524,PDL,2024-08-28 01:18,1.11524,TP,10.538,10538.46
2024-08-30,midnight,LONG,1.10764,1.10754,2024-08-30 00:27,2024-08-30 00:29,1.10764,1.10748,1.10877,PDH,2024-08-30 00:31,1.10748,SL,-1.0,-1000.0
2024-09-02,midnight,LONG,1.10464,1.10454,2024-09-02 00:22,2024-09-02 00:33,1.10464,1.10448,1.10799,PDH,2024-09-02 23:59,1.1058,EOD,7.25,7250.0
2024-09-03,midnight,SHORT,1.1058,1.10569,2024-09-03 00:04,2024-09-03 00:16,1.10569,1.10586,1.10418,swing_low,2024-09-03 01:56,1.10586,SL,-1.0,-1000.0
2024-09-05,midnight,SHORT,1.10765,1.10761,2024-09-05 00:00,2024-09-05 00:37,1.10761,1.10771,1.10512,PDL,2024-09-05 00:40,1.10771,SL,-1.0,-1000.0
2024-09-06,midnight,LONG,1.11155,1.11146,2024-09-06 00:10,2024-09-06 00:12,1.11155,1.1114,1.11904,swing_high,2024-09-06 01:35,1.1114,SL,-1.0,-1000.0
2024-09-10,midnight,SHORT,1.10381,1.10377,2024-09-10 00:06,2024-09-10 00:21,1.10377,1.10387,1.1034,PDL,2024-09-10 00:39,1.10387,SL,-1.0,-1000.0
2024-09-13,midnight,SHORT,1.10877,1.10871,2024-09-13 00:03,2024-09-13 00:05,1.10871,1.10883,1.10297,PDL,2024-09-13 00:33,1.10883,SL,-1.0,-1000.0
2024-09-23,midnight,LONG,1.11627,1.1162,2024-09-23 00:18,2024-09-23 00:21,1.11627,1.11614,1.11757,PDH,2024-09-23 01:56,1.11614,SL,-1.0,-1000.0
2024-09-24,midnight,LONG,1.11144,1.11134,2024-09-24 00:24,2024-09-24 00:26,1.11144,1.11128,1.11432,PDH,2024-09-24 02:00,1.11128,SL,-1.0,-1000.0
2024-09-26,midnight,LONG,1.11404,1.11392,2024-09-26 00:15,2024-09-26 00:18,1.11404,1.11386,1.12075,PDH,2024-09-26 03:56,1.11386,SL,-1.0,-1000.0
2024-09-27,midnight,SHORT,1.11685,1.11676,2024-09-27 00:10,2024-09-27 01:11,1.11676,1.11691,1.11257,PDL,2024-09-27 02:22,1.11691,SL,-1.0,-1000.0
2024-10-01,midnight,LONG,1.11366,1.11353,2024-10-01 00:18,2024-10-01 00:20,1.11366,1.11347,1.11779,PDH,2024-10-01 02:01,1.11347,SL,-1.0,-1000.0
2024-10-03,midnight,SHORT,1.10338,1.10328,2024-10-03 00:04,2024-10-03 00:07,1.10328,1.10344,1.10326,PDL,2024-10-03 00:16,1.10344,SL,-1.0,-1000.0
2024-10-04,midnight,LONG,1.10288,1.1028,2024-10-04 00:28,2024-10-04 00:30,1.10288,1.10274,1.10437,PDH,2024-10-04 00:35,1.10274,SL,-1.0,-1000.0
2024-10-08,midnight,LONG,1.09841,1.09834,2024-10-08 00:00,2024-10-08 00:03,1.09841,1.09828,1.09867,PDH,2024-10-08 01:10,1.09828,SL,-1.0,-1000.0
2024-10-16,midnight,LONG,1.08927,1.08921,2024-10-16 00:06,2024-10-16 00:08,1.08927,1.08915,1.09165,PDH,2024-10-16 00:14,1.08915,SL,-1.0,-1000.0
2024-10-21,midnight,SHORT,1.08648,1.08639,2024-10-21 00:19,2024-10-21 00:21,1.08639,1.08654,1.08511,PDL,2024-10-21 02:52,1.08511,TP,8.533,8533.33
2024-10-24,midnight,LONG,1.07885,1.07869,2024-10-24 00:00,2024-10-24 00:02,1.07885,1.07863,1.08717,swing_high,2024-10-24 02:27,1.07863,SL,-1.0,-1000.0
2024-10-31,midnight,SHORT,1.0849,1.08481,2024-10-31 00:02,2024-10-31 00:05,1.08481,1.08496,1.08202,PDL,2024-10-31 00:48,1.08496,SL,-1.0,-1000.0
2024-11-04,midnight,SHORT,1.08971,1.0896,2024-11-04 00:00,2024-11-04 00:03,1.0896,1.08977,1.0834,PDL,2024-11-04 00:55,1.08977,SL,-1.0,-1000.0
2024-11-07,midnight,SHORT,1.07395,1.07388,2024-11-07 00:25,2024-11-07 00:27,1.07388,1.07401,1.06983,PDL,2024-11-07 00:29,1.07401,SL,-1.0,-1000.0
2024-11-08,midnight,LONG,1.0783,1.07821,2024-11-08 00:14,2024-11-08 00:17,1.0783,1.07815,1.08246,PDH,2024-11-08 00:43,1.07815,SL,-1.0,-1000.0
2024-11-13,midnight,SHORT,1.06138,1.06127,2024-11-13 00:17,2024-11-13 00:28,1.06127,1.06144,1.05949,PDL,2024-11-13 00:42,1.06144,SL,-1.0,-1000.0
2024-11-15,midnight,SHORT,1.05417,1.05402,2024-11-15 00:12,2024-11-15 00:15,1.05402,1.05423,1.05118,PDL,2024-11-15 00:18,1.05423,SL,-1.0,-1000.0
2024-11-18,midnight,SHORT,1.05381,1.05365,2024-11-18 00:09,2024-11-18 00:11,1.05365,1.05387,1.05163,PDL,2024-11-18 00:40,1.05387,SL,-1.0,-1000.0
2024-11-20,midnight,SHORT,1.05917,1.05908,2024-11-20 00:25,2024-11-20 00:27,1.05908,1.05923,1.05654,PDL,2024-11-20 01:35,1.05923,SL,-1.0,-1000.0
2024-11-21,midnight,SHORT,1.05499,1.05486,2024-11-21 00:27,2024-11-21 00:29,1.05486,1.05505,1.05068,PDL,2024-11-21 01:12,1.05505,SL,-1.0,-1000.0
2024-11-22,midnight,SHORT,1.04746,1.04734,2024-11-22 00:00,2024-11-22 02:23,1.04734,1.04752,1.04621,PDL,2024-11-22 02:24,1.04752,SL,-1.0,-1000.0
2024-11-25,midnight,SHORT,1.04787,1.04774,2024-11-25 00:03,2024-11-25 00:05,1.04774,1.04793,1.0392,PDL,2024-11-25 00:09,1.04793,SL,-1.0,-1000.0
2024-12-02,midnight,SHORT,1.05227,1.05205,2024-12-02 00:15,2024-12-02 00:28,1.05205,1.05233,1.0425,swing_low,2024-12-02 00:30,1.05233,SL,-1.0,-1000.0
2024-12-03,midnight,SHORT,1.04852,1.0483,2024-12-03 00:01,2024-12-03 00:05,1.0483,1.04858,1.04606,PDL,2024-12-03 00:11,1.04858,SL,-1.0,-1000.0
2024-12-05,midnight,LONG,1.05237,1.0522,2024-12-05 00:19,2024-12-05 00:28,1.05237,1.05214,1.05439,PDH,2024-12-05 03:02,1.05439,TP,8.783,8782.61
