day,setup_id,direction,range_high,range_low,range_points,bias_price,entry_time,entry,stop,target,exit_time,exit_price,reason,bars_held,r_gross,r_net
2019-03-28,setup_ny_fib_NDX100_20190328_BUY,LONG,7311.7,7296.0,15.699999999999818,7305.2,2019-03-28 14:01:00+00:00,7303.85,7299.7052,7321.402599999999,2019-03-28 14:11:00+00:00,7299.7052,SL,10,-1.0,-1.4277649102489833
2019-03-29,setup_ny_fib_NDX100_20190329_BUY,LONG,7366.5,7353.7,12.800000000000182,7364.6,2019-03-29 14:40:00+00:00,7360.1,7356.7208,7374.4104,2019-03-29 14:46:00+00:00,7356.7208,SL,6,-1.0,-1.5246803977272245
2019-04-01,setup_ny_fib_NDX100_20190401_BUY,LONG,7457.6,7430.6,27.0,7449.1,2019-04-01 14:03:00+00:00,7444.1,7436.972000000001,7474.286,2019-04-01 14:06:00+00:00,7436.972000000001,SL,3,-1.0,-1.2487373737373841
2019-04-02,setup_ny_fib_NDX100_20190402_SELL,SHORT,7483.3,7463.5,19.800000000000182,7465.3,2019-04-02 14:07:00+00:00,7473.4,7478.6272,7451.2636,2019-04-02 14:14:00+00:00,7478.6272,SL,7,-1.0,-1.3391873278236741
2019-04-03,setup_ny_fib_NDX100_20190403_SELL,SHORT,7547.6,7529.9,17.700000000000728,7538.3,2019-04-03 14:01:00+00:00,7538.75,7543.4228,7518.961399999999,2019-04-03 14:13:00+00:00,7543.4228,SL,12,-1.0,-1.3794298921417338
2019-04-04,setup_ny_fib_NDX100_20190404_BUY,LONG,7571.0,7540.2,30.800000000000182,7561.2,2019-04-04 14:09:00+00:00,7555.6,7547.4688,7590.0344000000005,2019-04-04 14:17:00+00:00,7547.4688,SL,8,-1.0,-1.218048996458068
2019-04-08,setup_ny_fib_NDX100_20190408_SELL,SHORT,7568.4,7535.5,32.899999999999636,7546.0,2019-04-08 14:05:00+00:00,7551.95,7560.6356,7515.1678,2019-04-08 14:19:00+00:00,7560.6356,SL,14,-1.0,-1.204130975407576
2019-04-09,setup_ny_fib_NDX100_20190409_BUY,LONG,7584.0,7559.2,24.800000000000182,7577.5,2019-04-09 14:50:00+00:00,7571.6,7565.0527999999995,7599.3264,2019-04-09 18:04:00+00:00,7565.0527999999995,SL,194,-1.0,-1.270802785923717
2019-04-10,setup_ny_fib_NDX100_20190410_BUY,LONG,7592.2,7572.7,19.5,7588.5,2019-04-10 14:05:00+00:00,7582.45,7577.302,7604.251,2019-04-10 14:07:00+00:00,7577.302,SL,2,-1.0,-1.3444055944055853
2019-04-11,setup_ny_fib_NDX100_20190411_SELL,SHORT,7623.7,7591.2,32.5,7597.7,2019-04-11 14:40:00+00:00,7607.45,7616.03,7571.115,2019-04-12 08:03:00+00:00,7616.03,SL,964,-1.0,-1.2066433566433583
2019-04-12,setup_ny_fib_NDX100_20190412_BUY,LONG,7631.1,7614.2,16.900000000000546,7623.0,2019-04-12 14:01:00+00:00,7622.65,7618.1884,7641.5442,2019-04-12 14:08:00+00:00,7618.1884,SL,7,-1.0,-1.3973910704680261
