day,setup_id,direction,range_high,range_low,range_points,atr,break_time,morning_extreme,entry_time,entry,stop,target,exit_time,exit_price,reason,bars_held,r_gross,r_net
2019-03-28,setup_or_fib_NDX100_20190328_BUY,LONG,7307.5,7296.0,11.5,9.815235968592802,2019-03-28 13:50:00+00:00,7312.4,2019-03-28 14:11:00+00:00,7300.393,7298.231000000001,7310.628,2019-03-28 14:19:00+00:00,7310.628,TP,8,4.734042553192756,3.913968547642094
2019-03-29,setup_or_fib_NDX100_20190329_BUY,LONG,7362.7,7353.7,9.0,6.714436118953315,2019-03-29 13:45:00+00:00,7379.0,2019-03-29 14:46:00+00:00,7357.138,7355.446,7365.148,2019-03-29 14:46:00+00:00,7355.446,SL,0,-1.0,-2.0478723404255277
2019-04-01,setup_or_fib_NDX100_20190401_SELL,SHORT,7457.6,7435.1,22.5,6.390906872936394,2019-04-01 13:54:00+00:00,7430.6,2019-04-01 14:00:00+00:00,7449.005,7453.235000000001,7428.9800000000005,2019-04-01 14:09:00+00:00,7428.9800000000005,TP,9,4.734042553190874,4.314893617020708
2019-04-02,setup_or_fib_NDX100_20190402_SELL,SHORT,7483.3,7468.3,15.0,4.428927411477272,2019-04-02 13:57:00+00:00,7461.3,2019-04-02 14:13:00+00:00,7477.570000000001,7480.39,7464.22,2019-04-02 14:17:00+00:00,7480.39,SL,4,-1.0,-1.628723404255384
2019-04-03,setup_or_fib_NDX100_20190403_BUY,LONG,7544.4,7529.9,14.5,5.510802674542222,2019-04-03 13:47:00+00:00,7547.6,2019-04-03 14:00:00+00:00,7535.438999999999,7532.713,7548.344,2019-04-03 14:00:00+00:00,7532.713,SL,0,-1.0,-1.6504035216435151
2019-04-04,setup_or_fib_NDX100_20190404_BUY,LONG,7565.6,7540.2,25.400000000000546,5.925353432325425,2019-04-04 13:45:00+00:00,7571.0,2019-04-04 14:16:00+00:00,7549.9028,7545.1276,7572.5088000000005,2019-04-04 14:17:00+00:00,7545.1276,SL,1,-1.0,-1.3712933489696735
2019-04-12,setup_or_fib_NDX100_20190412_SELL,SHORT,7631.1,7619.7,11.400000000000546,6.418507040603247,2019-04-12 13:47:00+00:00,7614.2,2019-04-12 14:28:00+00:00,7626.7452,7628.888400000001,7616.5992,2019-04-12 14:30:00+00:00,7628.888400000001,SL,2,-1.0,-1.8272676371778842
2019-04-16,setup_or_fib_NDX100_20190416_BUY,LONG,7657.5,7646.7,10.800000000000182,4.752336295437299,2019-04-16 14:00:00+00:00,7670.7,2019-04-16 14:45:00+00:00,7650.8256,7648.7952,7660.4376,2019-04-16 15:07:00+00:00,7660.4376,TP,22,4.734042553190236,3.860815602835865
2019-04-24,setup_or_fib_NDX100_20190424_SELL,SHORT,7824.2,7804.7,19.5,5.134639160585105,2019-04-24 13:45:00+00:00,7793.5,2019-04-24 14:18:00+00:00,7816.751,7820.417,7799.396,2019-04-24 14:36:00+00:00,7820.417,SL,18,-1.0,-1.483633387888685
2019-04-25,setup_or_fib_NDX100_20190425_SELL,SHORT,7845.5,7811.8,33.69999999999982,5.619698640913909,2019-04-25 14:12:00+00:00,7776.4,2019-04-25 15:36:00+00:00,7832.6266000000005,7838.9622,7802.6336,2019-04-25 15:52:00+00:00,7838.9622,SL,16,-1.0,-1.2798472125765767
