date,bias,htf_structure,liquidity_swept,premium_discount,htf_fvg_nearby,accum_candles,accum_high,accum_low,breakout_time_ny,retest_A,retest_B_low,retest_B_high,entry_time_ny,entry_price,entry_level,stop,target,target_type,rr,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2025-10-08,LONG,BULLISH,True,PREMIUM,True,2,24931.9,24920.2,2025-10-08 09:44,24931.9,24928.6,24928.6,2025-10-08 09:45,24931.9,A,24906.2,25009.0,PDH_capped_3R,3.0,2025-10-08 10:01,25009.0,TP,3.0,600.0
2025-10-16,SHORT,BEARISH,True,PREMIUM,True,2,24921.1,24901.3,2025-10-16 09:39,24901.3,24895.55,24895.55,2025-10-16 09:40,24895.55,B,24931.1,24788.9,London_low_capped_3R,3.0,2025-10-16 09:45,24931.1,SL,-1.0,-200.0
2025-11-12,SHORT,BEARISH,True,PREMIUM,True,2,25608.6,25580.8,2025-11-12 09:40,25580.8,25564.5,25570.1,2025-11-12 09:41,25564.5,B,25618.6,25402.2,PDL_capped_3R,3.0,2025-11-12 11:11,25402.2,TP,3.0,600.0
2025-12-09,LONG,BULLISH,True,PREMIUM,True,2,25588.9,25570.2,2025-12-09 09:46,25588.9,25589.0,25589.0,2025-12-09 09:47,25589.0,B,25560.2,25675.4,London_high_capped_3R,3.0,2025-12-09 11:16,25675.4,TP,3.0,600.0
2025-12-18,SHORT,BEARISH,True,DISCOUNT,True,2,25031.0,25006.7,2025-12-18 09:38,25006.7,24988.0,25011.0,2025-12-18 09:39,24988.0,B,25041.0,24829.0,London_low_capped_3R,3.0,2025-12-18 09:58,25041.0,SL,-1.0,-200.0
2026-02-02,LONG,BULLISH,True,DISCOUNT,True,2,25598.8,25571.6,2026-02-02 09:45,25598.8,25606.0,25606.0,2026-02-02 09:46,25606.0,B,25561.6,25739.2,PDH_capped_3R,3.0,2026-02-02 10:12,25739.2,TP,3.0,600.0
2026-02-16,SHORT,BEARISH,True,DISCOUNT,True,6,24708.2,24680.0,2026-02-16 09:36,24680.0,24679.9,24679.9,2026-02-16 09:37,24679.9,B,24718.2,24565.0,PDL_capped_3R,3.0,2026-02-16 10:00,24718.2,SL,-1.0,-200.0
2026-03-18,LONG,BULLISH,True,PREMIUM,False,3,24730.6,24696.9,2026-03-18 09:39,24730.6,24738.5,24738.5,2026-03-18 09:40,24738.5,B,24686.9,24881.3,PDH,2.77,2026-03-18 10:03,24686.9,SL,-1.0,-200.0
2026-03-19,LONG,BULLISH,True,DISCOUNT,False,2,24183.0,24153.0,2026-03-19 09:44,24183.0,24213.3,24213.3,2026-03-19 09:45,24213.3,B,24143.0,24415.1,London_high,2.87,2026-03-19 15:06,24415.1,TP,2.871,574.11
2026-03-20,LONG,BULLISH,True,DISCOUNT,True,2,24193.3,24166.6,2026-03-20 09:36,24193.3,24187.0,24187.0,2026-03-20 09:37,24193.3,A,24156.6,24303.4,London_high_capped_3R,3.0,2026-03-20 09:50,24156.6,SL,-1.0,-200.0
2026-03-24,SHORT,BEARISH,True,DISCOUNT,False,2,24052.5,24016.0,2026-03-24 09:39,24016.0,23997.0,24023.7,2026-03-24 09:40,23997.0,B,24062.5,23800.5,swing_low_capped_3R,3.0,2026-03-24 10:07,24062.5,SL,-1.0,-200.0
2026-04-02,SHORT,BEARISH,True,DISCOUNT,True,2,23616.2,23585.5,2026-04-02 09:44,23585.5,23524.9,23524.9,2026-04-02 09:45,23524.9,B,23626.2,23221.0,swing_low_capped_3R,3.0,2026-04-02 09:51,23626.2,SL,-1.0,-200.0
2026-04-23,LONG,BULLISH,True,PREMIUM,False,2,26864.7,26844.4,2026-04-23 09:35,26864.7,26860.5,26860.5,2026-04-23 09:36,26864.7,A,26834.4,26938.8,PDH,2.45,2026-04-23 09:47,26938.8,TP,2.446,489.11
2026-04-28,LONG,BULLISH,True,PREMIUM,True,2,27015.3,26991.3,2026-04-28 09:38,27015.3,27037.85,27037.85,2026-04-28 09:39,27037.85,B,26981.3,27207.5,London_high_capped_3R,3.0,2026-04-28 10:35,26981.3,SL,-1.0,-200.0
2026-05-20,LONG,BULLISH,True,PREMIUM,True,2,28979.6,28938.4,2026-05-20 09:46,28979.6,29067.2,29072.1,2026-05-20 09:47,29072.1,B,28928.4,29503.2,swing_high_capped_3R,3.0,2026-05-20 10:12,28928.4,SL,-1.0,-200.0
2026-07-01,LONG,BULLISH,True,PREMIUM,True,3,29874.1,29822.0,2026-07-01 09:40,29874.1,29862.75,29862.75,2026-07-01 09:41,29874.1,A,29812.0,30060.4,London_high_capped_3R,3.0,2026-07-01 11:20,30060.4,TP,3.0,600.0
2026-07-09,LONG,BULLISH,True,PREMIUM,True,2,29643.0,29609.0,2026-07-09 09:45,29643.0,29653.55,29653.55,2026-07-09 09:46,29653.55,B,29599.0,29817.2,swing_high_capped_3R,3.0,2026-07-09 09:49,29599.0,SL,-1.0,-200.0
2026-07-29,SHORT,BEARISH,True,DISCOUNT,True,2,27846.5,27806.4,2026-07-29 09:36,27806.4,27788.0,27806.4,2026-07-29 09:37,27788.0,B,27856.5,27584.4,London_low,2.97,2026-07-29 09:52,27584.4,TP,2.972,594.45
2026-08-04,LONG,BULLISH,True,PREMIUM,True,3,29293.8,29240.1,2026-08-04 09:43,29293.8,29314.55,29314.55,2026-08-04 09:44,29314.55,B,29230.1,29567.9,swing_high_capped_3R,3.0,2026-08-04 11:47,29567.9,TP,3.0,600.0
2026-08-07,LONG,BULLISH,True,PREMIUM,True,2,29662.3,29620.6,2026-08-07 09:52,29662.3,29667.35,29667.35,2026-08-07 09:53,29667.35,B,29610.6,29837.6,swing_high_capped_3R,3.0,2026-08-07 09:56,29610.6,SL,-1.0,-200.0
