date,bias,htf_structure,liquidity_swept,premium_discount,htf_fvg_nearby,accum_candles,accum_high,accum_low,breakout_time_ny,retest_A,retest_B_low,retest_B_high,entry_time_ny,entry_price,entry_level,stop,target,target_type,rr,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2025-09-10,LONG,BULLISH,True,PREMIUM,False,2,23906.0,23887.8,2025-09-10 09:43,23906.0,23902.05,23902.05,2025-09-10 09:44,23906.0,A,23877.8,23990.6,FIXED_3R,3.0,2025-09-10 09:51,23877.8,SL,-1.0,-1000.0
2025-09-12,LONG,BULLISH,True,PREMIUM,False,2,23996.4,23983.1,2025-09-12 09:48,23996.4,24008.5,24008.5,2025-09-12 09:49,24008.5,B,23973.1,24114.7,FIXED_3R,3.0,2025-09-12 14:33,24114.7,TP,3.0,3000.0
2025-09-15,LONG,BULLISH,True,PREMIUM,False,2,24190.5,24176.9,2025-09-15 09:37,24190.5,24186.35,24186.35,2025-09-15 09:38,24190.5,A,24166.9,24261.3,FIXED_3R,3.0,2025-09-15 11:50,24261.3,TP,3.0,3000.0
2025-10-08,LONG,BULLISH,True,PREMIUM,True,2,24931.9,24920.2,2025-10-08 09:44,24931.9,24928.6,24928.6,2025-10-08 09:45,24931.9,A,24906.2,25009.0,FIXED_3R,3.0,2025-10-08 10:01,25009.0,TP,3.0,3000.0
2025-10-16,SHORT,BEARISH,True,PREMIUM,True,2,24921.1,24901.3,2025-10-16 09:39,24901.3,24895.55,24895.55,2025-10-16 09:40,24895.55,B,24931.1,24788.9,FIXED_3R,3.0,2025-10-16 09:45,24931.1,SL,-1.0,-1000.0
2025-11-05,SHORT,BEARISH,True,DISCOUNT,True,2,25423.3,25394.9,2025-11-05 09:36,25394.9,25378.8,25378.8,2025-11-05 09:37,25378.8,B,25433.3,25215.3,FIXED_3R,3.0,2025-11-05 09:39,25433.3,SL,-1.0,-1000.0
2025-11-12,SHORT,BEARISH,True,PREMIUM,True,2,25608.6,25580.8,2025-11-12 09:40,25580.8,25564.5,25570.1,2025-11-12 09:41,25564.5,B,25618.6,25402.2,FIXED_3R,3.0,2025-11-12 11:11,25402.2,TP,3.0,3000.0
2025-11-20,SHORT,BEARISH,True,PREMIUM,True,2,25136.7,25099.5,2025-11-20 09:40,25099.5,25110.5,25110.5,2025-11-20 09:41,25099.5,A,25151.7,24942.9,FIXED_3R,3.0,2025-11-20 09:47,25151.7,SL,-1.0,-1000.0
2025-11-26,SHORT,BEARISH,True,PREMIUM,True,4,25207.1,25165.0,2025-11-26 09:37,25165.0,25157.8,25177.0,2025-11-26 09:38,25157.8,B,25217.1,24979.9,FIXED_3R,3.0,2025-11-26 11:02,25217.1,SL,-1.0,-1000.0
2025-11-27,LONG,BULLISH,True,PREMIUM,True,2,25254.0,25246.2,2025-11-27 09:33,25254.0,25252.1,25252.1,2025-11-27 09:34,25254.0,A,25236.2,25307.4,FIXED_3R,3.0,2025-11-27 09:37,25236.2,SL,-1.0,-1000.0
2025-12-09,LONG,BULLISH,True,PREMIUM,True,2,25588.9,25570.2,2025-12-09 09:46,25588.9,25589.0,25589.0,2025-12-09 09:47,25589.0,B,25560.2,25675.4,FIXED_3R,3.0,2025-12-09 11:16,25675.4,TP,3.0,3000.0
2025-12-18,SHORT,BEARISH,True,DISCOUNT,True,2,25031.0,25006.7,2025-12-18 09:38,25006.7,24988.0,25011.0,2025-12-18 09:39,24988.0,B,25041.0,24829.0,FIXED_3R,3.0,2025-12-18 09:58,25041.0,SL,-1.0,-1000.0
2026-02-02,LONG,BULLISH,True,DISCOUNT,True,2,25598.8,25571.6,2026-02-02 09:45,25598.8,25606.0,25606.0,2026-02-02 09:46,25606.0,B,25561.6,25739.2,FIXED_3R,3.0,2026-02-02 10:12,25739.2,TP,3.0,3000.0
2026-02-10,SHORT,BEARISH,True,PREMIUM,True,2,25290.6,25260.5,2026-02-10 09:36,25260.5,25249.4,25270.5,2026-02-10 09:37,25249.4,B,25300.6,25095.8,FIXED_3R,3.0,2026-02-10 09:55,25300.6,SL,-1.0,-1000.0
2026-02-16,SHORT,BEARISH,True,DISCOUNT,True,6,24708.2,24680.0,2026-02-16 09:36,24680.0,24679.9,24679.9,2026-02-16 09:37,24679.9,B,24718.2,24565.0,FIXED_3R,3.0,2026-02-16 10:00,24718.2,SL,-1.0,-1000.0
2026-02-20,SHORT,BEARISH,True,DISCOUNT,False,2,24877.9,24844.6,2026-02-20 09:53,24844.6,24806.35,24806.35,2026-02-20 09:54,24806.35,B,24887.9,24561.7,FIXED_3R,3.0,2026-02-20 10:01,24887.9,SL,-1.0,-1000.0
2026-02-23,SHORT,BEARISH,True,PREMIUM,True,2,24854.8,24827.7,2026-02-23 09:44,24827.7,24835.85,24835.85,2026-02-23 09:45,24827.7,A,24867.4,24708.6,FIXED_3R,3.0,2026-02-23 09:50,24867.4,SL,-1.0,-1000.0
2026-03-16,LONG,BULLISH,True,PREMIUM,False,4,24700.9,24662.4,2026-03-16 09:45,24700.9,24663.9,24696.2,2026-03-16 09:46,24700.9,A,24645.9,24865.9,FIXED_3R,3.0,2026-03-16 10:38,24645.9,SL,-1.0,-1000.0
2026-03-18,LONG,BULLISH,True,PREMIUM,False,3,24730.6,24696.9,2026-03-18 09:39,24730.6,24738.5,24738.5,2026-03-18 09:40,24738.5,B,24686.9,24893.3,FIXED_3R,3.0,2026-03-18 10:03,24686.9,SL,-1.0,-1000.0
2026-03-19,LONG,BULLISH,True,DISCOUNT,False,2,24183.0,24153.0,2026-03-19 09:44,24183.0,24213.3,24213.3,2026-03-19 09:45,24213.3,B,24143.0,24424.2,FIXED_3R,3.0,2026-03-19 15:06,24424.2,TP,3.0,3000.0
2026-03-20,LONG,BULLISH,True,DISCOUNT,True,2,24193.3,24166.6,2026-03-20 09:36,24193.3,24187.0,24187.0,2026-03-20 09:37,24193.3,A,24156.6,24303.4,FIXED_3R,3.0,2026-03-20 09:50,24156.6,SL,-1.0,-1000.0
2026-03-24,SHORT,BEARISH,True,DISCOUNT,False,2,24052.5,24016.0,2026-03-24 09:39,24016.0,23997.0,24023.7,2026-03-24 09:40,23997.0,B,24062.5,23800.5,FIXED_3R,3.0,2026-03-24 10:07,24062.5,SL,-1.0,-1000.0
2026-03-30,SHORT,BEARISH,True,DISCOUNT,False,2,23287.4,23244.5,2026-03-30 09:45,23244.5,23214.4,23214.4,2026-03-30 09:46,23214.4,B,23297.4,22965.4,FIXED_3R,3.0,2026-03-30 14:48,22965.4,TP,3.0,3000.0
2026-04-01,SHORT,BEARISH,True,PREMIUM,True,3,24007.0,23967.8,2026-04-01 09:47,23967.8,23898.15,23898.15,2026-04-01 09:48,23898.15,B,24017.0,23541.6,FIXED_3R,3.0,2026-04-01 10:22,24017.0,SL,-1.0,-1000.0
2026-04-02,SHORT,BEARISH,True,DISCOUNT,True,2,23616.2,23585.5,2026-04-02 09:44,23585.5,23524.9,23524.9,2026-04-02 09:45,23524.9,B,23626.2,23221.0,FIXED_3R,3.0,2026-04-02 09:51,23626.2,SL,-1.0,-1000.0
2026-04-14,LONG,BULLISH,True,PREMIUM,False,3,25585.0,25564.7,2026-04-14 09:45,25585.0,25591.5,25591.5,2026-04-14 09:46,25591.5,B,25554.7,25701.9,FIXED_3R,3.0,2026-04-14 10:04,25554.7,SL,-1.0,-1000.0
2026-04-15,LONG,BULLISH,True,PREMIUM,False,2,25872.3,25850.0,2026-04-15 09:41,25872.3,25886.9,25886.9,2026-04-15 09:42,25886.9,B,25840.0,26027.6,FIXED_3R,3.0,2026-04-15 09:44,25840.0,SL,-1.0,-1000.0
2026-04-17,LONG,BULLISH,True,PREMIUM,False,2,26547.5,26527.8,2026-04-17 09:44,26547.5,26546.75,26546.75,2026-04-17 09:45,26547.5,A,26517.8,26636.6,FIXED_3R,3.0,2026-04-17 09:46,26517.8,SL,-1.0,-1000.0
2026-04-23,LONG,BULLISH,True,PREMIUM,False,2,26864.7,26844.4,2026-04-23 09:35,26864.7,26860.5,26860.5,2026-04-23 09:36,26864.7,A,26834.4,26955.6,FIXED_3R,3.0,2026-04-23 10:00,26834.4,SL,-1.0,-1000.0
2026-04-24,LONG,BULLISH,True,PREMIUM,False,2,27078.9,27058.7,2026-04-24 09:41,27078.9,27105.8,27105.8,2026-04-24 09:42,27105.8,B,27048.7,27277.1,FIXED_3R,3.0,2026-04-24 09:53,27048.7,SL,-1.0,-1000.0
2026-04-28,LONG,BULLISH,True,PREMIUM,True,2,27015.3,26991.3,2026-04-28 09:38,27015.3,27037.85,27037.85,2026-04-28 09:39,27037.85,B,26981.3,27207.5,FIXED_3R,3.0,2026-04-28 10:35,26981.3,SL,-1.0,-1000.0
2026-04-29,LONG,BULLISH,True,PREMIUM,True,2,27025.0,27000.5,2026-04-29 09:39,27025.0,27041.95,27041.95,2026-04-29 09:44,27041.95,B,26990.5,27196.3,FIXED_3R,3.0,2026-04-29 15:15,27196.3,TP,3.0,3000.0
2026-04-30,LONG,BULLISH,True,PREMIUM,True,2,27169.2,27140.5,2026-04-30 09:42,27169.2,27160.3,27160.3,2026-04-30 09:43,27169.2,A,27130.5,27285.3,FIXED_3R,3.0,2026-04-30 09:52,27130.5,SL,-1.0,-1000.0
2026-05-01,LONG,BULLISH,True,PREMIUM,False,4,27624.6,27596.8,2026-05-01 09:45,27624.6,27651.6,27651.6,2026-05-01 09:46,27651.6,B,27586.8,27846.0,FIXED_3R,3.0,2026-05-01 15:59,27711.8,EOD,0.929,929.01
2026-05-05,LONG,BULLISH,True,PREMIUM,False,2,27919.1,27894.9,2026-05-05 09:44,27919.1,27953.7,27962.4,2026-05-05 09:45,27962.4,B,27884.9,28194.9,FIXED_3R,3.0,2026-05-05 18:52,28194.9,TP,3.0,3000.0
2026-05-06,LONG,BULLISH,True,PREMIUM,False,2,28340.2,28317.2,2026-05-06 09:48,28340.2,28352.45,28352.45,2026-05-06 09:49,28352.45,B,28307.2,28488.2,FIXED_3R,3.0,2026-05-06 09:51,28307.2,SL,-1.0,-1000.0
2026-05-07,LONG,BULLISH,True,PREMIUM,False,2,28636.0,28608.5,2026-05-07 09:36,28636.0,28640.4,28640.4,2026-05-07 09:37,28640.4,B,28598.5,28766.1,FIXED_3R,3.0,2026-05-07 09:45,28598.5,SL,-1.0,-1000.0
