date,bias,htf_structure,liquidity_swept,premium_discount,htf_fvg_nearby,accum_candles,accum_high,accum_low,breakout_time_ny,retest_A,retest_B_low,retest_B_high,entry_time_ny,entry_price,entry_level,stop,target,target_type,rr,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2026-05-22,LONG,BULLISH,True,PREMIUM,True,2,29577.0,29552.7,2026-05-22 09:40,29577.0,29600.35,29600.35,2026-05-22 09:41,29600.35,B,29542.7,29773.3,FIXED_3R,3.0,2026-05-22 09:42,29542.7,SL,-1.0,-1000.0
2026-05-25,LONG,BULLISH,True,PREMIUM,False,8,29898.2,29867.2,2026-05-25 09:44,29898.2,29896.6,29896.6,2026-05-25 09:47,29898.2,A,29857.2,30021.2,FIXED_3R,3.0,2026-05-25 10:32,29857.2,SL,-1.0,-1000.0
2026-06-09,SHORT,BEARISH,True,DISCOUNT,True,2,29691.8,29656.4,2026-06-09 09:41,29656.4,29640.8,29640.8,2026-06-09 09:42,29640.8,B,29701.8,29457.8,FIXED_3R,3.0,2026-06-09 09:43,29701.8,SL,-1.0,-1000.0
2026-06-11,SHORT,BEARISH,True,DISCOUNT,False,2,28704.4,28649.7,2026-06-11 09:38,28649.7,28673.9,28709.9,2026-06-11 09:39,28649.7,A,28749.3,28350.9,FIXED_3R,3.0,2026-06-11 09:45,28749.3,SL,-1.0,-1000.0
2026-06-12,SHORT,BEARISH,True,DISCOUNT,True,3,29413.3,29365.5,2026-06-12 09:46,29365.5,29242.1,29242.1,2026-06-12 09:47,29242.1,B,29423.3,28698.5,FIXED_3R,3.0,2026-06-12 10:02,29423.3,SL,-1.0,-1000.0
2026-06-24,SHORT,BEARISH,True,DISCOUNT,True,2,29522.7,29487.1,2026-06-24 09:36,29487.1,29485.15,29485.15,2026-06-24 09:37,29485.15,B,29542.0,29314.6,FIXED_3R,3.0,2026-06-24 09:42,29314.6,TP,3.0,3000.0
2026-06-25,SHORT,BEARISH,True,PREMIUM,True,2,29729.3,29687.2,2026-06-25 09:45,29687.2,29408.6,29441.8,2026-06-25 09:46,29408.6,B,29739.3,28416.5,FIXED_3R,3.0,2026-06-25 23:59,29062.4,EOD,1.047,1046.87
2026-07-01,LONG,BULLISH,True,PREMIUM,True,3,29874.1,29822.0,2026-07-01 09:40,29874.1,29862.75,29862.75,2026-07-01 09:41,29874.1,A,29812.0,30060.4,FIXED_3R,3.0,2026-07-01 11:20,30060.4,TP,3.0,3000.0
2026-07-02,LONG,BULLISH,True,PREMIUM,True,2,29944.4,29900.2,2026-07-02 09:53,29944.4,29974.6,29974.6,2026-07-02 09:54,29974.6,B,29890.2,30227.8,FIXED_3R,3.0,2026-07-02 10:10,29890.2,SL,-1.0,-1000.0
2026-07-09,LONG,BULLISH,True,PREMIUM,True,2,29643.0,29609.0,2026-07-09 09:45,29643.0,29653.55,29653.55,2026-07-09 09:46,29653.55,B,29599.0,29817.2,FIXED_3R,3.0,2026-07-09 09:49,29599.0,SL,-1.0,-1000.0
2026-07-24,SHORT,BEARISH,True,DISCOUNT,False,2,28377.0,28336.0,2026-07-24 09:40,28336.0,28345.85,28345.85,2026-07-24 09:41,28336.0,A,28387.0,28183.0,FIXED_3R,3.0,2026-07-24 09:53,28183.0,TP,3.0,3000.0
2026-07-27,SHORT,BEARISH,True,DISCOUNT,True,2,28454.0,28418.2,2026-07-27 09:38,28418.2,28396.8,28418.2,2026-07-27 09:39,28396.8,B,28464.0,28195.2,FIXED_3R,3.0,2026-07-27 09:58,28195.2,TP,3.0,3000.0
2026-07-29,SHORT,BEARISH,True,DISCOUNT,True,2,27846.5,27806.4,2026-07-29 09:36,27806.4,27788.0,27806.4,2026-07-29 09:37,27788.0,B,27856.5,27582.5,FIXED_3R,3.0,2026-07-29 09:52,27582.5,TP,3.0,3000.0
2026-08-04,LONG,BULLISH,True,PREMIUM,True,3,29293.8,29240.1,2026-08-04 09:43,29293.8,29314.55,29314.55,2026-08-04 09:44,29314.55,B,29230.1,29567.9,FIXED_3R,3.0,2026-08-04 11:47,29567.9,TP,3.0,3000.0
2026-08-05,LONG,BULLISH,True,PREMIUM,False,2,29875.2,29829.9,2026-08-05 09:41,29875.2,29890.75,29890.75,2026-08-05 09:42,29890.75,B,29819.9,30103.3,FIXED_3R,3.0,2026-08-05 10:02,29819.9,SL,-1.0,-1000.0
2026-08-07,LONG,BULLISH,True,PREMIUM,True,2,29662.3,29620.6,2026-08-07 09:52,29662.3,29667.35,29667.35,2026-08-07 09:53,29667.35,B,29610.6,29837.6,FIXED_3R,3.0,2026-08-07 09:56,29610.6,SL,-1.0,-1000.0
2026-08-21,SHORT,BEARISH,True,DISCOUNT,True,2,29303.2,29274.0,2026-08-21 09:42,29274.0,29258.85,29258.85,2026-08-21 09:43,29258.85,B,29313.2,29095.8,FIXED_3R,3.0,2026-08-21 11:34,29313.2,SL,-1.0,-1000.0
