date,bias,htf_structure,liquidity_swept,premium_discount,htf_fvg_nearby,accum_candles,accum_high,accum_low,breakout_time_ny,retest_A,retest_B_low,retest_B_high,entry_time_ny,entry_price,entry_level,stop,target,target_type,rr,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2026-03-18,LONG,BULLISH,True,PREMIUM,False,3,24730.6,24696.9,2026-03-18 09:39,24730.6,24738.5,24738.5,2026-03-18 09:40,24738.5,B,24686.9,24881.3,PDH,2.77,2026-03-18 10:03,24686.9,SL,-1.0,-1000.0
2026-03-19,LONG,BULLISH,True,DISCOUNT,False,2,24183.0,24153.0,2026-03-19 09:44,24183.0,24213.3,24213.3,2026-03-19 09:45,24213.3,B,24143.0,24415.1,London_high,2.87,2026-03-19 15:06,24415.1,TP,2.871,2870.55
2026-03-20,LONG,BULLISH,True,DISCOUNT,True,2,24193.3,24166.6,2026-03-20 09:36,24193.3,24187.0,24187.0,2026-03-20 09:37,24193.3,A,24156.6,24303.4,London_high_capped_3R,3.0,2026-03-20 09:50,24156.6,SL,-1.0,-1000.0
2026-03-24,SHORT,BEARISH,True,DISCOUNT,False,2,24052.5,24016.0,2026-03-24 09:39,24016.0,23997.0,24023.7,2026-03-24 09:40,23997.0,B,24062.5,23800.5,swing_low_capped_3R,3.0,2026-03-24 10:07,24062.5,SL,-1.0,-1000.0
2026-04-02,SHORT,BEARISH,True,DISCOUNT,True,2,23616.2,23585.5,2026-04-02 09:44,23585.5,23524.9,23524.9,2026-04-02 09:45,23524.9,B,23626.2,23221.0,swing_low_capped_3R,3.0,2026-04-02 09:51,23626.2,SL,-1.0,-1000.0
2026-04-23,LONG,BULLISH,True,PREMIUM,False,2,26864.7,26844.4,2026-04-23 09:35,26864.7,26860.5,26860.5,2026-04-23 09:36,26864.7,A,26834.4,26938.8,PDH,2.45,2026-04-23 09:47,26938.8,TP,2.446,2445.54
2026-04-28,LONG,BULLISH,True,PREMIUM,True,2,27015.3,26991.3,2026-04-28 09:38,27015.3,27037.85,27037.85,2026-04-28 09:39,27037.85,B,26981.3,27207.5,London_high_capped_3R,3.0,2026-04-28 10:35,26981.3,SL,-1.0,-1000.0
2026-05-20,LONG,BULLISH,True,PREMIUM,True,2,28979.6,28938.4,2026-05-20 09:46,28979.6,29067.2,29072.1,2026-05-20 09:47,29072.1,B,28928.4,29503.2,swing_high_capped_3R,3.0,2026-05-20 10:12,28928.4,SL,-1.0,-1000.0
2026-07-01,LONG,BULLISH,True,PREMIUM,True,3,29874.1,29822.0,2026-07-01 09:40,29874.1,29862.75,29862.75,2026-07-01 09:41,29874.1,A,29812.0,30060.4,London_high_capped_3R,3.0,2026-07-01 11:20,30060.4,TP,3.0,3000.0
2026-07-09,LONG,BULLISH,True,PREMIUM,True,2,29643.0,29609.0,2026-07-09 09:45,29643.0,29653.55,29653.55,2026-07-09 09:46,29653.55,B,29599.0,29817.2,swing_high_capped_3R,3.0,2026-07-09 09:49,29599.0,SL,-1.0,-1000.0
2026-07-29,SHORT,BEARISH,True,DISCOUNT,True,2,27846.5,27806.4,2026-07-29 09:36,27806.4,27788.0,27806.4,2026-07-29 09:37,27788.0,B,27856.5,27584.4,London_low,2.97,2026-07-29 09:52,27584.4,TP,2.972,2972.26
2026-08-04,LONG,BULLISH,True,PREMIUM,True,3,29293.8,29240.1,2026-08-04 09:43,29293.8,29314.55,29314.55,2026-08-04 09:44,29314.55,B,29230.1,29567.9,swing_high_capped_3R,3.0,2026-08-04 11:47,29567.9,TP,3.0,3000.0
2026-08-07,LONG,BULLISH,True,PREMIUM,True,2,29662.3,29620.6,2026-08-07 09:52,29662.3,29667.35,29667.35,2026-08-07 09:53,29667.35,B,29610.6,29837.6,swing_high_capped_3R,3.0,2026-08-07 09:56,29610.6,SL,-1.0,-1000.0
