date,bias,htf_structure,liquidity_swept,premium_discount,htf_fvg_nearby,accum_candles,accum_high,accum_low,breakout_time_ny,retest_A,retest_B_low,retest_B_high,entry_time_ny,entry_price,entry_level,stop,target,target_type,rr,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2024-09-20,LONG,BULLISH,True,PREMIUM,False,2,19813.79,19797.04,2024-09-20 09:47,19813.79,19816.54,19816.54,2024-09-20 09:48,19816.54,B,19787.04,19905.04,FIXED_3R,3.0,2024-09-20 09:56,19787.04,SL,-1.0,-1000.0
2024-09-25,LONG,BULLISH,True,PREMIUM,False,2,19954.14,19935.64,2024-09-25 09:33,19954.14,19951.52,19963.62,2024-09-25 09:34,19963.62,B,19925.64,20077.56,FIXED_3R,3.0,2024-09-25 09:42,19925.64,SL,-1.0,-1000.0
2024-09-27,LONG,BULLISH,True,PREMIUM,False,2,20117.19,20103.19,2024-09-27 09:45,20117.19,20115.81,20119.44,2024-09-27 09:46,20119.44,B,20093.19,20198.19,FIXED_3R,3.0,2024-09-27 10:12,20093.19,SL,-1.0,-1000.0
2024-09-30,LONG,BULLISH,True,PREMIUM,False,2,20028.75,20009.25,2024-09-30 09:36,20028.75,20028.75,20041.25,2024-09-30 09:37,20041.25,B,19999.25,20167.25,FIXED_3R,3.0,2024-09-30 09:59,19999.25,SL,-1.0,-1000.0
2024-10-03,LONG,BULLISH,True,DISCOUNT,False,4,19780.04,19757.54,2024-10-03 09:45,19780.04,19790.17,19790.17,2024-10-03 09:46,19790.17,B,19747.54,19918.04,FIXED_3R,3.0,2024-10-03 10:22,19747.54,SL,-1.0,-1000.0
2024-10-22,LONG,BULLISH,True,PREMIUM,True,2,20253.1,20252.98,2024-10-22 09:37,20253.1,20259.21,20259.21,2024-10-22 09:38,20259.21,B,20242.98,20307.88,FIXED_3R,3.0,2024-10-22 10:12,20307.88,TP,3.0,3000.0
2024-11-18,SHORT,BEARISH,True,DISCOUNT,True,2,20472.33,20472.08,2024-11-18 09:48,20472.08,20444.18,20472.08,2024-11-18 09:49,20444.18,B,20482.33,20329.73,FIXED_3R,3.0,2024-11-18 10:56,20482.33,SL,-1.0,-1000.0
2024-12-27,SHORT,BEARISH,True,PREMIUM,True,2,21635.74,21635.49,2024-12-27 09:42,21635.49,21438.34,21635.49,2024-12-27 09:43,21438.34,B,21645.74,20816.14,FIXED_3R,3.0,2024-12-27 15:59,21354.71,EOD,0.403,403.23
2025-01-17,LONG,BULLISH,True,PREMIUM,True,2,21343.61,21319.61,2025-01-17 09:52,21343.61,21335.49,21335.49,2025-01-17 09:53,21343.61,A,21309.61,21445.61,FIXED_3R,3.0,2025-01-17 09:54,21309.61,SL,-1.0,-1000.0
2025-01-20,LONG,BULLISH,True,PREMIUM,True,3,21544.24,21522.49,2025-01-20 09:35,21544.24,21546.46,21550.59,2025-01-20 09:36,21550.59,B,21512.49,21664.89,FIXED_3R,3.0,2025-01-20 10:16,21512.49,SL,-1.0,-1000.0
