date,bias,midline,entry_time_ny,entry_price,stop,target,target_type,rr,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2026-02-20,SHORT,24787.35,2026-02-20 09:45,24841.1,24905.8,24683.1,PDL,2.44,2026-02-20 10:00,24905.8,SL,-1.0,-1000.0
2026-02-23,LONG,24849.4,2026-02-23 09:30,24944.6,24904.3,25078.7,PDH,3.33,2026-02-23 09:40,24904.3,SL,-1.0,-1000.0
2026-02-27,SHORT,25003.85,2026-02-27 09:40,24803.6,24870.9,24610.7,swing_low,2.87,2026-02-27 09:45,24870.9,SL,-1.0,-1000.0
2026-03-05,SHORT,24986.8,2026-03-05 09:35,25056.8,25100.0,24792.4,PDL,6.12,2026-03-05 09:50,25100.0,SL,-1.0,-1000.0
2026-03-06,SHORT,24955.9,2026-03-06 09:35,24650.7,24694.1,24346.9,swing_low_capped_7R,7.0,2026-03-06 09:40,24694.1,SL,-1.0,-1000.0
2026-03-09,SHORT,24732.9,2026-03-09 09:35,24376.3,24477.4,23976.8,swing_low,3.95,2026-03-09 10:35,24477.4,SL,-1.0,-1000.0
2026-03-11,SHORT,25028.7,2026-03-11 09:40,25043.4,25099.7,24867.2,PDL,3.13,2026-03-11 10:00,25099.7,SL,-1.0,-1000.0
2026-03-12,SHORT,25001.6,2026-03-12 09:40,24742.0,24814.3,24235.9,swing_low_capped_7R,7.0,,,,,
2026-03-13,SHORT,24665.75,2026-03-13 09:45,24737.6,24797.0,24520.7,PDL,3.65,2026-03-13 10:55,24520.7,TP,3.652,3651.52
2026-03-17,LONG,24702.4,2026-03-17 09:30,24825.5,24725.6,25190.2,swing_high,3.65,2026-03-17 11:35,24725.6,SL,-1.0,-1000.0
2026-03-23,LONG,24017.4,2026-03-23 09:35,24329.4,24224.6,24982.2,swing_high,6.23,2026-03-23 11:50,24224.6,SL,-1.0,-1000.0
2026-03-24,SHORT,24287.15,2026-03-24 09:35,23996.7,24109.0,23562.3,swing_low,3.87,2026-03-24 10:50,24109.0,SL,-1.0,-1000.0
2026-03-25,LONG,24046.4,2026-03-25 09:30,24254.9,24206.8,24551.0,swing_high,6.16,2026-03-25 09:45,24206.8,SL,-1.0,-1000.0
2026-03-26,SHORT,24208.35,2026-03-26 09:30,23914.7,23958.4,23608.8,swing_low_capped_7R,7.0,2026-03-26 09:45,23958.4,SL,-1.0,-1000.0
2026-04-01,LONG,23493.45,2026-04-01 09:30,23976.2,23854.2,24551.0,swing_high,4.71,,,,,
2026-04-02,SHORT,24015.4,2026-04-02 09:35,23511.2,23619.4,22783.4,swing_low,6.73,2026-04-02 09:50,23619.4,SL,-1.0,-1000.0
2026-04-06,LONG,23792.2,2026-04-06 09:30,24181.1,24081.5,24551.0,swing_high,3.71,2026-04-06 09:35,24081.5,SL,-1.0,-1000.0
2026-04-13,SHORT,25142.6,2026-04-13 09:35,25033.6,25066.0,24806.8,swing_low_capped_7R,7.0,2026-04-13 09:45,25066.0,SL,-1.0,-1000.0
2026-04-28,SHORT,27239.65,2026-04-28 09:30,27004.5,27037.2,26775.6,swing_low_capped_7R,7.0,2026-04-28 09:35,27037.2,SL,-1.0,-1000.0
