date,session,direction,fvg_upper,fvg_lower,fvg_formed_time_ny,entry_time_ny,entry_price,stop,target,target_type,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2024-08-23,midnight,LONG,19598.2,19592.2,2024-08-23 00:01,2024-08-23 02:26,19598.2,19587.2,19937.3,PDH,2024-08-23 10:48,19587.2,SL,-1.0,-1000.0
2024-08-28,midnight,LONG,19561.9,19558.1,2024-08-28 00:28,2024-08-28 00:31,19561.9,19553.1,19623.4,PDH,2024-08-28 01:07,19553.1,SL,-1.0,-1000.0
2024-08-29,midnight,LONG,19223.7,19219.9,2024-08-29 00:15,2024-08-29 00:35,19223.7,19214.9,19587.4,PDH,2024-08-29 09:56,19587.4,TP,41.33,41329.55
2024-09-09,midnight,LONG,18517.35,18513.98,2024-09-09 00:08,2024-09-09 01:44,18517.35,18508.98,18923.3,PDH,2024-09-09 10:48,18508.98,SL,-1.0,-1000.0
2024-09-11,midnight,SHORT,18711.56,18704.19,2024-09-11 00:21,2024-09-11 00:23,18704.19,18716.56,18562.45,PDL,2024-09-11 00:29,18716.56,SL,-1.0,-1000.0
2024-09-20,midnight,SHORT,19814.84,19808.84,2024-09-20 00:16,2024-09-20 00:19,19808.84,19819.84,19724.88,PDL,2024-09-20 00:30,19819.84,SL,-1.0,-1000.0
2024-10-01,midnight,SHORT,20071.29,20063.17,2024-10-01 00:14,2024-10-01 00:20,20063.17,20076.29,19850.63,PDL,2024-10-01 02:47,20076.29,SL,-1.0,-1000.0
2024-10-16,midnight,SHORT,20448.58,20225.61,2024-10-16 00:03,2024-10-16 00:05,20225.61,20453.58,19752.52,swing_low,2024-10-16 23:59,20148.09,EOD,0.34,340.04
2024-10-17,midnight,SHORT,20148.09,20131.59,2024-10-17 00:10,2024-10-17 00:12,20131.59,20153.09,20119.68,PDL,2024-10-17 02:10,20153.09,SL,-1.0,-1000.0
2024-10-23,midnight,SHORT,20379.9,20368.77,2024-10-23 00:12,2024-10-23 01:12,20368.77,20384.9,20249.2,PDL,2024-10-23 18:00,20249.2,TP,7.413,7412.9
2024-11-04,midnight,SHORT,20123.47,20111.35,2024-11-04 00:07,2024-11-04 00:09,20111.35,20128.47,19980.18,PDL,2024-11-04 01:08,20128.47,SL,-1.0,-1000.0
2024-11-05,midnight,SHORT,19991.99,19985.62,2024-11-05 00:05,2024-11-05 00:07,19985.62,19996.99,19947.08,swing_low,2024-11-05 01:14,19996.99,SL,-1.0,-1000.0
2024-11-12,midnight,SHORT,21124.85,21110.1,2024-11-12 00:28,2024-11-12 00:30,21110.1,21129.85,21066.67,PDL,2024-11-12 05:28,21066.67,TP,2.199,2198.99
2024-11-20,midnight,SHORT,20731.04,20727.17,2024-11-20 00:03,2024-11-20 00:05,20727.17,20736.04,20366.27,PDL,2024-11-20 01:56,20736.04,SL,-1.0,-1000.0
2024-12-06,midnight,LONG,21433.58,21427.21,2024-12-06 00:03,2024-12-06 05:04,21433.58,21422.21,21511.48,PDH,2024-12-06 15:59,21468.68,EOD,3.087,3087.07
2024-12-16,midnight,SHORT,21799.99,21793.99,2024-12-16 00:10,2024-12-16 02:10,21793.99,21804.99,21733.97,PDL,2024-12-16 04:10,21804.99,SL,-1.0,-1000.0
2025-01-09,midnight,LONG,21084.87,21079.74,2025-01-09 00:05,2025-01-09 00:08,21084.87,21074.74,21195.48,PDH,2025-01-09 02:01,21074.74,SL,-1.0,-1000.0
2025-01-10,midnight,LONG,21076.23,21071.61,2025-01-10 00:05,2025-01-10 00:14,21076.23,21066.61,21636.7,swing_high,2025-01-10 01:00,21066.61,SL,-1.0,-1000.0
2025-01-13,midnight,SHORT,20670.95,20664.58,2025-01-13 00:28,2025-01-13 00:42,20664.58,20675.95,20648.06,PDL,2025-01-13 00:53,20675.95,SL,-1.0,-1000.0
2025-01-29,midnight,LONG,21442.05,21438.8,2025-01-29 00:16,2025-01-29 00:21,21442.05,21433.8,21464.16,PDH,2025-01-29 00:32,21433.8,SL,-1.0,-1000.0
2025-02-03,midnight,SHORT,20876.49,20867.86,2025-02-03 00:00,2025-02-03 00:02,20867.86,20881.49,20835.86,swing_low,2025-02-03 00:10,20881.49,SL,-1.0,-1000.0
2025-02-04,midnight,SHORT,21295.68,21265.18,2025-02-04 00:04,2025-02-04 00:51,21265.18,21300.68,20972.69,PDL,2025-02-04 07:10,21300.68,SL,-1.0,-1000.0
2025-02-05,midnight,SHORT,21429.16,21425.41,2025-02-05 00:06,2025-02-05 00:08,21425.41,21434.16,21268.15,PDL,2025-02-05 09:36,21434.16,SL,-1.0,-1000.0
2025-02-06,midnight,LONG,21690.14,21687.01,2025-02-06 00:21,2025-02-06 00:24,21690.14,21682.01,21813.05,swing_high,2025-02-06 01:51,21682.01,SL,-1.0,-1000.0
2025-02-10,midnight,LONG,21576.85,21572.73,2025-02-10 00:05,2025-02-10 01:30,21576.85,21567.73,21840.14,PDH,2025-02-10 01:34,21567.73,SL,-1.0,-1000.0
2025-02-26,midnight,LONG,21202.3,21198.7,2025-02-26 00:22,2025-02-26 00:31,21202.3,21193.7,21333.4,PDH,2025-02-26 09:13,21193.7,SL,-1.0,-1000.0
2025-02-27,midnight,LONG,21114.3,21109.5,2025-02-27 00:03,2025-02-27 09:44,21114.3,21104.5,21347.7,PDH,2025-02-27 09:50,21104.5,SL,-1.0,-1000.0
2025-02-28,midnight,LONG,20572.1,20567.2,2025-02-28 00:00,2025-02-28 00:25,20572.1,20562.2,21322.4,PDH,2025-02-28 00:30,20562.2,SL,-1.0,-1000.0
2025-03-03,midnight,LONG,20925.2,20915.7,2025-03-03 00:24,2025-03-03 00:29,20925.2,20910.7,21746.8,swing_high,2025-03-03 02:23,20910.7,SL,-1.0,-1000.0
2025-03-05,midnight,SHORT,20499.0,20494.5,2025-03-05 00:15,2025-03-05 00:40,20494.5,20504.0,20032.9,PDL,2025-03-05 00:41,20504.0,SL,-1.0,-1000.0
2025-03-06,midnight,LONG,20602.0,20597.9,2025-03-06 00:14,2025-03-06 00:20,20602.0,20592.9,20683.0,PDH,2025-03-06 00:30,20592.9,SL,-1.0,-1000.0
2025-03-11,midnight,LONG,19438.7,19419.8,2025-03-11 00:15,2025-03-11 00:17,19438.7,19414.8,19865.4,PDH,2025-03-11 01:46,19414.8,SL,-1.0,-1000.0
2025-03-13,midnight,SHORT,19505.3,19499.6,2025-03-13 00:17,2025-03-13 00:19,19499.6,19510.3,19365.8,PDL,2025-03-13 05:19,19510.3,SL,-1.0,-1000.0
2025-03-24,midnight,SHORT,19899.6,19894.45,2025-03-24 00:00,2025-03-24 00:02,19894.45,19904.6,19402.5,PDL,2025-03-24 00:33,19904.6,SL,-1.0,-1000.0
2025-03-27,midnight,SHORT,19936.95,19931.1,2025-03-27 00:12,2025-03-27 00:25,19931.1,19941.95,19840.05,PDL,2025-03-27 01:38,19941.95,SL,-1.0,-1000.0
2025-04-01,midnight,SHORT,19182.0,19171.05,2025-04-01 00:00,2025-04-01 00:08,19171.05,19187.0,18797.05,PDL,2025-04-01 00:55,19187.0,SL,-1.0,-1000.0
2025-04-09,midnight,LONG,16820.5,16794.15,2025-04-09 00:01,2025-04-09 00:03,16820.5,16789.15,18214.15,PDH,2025-04-09 00:06,16789.15,SL,-1.0,-1000.0
2025-04-14,midnight,LONG,18931.05,18923.05,2025-04-14 00:12,2025-04-14 00:14,18931.05,18918.05,19245.8,swing_high,2025-04-14 05:35,18918.05,SL,-1.0,-1000.0
2025-04-21,midnight,LONG,18118.25,18111.05,2025-04-21 00:09,2025-04-21 00:11,18118.25,18106.05,18397.2,PDH,2025-04-21 00:21,18106.05,SL,-1.0,-1000.0
2025-04-23,midnight,LONG,18597.1,18586.85,2025-04-23 00:01,2025-04-23 00:05,18597.1,18581.85,19117.15,swing_high,2025-04-23 01:13,18581.85,SL,-1.0,-1000.0
2025-04-24,midnight,SHORT,18621.65,18617.55,2025-04-24 00:15,2025-04-24 00:20,18617.55,18626.65,18614.8,PDL,2025-04-24 00:22,18626.65,SL,-1.0,-1000.0
2025-04-28,midnight,LONG,19313.95,19306.6,2025-04-28 00:28,2025-04-28 00:33,19313.95,19301.6,19441.1,PDH,2025-04-28 00:58,19301.6,SL,-1.0,-1000.0
2025-04-29,midnight,SHORT,19468.6,19465.4,2025-04-29 00:00,2025-04-29 00:02,19465.4,19473.6,19152.95,PDL,2025-04-29 00:25,19473.6,SL,-1.0,-1000.0
2025-04-30,midnight,SHORT,19415.4,19409.9,2025-04-30 00:05,2025-04-30 00:07,19409.9,19420.4,19299.0,PDL,2025-04-30 00:17,19420.4,SL,-1.0,-1000.0
2025-05-05,midnight,SHORT,19953.7,19943.9,2025-05-05 00:06,2025-05-05 00:13,19943.9,19958.7,19919.6,PDL,2025-05-05 01:01,19958.7,SL,-1.0,-1000.0
2025-05-06,midnight,SHORT,19894.45,19887.95,2025-05-06 00:09,2025-05-06 00:11,19887.95,19899.45,19886.75,PDL,2025-05-06 00:12,19886.75,TP,0.104,104.35
