date,session,direction,fvg_upper,fvg_lower,fvg_formed_time_ny,entry_time_ny,entry_price,stop,target,target_type,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2022-07-07,midnight,SHORT,11868.0,11864.3,2022-07-07 00:19,2022-07-07 00:24,11864.3,11873.0,11855.6,FIXED_1R,2022-07-07 00:33,11873.0,SL,-1.0,-1000.0
2022-07-15,midnight,SHORT,11821.1,11818.1,2022-07-15 00:02,2022-07-15 04:53,11818.1,11826.1,11810.1,FIXED_1R,2022-07-15 04:56,11810.1,TP,1.0,1000.0
2022-07-19,midnight,SHORT,11894.9,11889.6,2022-07-19 00:23,2022-07-19 00:26,11889.6,11899.9,11879.3,FIXED_1R,2022-07-19 00:49,11899.9,SL,-1.0,-1000.0
2022-07-20,midnight,SHORT,12312.2,12308.8,2022-07-20 00:27,2022-07-20 00:30,12308.8,12317.2,12300.4,FIXED_1R,2022-07-20 01:01,12300.4,TP,1.0,1000.0
2022-08-03,midnight,LONG,12921.9,12918.0,2022-08-03 00:06,2022-08-03 00:09,12921.9,12913.0,12930.8,FIXED_1R,2022-08-03 00:12,12913.0,SL,-1.0,-1000.0
2022-08-29,midnight,SHORT,12469.3,12459.3,2022-08-29 00:18,2022-08-29 00:32,12459.3,12474.3,12444.3,FIXED_1R,2022-08-29 01:47,12444.3,TP,1.0,1000.0
2022-08-30,midnight,LONG,12531.1,12524.4,2022-08-30 00:19,2022-08-30 01:01,12531.1,12519.4,12542.8,FIXED_1R,2022-08-30 01:15,12542.8,TP,1.0,1000.0
2022-09-02,midnight,LONG,12283.6,12277.8,2022-09-02 00:18,2022-09-02 00:21,12283.6,12272.8,12294.4,FIXED_1R,2022-09-02 00:27,12294.4,TP,1.0,1000.0
2022-09-05,midnight,LONG,12112.7,12109.1,2022-09-05 00:24,2022-09-05 00:26,12112.7,12104.1,12121.3,FIXED_1R,2022-09-05 01:02,12104.1,SL,-1.0,-1000.0
2022-09-06,midnight,LONG,12169.9,12164.7,2022-09-06 00:23,2022-09-06 00:27,12169.9,12159.7,12180.1,FIXED_1R,2022-09-06 00:56,12159.7,SL,-1.0,-1000.0
2022-09-14,midnight,LONG,12053.9,12050.9,2022-09-14 00:12,2022-09-14 00:14,12053.9,12045.9,12061.9,FIXED_1R,2022-09-14 00:23,12045.9,SL,-1.0,-1000.0
2022-09-16,midnight,SHORT,11829.7,11826.3,2022-09-16 00:12,2022-09-16 00:14,11826.3,11834.7,11817.9,FIXED_1R,2022-09-16 01:03,11834.7,SL,-1.0,-1000.0
2022-09-22,midnight,LONG,11552.8,11548.5,2022-09-22 00:20,2022-09-22 00:22,11552.8,11543.5,11562.1,FIXED_1R,2022-09-22 01:14,11543.5,SL,-1.0,-1000.0
2022-09-23,midnight,SHORT,11469.1,11456.9,2022-09-23 00:05,2022-09-23 00:25,11456.9,11474.1,11439.7,FIXED_1R,2022-09-23 01:05,11474.1,SL,-1.0,-1000.0
2022-09-26,midnight,LONG,11261.5,11258.4,2022-09-26 00:16,2022-09-26 00:18,11261.5,11253.4,11269.6,FIXED_1R,2022-09-26 00:32,11253.4,SL,-1.0,-1000.0
2022-09-28,midnight,SHORT,11165.1,11160.4,2022-09-28 00:02,2022-09-28 00:05,11160.4,11170.1,11150.7,FIXED_1R,2022-09-28 00:21,11170.1,SL,-1.0,-1000.0
2022-09-29,midnight,LONG,11481.7,11474.6,2022-09-29 00:24,2022-09-29 00:27,11481.7,11469.6,11493.8,FIXED_1R,2022-09-29 01:14,11469.6,SL,-1.0,-1000.0
2022-09-30,midnight,SHORT,11138.3,11134.5,2022-09-30 00:05,2022-09-30 00:07,11134.5,11143.3,11125.7,FIXED_1R,2022-09-30 00:11,11143.3,SL,-1.0,-1000.0
2022-10-03,midnight,SHORT,10930.9,10923.2,2022-10-03 00:06,2022-10-03 00:14,10923.2,10935.9,10910.5,FIXED_1R,2022-10-03 00:38,10910.5,TP,1.0,1000.0
2022-10-04,midnight,SHORT,11335.6,11332.4,2022-10-04 00:05,2022-10-04 00:23,11332.4,11340.6,11324.2,FIXED_1R,2022-10-04 00:33,11340.6,SL,-1.0,-1000.0
2022-10-06,midnight,SHORT,11630.8,11627.2,2022-10-06 00:01,2022-10-06 00:04,11627.2,11635.8,11618.6,FIXED_1R,2022-10-06 00:16,11618.6,TP,1.0,1000.0
2022-10-12,midnight,LONG,10839.2,10812.9,2022-10-12 00:03,2022-10-12 01:02,10839.2,10807.9,10870.5,FIXED_1R,2022-10-12 01:46,10870.5,TP,1.0,1000.0
2022-10-18,midnight,LONG,11253.8,11245.6,2022-10-18 00:02,2022-10-18 00:04,11253.8,11240.6,11267.0,FIXED_1R,2022-10-18 00:16,11267.0,TP,1.0,1000.0
2022-10-20,midnight,LONG,11025.4,10981.8,2022-10-20 00:18,2022-10-20 00:20,11025.4,10976.8,11074.0,FIXED_1R,2022-10-20 01:12,11074.0,TP,1.0,1000.0
2022-10-24,midnight,SHORT,11332.5,11328.2,2022-10-24 00:05,2022-10-24 00:10,11328.2,11337.5,11318.9,FIXED_1R,2022-10-24 00:17,11337.5,SL,-1.0,-1000.0
