date,session,direction,fvg_upper,fvg_lower,fvg_formed_time_ny,entry_time_ny,entry_price,stop,target,target_type,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2025-09-29,midnight,LONG,24597.8,24594.4,2025-09-29 00:05,2025-09-29 00:08,24597.8,24589.4,24783.7,swing_high,2025-09-29 02:07,24589.4,SL,-1.0,-1000.0
2025-09-30,midnight,SHORT,24616.3,24613.0,2025-09-30 00:27,2025-09-30 01:25,24613.0,24621.3,24554.9,PDL,2025-09-30 02:11,24621.3,SL,-1.0,-1000.0
2025-10-14,midnight,LONG,24620.5,24611.9,2025-10-14 00:22,2025-10-14 00:27,24620.5,24606.9,24781.9,PDH,2025-10-14 00:28,24606.9,SL,-1.0,-1000.0
2025-10-15,midnight,LONG,24657.6,24652.6,2025-10-15 00:27,2025-10-15 00:29,24657.6,24647.6,24769.5,PDH,2025-10-15 05:03,24769.5,TP,11.19,11190.0
2025-10-22,midnight,LONG,25145.9,25139.4,2025-10-22 00:04,2025-10-22 01:26,25145.9,25134.4,25182.9,PDH,2025-10-22 02:00,25134.4,SL,-1.0,-1000.0
2025-10-24,midnight,LONG,25176.2,25172.9,2025-10-24 00:12,2025-10-24 00:15,25176.2,25167.9,25203.1,swing_high,2025-10-24 02:04,25203.1,TP,3.241,3240.96
2025-11-04,midnight,SHORT,25770.1,25763.1,2025-11-04 00:21,2025-11-04 00:23,25763.1,25775.1,25714.6,swing_low,2025-11-04 00:41,25714.6,TP,4.042,4041.67
2025-11-26,midnight,LONG,25118.1,25112.6,2025-11-26 00:08,2025-11-26 00:10,25118.1,25107.6,25223.5,swing_high,2025-11-26 03:59,25107.6,SL,-1.0,-1000.0
2025-12-09,midnight,SHORT,25652.2,25648.3,2025-12-09 00:04,2025-12-09 01:45,25648.3,25657.2,25528.3,PDL,2025-12-09 02:05,25657.2,SL,-1.0,-1000.0
2025-12-18,midnight,SHORT,24746.5,24737.4,2025-12-18 00:25,2025-12-18 00:27,24737.4,24751.5,24653.0,PDL,2025-12-18 00:30,24751.5,SL,-1.0,-1000.0
2025-12-29,midnight,SHORT,25640.5,25624.9,2025-12-29 00:00,2025-12-29 00:02,25624.9,25645.5,25613.1,PDL,2025-12-29 00:10,25613.1,TP,0.573,572.82
2026-01-02,midnight,LONG,25413.7,25409.8,2026-01-02 00:06,2026-01-02 00:10,25413.7,25404.8,25481.5,PDH,2026-01-02 03:14,25481.5,TP,7.618,7617.98
2026-01-05,midnight,SHORT,25302.0,25295.9,2026-01-05 00:06,2026-01-05 00:24,25295.9,25307.0,25075.0,PDL,2026-01-05 00:55,25307.0,SL,-1.0,-1000.0
2026-01-08,midnight,SHORT,25591.5,25587.5,2026-01-08 00:14,2026-01-08 00:21,25587.5,25596.5,25075.0,swing_low,2026-01-08 02:23,25596.5,SL,-1.0,-1000.0
2026-01-12,midnight,SHORT,25543.2,25532.1,2026-01-12 00:25,2026-01-12 00:27,25532.1,25548.2,25443.9,PDL,2026-01-12 01:08,25548.2,SL,-1.0,-1000.0
2026-01-20,midnight,LONG,25228.0,25222.6,2026-01-20 00:04,2026-01-20 00:10,25228.0,25217.6,25261.2,PDH,2026-01-20 01:07,25217.6,SL,-1.0,-1000.0
2026-01-21,midnight,SHORT,25070.9,25061.9,2026-01-21 00:24,2026-01-21 00:28,25061.9,25075.9,24951.7,PDL,2026-01-21 00:38,25075.9,SL,-1.0,-1000.0
2026-02-02,midnight,SHORT,25198.5,25187.0,2026-02-02 00:11,2026-02-02 00:13,25187.0,25203.5,24881.7,swing_low,2026-02-02 00:15,25203.5,SL,-1.0,-1000.0
2026-02-04,midnight,SHORT,25322.9,25319.3,2026-02-04 00:07,2026-02-04 00:10,25319.3,25327.9,25111.5,PDL,2026-02-04 00:20,25327.9,SL,-1.0,-1000.0
2026-02-13,midnight,SHORT,24676.4,24672.2,2026-02-13 00:15,2026-02-13 00:17,24672.2,24681.4,24641.4,PDL,2026-02-13 00:26,24641.4,TP,3.348,3347.83
