date,session,direction,fvg_upper,fvg_lower,fvg_formed_time_ny,entry_time_ny,entry_price,stop,target,target_type,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2024-08-28,midnight,SHORT,2513.99,2513.55,2024-08-28 00:26,2024-08-28 00:29,2513.55,2514.49,2505.67,PDL,2024-08-28 01:47,2505.67,TP,8.383,8382.98
2024-08-29,midnight,SHORT,2517.33,2516.87,2024-08-29 00:11,2024-08-29 00:13,2516.87,2517.83,2496.31,PDL,2024-08-29 00:35,2517.83,SL,-1.0,-1000.0
2024-09-03,midnight,LONG,2495.43,2494.97,2024-09-03 00:21,2024-09-03 00:25,2495.43,2494.47,2502.35,PDH,2024-09-03 01:08,2494.47,SL,-1.0,-1000.0
2024-09-09,midnight,SHORT,2499.15,2498.8,2024-09-09 00:08,2024-09-09 00:10,2498.8,2499.65,2485.02,PDL,2024-09-09 08:21,2499.65,SL,-1.0,-1000.0
2024-09-24,midnight,SHORT,2633.25,2632.73,2024-09-24 00:09,2024-09-24 00:11,2632.73,2633.75,2625.6,PDL,2024-09-24 00:15,2633.75,SL,-1.0,-1000.0
2024-09-25,midnight,SHORT,2660.2,2658.69,2024-09-25 00:20,2024-09-25 00:24,2658.69,2660.7,2631.61,PDL,2024-09-25 08:30,2660.7,SL,-1.0,-1000.0
2024-09-27,midnight,SHORT,2672.59,2672.02,2024-09-27 00:09,2024-09-27 08:36,2672.02,2673.09,2654.7,PDL,2024-09-27 08:46,2673.09,SL,-1.0,-1000.0
2024-09-30,midnight,SHORT,2653.13,2652.6,2024-09-30 00:05,2024-09-30 00:07,2652.6,2653.63,2643.04,PDL,2024-09-30 00:15,2653.63,SL,-1.0,-1000.0
2024-10-02,midnight,SHORT,2655.26,2654.88,2024-10-02 00:21,2024-10-02 00:25,2654.88,2655.76,2652.36,PDL,2024-10-02 01:16,2655.76,SL,-1.0,-1000.0
2024-10-04,midnight,LONG,2663.0,2662.64,2024-10-04 00:22,2024-10-04 00:24,2663.0,2662.14,2673.04,swing_high,2024-10-04 02:53,2662.14,SL,-1.0,-1000.0
2024-10-09,midnight,LONG,2617.33,2616.9,2024-10-09 00:25,2024-10-09 00:27,2617.33,2616.4,2641.7,PDH,2024-10-09 00:52,2616.4,SL,-1.0,-1000.0
2024-10-16,midnight,LONG,2667.59,2667.11,2024-10-16 00:23,2024-10-16 00:26,2667.59,2666.61,2668.96,PDH,2024-10-16 00:30,2666.61,SL,-1.0,-1000.0
2024-10-22,midnight,LONG,2732.25,2731.79,2024-10-22 00:05,2024-10-22 01:32,2732.25,2731.29,2740.56,PDH,2024-10-22 01:47,2731.29,SL,-1.0,-1000.0
2024-10-29,midnight,LONG,2753.38,2752.38,2024-10-29 00:04,2024-10-29 00:06,2753.38,2751.88,2758.47,swing_high,2024-10-29 01:39,2751.88,SL,-1.0,-1000.0
2024-11-06,midnight,SHORT,2742.3,2740.26,2024-11-06 00:09,2024-11-06 00:12,2740.26,2742.8,2732.99,PDL,2024-11-06 01:12,2732.99,TP,2.862,2862.2
2024-11-07,midnight,LONG,2655.58,2654.75,2024-11-07 00:00,2024-11-07 01:06,2655.58,2654.25,2678.18,PDH,2024-11-07 01:09,2654.25,SL,-1.0,-1000.0
2024-11-11,midnight,LONG,2673.43,2672.62,2024-11-11 00:03,2024-11-11 00:05,2673.43,2672.12,2699.81,PDH,2024-11-11 00:13,2672.12,SL,-1.0,-1000.0
2024-11-12,midnight,SHORT,2615.69,2615.07,2024-11-12 00:20,2024-11-12 08:26,2615.07,2616.19,2610.59,PDL,2024-11-12 08:26,2616.19,SL,-1.0,-1000.0
2024-11-13,midnight,LONG,2607.22,2606.53,2024-11-13 00:00,2024-11-13 00:03,2607.22,2606.03,2616.96,PDH,2024-11-13 00:30,2606.03,SL,-1.0,-1000.0
2024-11-18,midnight,SHORT,2592.27,2591.6,2024-11-18 00:00,2024-11-18 00:02,2591.6,2592.77,2559.45,PDL,2024-11-18 04:30,2592.77,SL,-1.0,-1000.0
2024-11-20,midnight,SHORT,2636.43,2635.83,2024-11-20 00:01,2024-11-20 00:04,2635.83,2636.93,2621.0,PDL,2024-11-20 00:27,2636.93,SL,-1.0,-1000.0
2024-11-21,midnight,LONG,2657.4,2656.78,2024-11-21 00:05,2024-11-21 00:07,2657.4,2656.28,2749.88,swing_high,2024-11-21 00:13,2656.28,SL,-1.0,-1000.0
2024-11-25,midnight,SHORT,2672.68,2670.23,2024-11-25 00:16,2024-11-25 00:20,2670.23,2673.18,2536.77,swing_low,2024-11-25 03:19,2673.18,SL,-1.0,-1000.0
2024-11-26,midnight,SHORT,2624.46,2623.95,2024-11-26 00:12,2024-11-26 00:23,2623.95,2624.96,2615.6,PDL,2024-11-26 00:58,2624.96,SL,-1.0,-1000.0
2024-11-27,midnight,LONG,2639.19,2638.73,2024-11-27 00:19,2024-11-27 01:10,2639.19,2638.23,2721.31,swing_high,2024-11-27 10:15,2638.23,SL,-1.0,-1000.0
2024-11-28,midnight,SHORT,2631.22,2630.87,2024-11-28 00:00,2024-11-28 00:02,2630.87,2631.72,2604.86,swing_low,2024-11-28 00:12,2631.72,SL,-1.0,-1000.0
2024-11-29,midnight,LONG,2660.69,2660.11,2024-11-29 00:07,2024-11-29 00:10,2660.69,2659.61,2721.31,swing_high,2024-11-29 02:34,2659.61,SL,-1.0,-1000.0
2024-12-03,midnight,SHORT,2639.75,2639.19,2024-12-03 00:00,2024-12-03 00:27,2639.19,2640.25,2633.59,PDL,2024-12-03 00:41,2640.25,SL,-1.0,-1000.0
2024-12-11,midnight,SHORT,2681.52,2679.24,2024-12-11 00:04,2024-12-11 00:06,2679.24,2682.02,2612.32,swing_low,2024-12-11 00:39,2682.02,SL,-1.0,-1000.0
2024-12-12,midnight,LONG,2712.44,2711.89,2024-12-12 00:06,2024-12-12 00:21,2712.44,2711.39,2721.07,PDH,2024-12-12 01:12,2711.39,SL,-1.0,-1000.0
2024-12-16,midnight,SHORT,2652.27,2651.84,2024-12-16 00:10,2024-12-16 00:17,2651.84,2652.77,2646.39,PDL,2024-12-16 00:39,2652.77,SL,-1.0,-1000.0
2024-12-17,midnight,SHORT,2651.65,2651.1,2024-12-17 00:00,2024-12-17 00:11,2651.1,2652.15,2648.57,PDL,2024-12-17 00:28,2652.15,SL,-1.0,-1000.0
2024-12-20,midnight,SHORT,2597.82,2597.41,2024-12-20 00:00,2024-12-20 00:04,2597.41,2598.32,2586.98,PDL,2024-12-20 00:17,2598.32,SL,-1.0,-1000.0
2024-12-26,midnight,SHORT,2626.8,2626.4,2024-12-26 00:18,2024-12-26 00:20,2626.4,2627.3,2610.02,PDL,2024-12-26 00:23,2627.3,SL,-1.0,-1000.0
2025-01-07,midnight,LONG,2642.93,2641.15,2025-01-07 00:22,2025-01-07 00:24,2642.93,2640.65,2665.15,swing_high,2025-01-07 01:53,2640.65,SL,-1.0,-1000.0
2025-01-08,midnight,LONG,2648.81,2648.23,2025-01-08 00:23,2025-01-08 06:28,2648.81,2647.73,2662.97,PDH,2025-01-08 06:33,2647.73,SL,-1.0,-1000.0
2025-01-14,midnight,SHORT,2674.33,2672.47,2025-01-14 00:07,2025-01-14 00:09,2672.47,2674.83,2656.84,PDL,2025-01-14 14:35,2674.83,SL,-1.0,-1000.0
2025-02-04,midnight,SHORT,2817.66,2816.95,2025-02-04 00:05,2025-02-04 00:14,2816.95,2818.16,2813.0,PDL,2025-02-04 01:17,2813.0,TP,3.264,3264.46
2025-02-07,midnight,SHORT,2866.33,2865.84,2025-02-07 00:21,2025-02-07 00:26,2865.84,2866.83,2834.1,PDL,2025-02-07 04:00,2866.83,SL,-1.0,-1000.0
2025-02-13,midnight,LONG,2918.85,2918.45,2025-02-13 00:09,2025-02-13 00:51,2918.85,2917.95,2942.58,swing_high,2025-02-13 00:52,2917.95,SL,-1.0,-1000.0
2025-02-17,midnight,LONG,2903.49,2902.9,2025-02-17 00:27,2025-02-17 00:29,2903.49,2902.4,2928.52,PDH,2025-02-17 00:30,2902.4,SL,-1.0,-1000.0
2025-02-18,midnight,LONG,2911.89,2911.19,2025-02-18 00:02,2025-02-18 00:04,2911.89,2910.69,2940.06,swing_high,2025-02-18 00:04,2910.69,SL,-1.0,-1000.0
2025-02-19,midnight,LONG,2929.86,2929.2,2025-02-19 00:00,2025-02-19 00:02,2929.86,2928.7,2937.05,PDH,2025-02-19 00:14,2928.7,SL,-1.0,-1000.0
2025-02-21,midnight,SHORT,2927.62,2926.97,2025-02-21 00:07,2025-02-21 00:09,2926.97,2928.12,2877.03,swing_low,2025-02-21 00:11,2928.12,SL,-1.0,-1000.0
2025-02-26,midnight,SHORT,2917.16,2916.72,2025-02-26 00:17,2025-02-26 00:22,2916.72,2917.66,2888.27,PDL,2025-02-26 00:23,2917.66,SL,-1.0,-1000.0
2025-02-28,midnight,LONG,2863.69,2863.37,2025-02-28 00:13,2025-02-28 00:15,2863.69,2862.87,2891.0,PDH,2025-02-28 00:30,2862.87,SL,-1.0,-1000.0
2025-03-04,midnight,LONG,2893.58,2893.07,2025-03-04 00:23,2025-03-04 00:25,2893.58,2892.57,2956.18,swing_high,2025-03-04 00:29,2892.57,SL,-1.0,-1000.0
2025-03-06,midnight,SHORT,2916.92,2916.58,2025-03-06 00:01,2025-03-06 00:03,2916.58,2917.42,2905.14,PDL,2025-03-06 00:05,2917.42,SL,-1.0,-1000.0
2025-03-07,midnight,LONG,2910.89,2910.43,2025-03-07 00:21,2025-03-07 00:30,2910.89,2909.93,2922.67,PDH,2025-03-07 00:56,2909.93,SL,-1.0,-1000.0
2025-03-20,midnight,LONG,3050.71,3049.89,2025-03-20 00:21,2025-03-20 01:20,3050.71,3049.39,3051.84,PDH,2025-03-20 01:24,3049.39,SL,-1.0,-1000.0
2025-03-21,midnight,SHORT,3030.31,3029.93,2025-03-21 00:00,2025-03-21 00:02,3029.93,3030.81,2982.22,swing_low,2025-03-21 00:05,3030.81,SL,-1.0,-1000.0
2025-04-04,midnight,SHORT,3098.24,3097.77,2025-04-04 00:01,2025-04-04 00:03,3097.77,3098.74,3064.22,PDL,2025-04-04 00:05,3098.74,SL,-1.0,-1000.0
2025-04-08,midnight,LONG,2998.07,2995.41,2025-04-08 00:01,2025-04-08 00:03,2998.07,2994.91,3037.97,PDH,2025-04-08 00:31,2994.91,SL,-1.0,-1000.0
2025-04-10,midnight,LONG,3127.47,3126.5,2025-04-10 00:25,2025-04-10 00:27,3127.47,3126.0,3167.73,swing_high,2025-04-10 00:30,3126.0,SL,-1.0,-1000.0
2025-04-11,midnight,SHORT,3215.54,3214.24,2025-04-11 00:15,2025-04-11 00:23,3214.24,3216.04,3116.14,PDL,2025-04-11 00:26,3216.04,SL,-1.0,-1000.0
2025-04-16,midnight,SHORT,3277.7,3276.74,2025-04-16 00:22,2025-04-16 00:43,3276.74,3278.2,3211.62,PDL,2025-04-16 00:44,3278.2,SL,-1.0,-1000.0
2025-04-17,midnight,SHORT,3343.42,3342.77,2025-04-17 00:00,2025-04-17 00:04,3342.77,3343.92,3296.92,PDL,2025-04-17 00:05,3343.92,SL,-1.0,-1000.0
2025-04-21,midnight,SHORT,3381.19,3379.28,2025-04-21 00:01,2025-04-21 00:03,3379.28,3381.69,3283.84,PDL,2025-04-21 01:04,3381.69,SL,-1.0,-1000.0
2025-04-23,midnight,SHORT,3340.23,3338.55,2025-04-23 00:18,2025-04-23 00:20,3338.55,3340.73,3193.57,swing_low,2025-04-23 00:34,3340.73,SL,-1.0,-1000.0
2025-04-28,midnight,SHORT,3291.16,3290.7,2025-04-28 00:09,2025-04-28 00:11,3290.7,3291.66,3265.19,PDL,2025-04-28 00:12,3291.66,SL,-1.0,-1000.0
2025-05-08,midnight,SHORT,3395.88,3392.97,2025-05-08 00:10,2025-05-08 00:13,3392.97,3396.38,3363.89,PDL,2025-05-08 01:53,3363.89,TP,8.528,8527.86
2025-05-12,midnight,SHORT,3282.46,3281.11,2025-05-12 00:01,2025-05-12 00:03,3281.11,3282.96,3201.91,swing_low,2025-05-12 00:13,3282.96,SL,-1.0,-1000.0
2025-05-16,midnight,LONG,3217.4,3215.68,2025-05-16 00:23,2025-05-16 00:25,3217.4,3215.18,3232.66,PDH,2025-05-16 00:26,3215.18,SL,-1.0,-1000.0
2025-05-20,midnight,SHORT,3214.04,3212.9,2025-05-20 00:27,2025-05-20 00:29,3212.9,3214.54,3204.57,swing_low,2025-05-20 00:51,3214.54,SL,-1.0,-1000.0
2025-05-21,midnight,SHORT,3305.07,3304.52,2025-05-21 00:22,2025-05-21 00:36,3304.52,3305.57,3236.67,PDL,2025-05-21 00:40,3305.57,SL,-1.0,-1000.0
