day,setup_id,direction,range_high,range_low,range_points,atr,break_time,morning_extreme,entry_time,entry,stop,target,exit_time,exit_price,reason,bars_held,r_gross,r_net
2009-01-02,setup_or_fib_XAUUSD_20090102_BUY,LONG,874.6,872.1,2.5,2.158464009884062,2009-01-02 14:46:00+00:00,875.8,2009-01-02 14:56:00+00:00,873.0550000000001,872.1,875.28,2009-01-02 15:02:00+00:00,875.28,TP,6,2.3298429319369776,2.1586387434553096
2009-01-05,setup_or_fib_XAUUSD_20090105_BUY,LONG,853.4,848.7,4.699999999999932,3.2240226596983494,2009-01-05 14:47:00+00:00,854.9,2009-01-05 15:08:00+00:00,850.4954,848.7,854.6784,2009-01-05 16:08:00+00:00,848.7,SL,60,-1.0,-1.0910660577030202
2009-01-14,setup_or_fib_XAUUSD_20090114_BUY,LONG,820.9,817.5,3.3999999999999773,2.7961771801116226,2009-01-14 14:54:00+00:00,823.3,2009-01-14 15:16:00+00:00,818.7988,817.5,821.8248,2009-01-14 15:18:00+00:00,817.5,SL,2,-1.0,-1.1258854327071115
2009-01-15,setup_or_fib_XAUUSD_20090115_BUY,LONG,813.3,807.2,6.099999999999909,2.9518614423408422,2009-01-15 15:09:00+00:00,814.0,2009-01-15 15:19:00+00:00,809.5302,807.2,814.9591999999999,2009-01-15 15:29:00+00:00,807.2,SL,10,-1.0,-1.0701656510170803
2009-01-16,setup_or_fib_XAUUSD_20090116_SELL,SHORT,836.3,832.7,3.599999999999909,2.5351940247175637,2009-01-16 15:03:00+00:00,830.1,2009-01-16 15:35:00+00:00,834.9248,836.3,831.7208,2009-01-16 16:24:00+00:00,836.3,SL,49,-1.0,-1.1188917975567234
2009-01-27,setup_or_fib_XAUUSD_20090127_BUY,LONG,899.0,895.0,4.0,2.969306480319936,2009-01-27 14:49:00+00:00,899.7,2009-01-27 15:00:00+00:00,896.528,895.0,900.088,2009-01-27 15:01:00+00:00,895.0,SL,1,-1.0,-1.1070026178010457
2009-01-28,setup_or_fib_XAUUSD_20090128_SELL,SHORT,897.7,892.4,5.300000000000068,3.1450830827034553,2009-01-28 15:06:00+00:00,891.8,2009-01-28 15:31:00+00:00,895.6754,897.7,890.9584,2009-01-28 15:37:00+00:00,897.7,SL,6,-1.0,-1.0807566926800325
2009-01-30,setup_or_fib_XAUUSD_20090130_SELL,SHORT,925.8,920.1,5.699999999999932,3.5569533465517735,2009-01-30 14:59:00+00:00,911.1,2009-01-30 16:45:00+00:00,923.6226,925.8,918.5496,2009-01-30 17:00:00+00:00,923.6,TIME,15,0.010379351520167219,-0.06471020483144753
2009-02-02,setup_or_fib_XAUUSD_20090202_BUY,LONG,919.0,913.3,5.7000000000000455,2.9989890921363855,2009-02-02 14:50:00+00:00,920.6,2009-02-02 15:41:00+00:00,915.4774,913.3,920.5504,2009-02-02 15:44:00+00:00,913.3,SL,3,-1.0,-1.0750895563516107
2009-02-03,setup_or_fib_XAUUSD_20090203_SELL,SHORT,911.2,906.6,4.600000000000023,2.647115322477235,2009-02-03 14:57:00+00:00,903.7,2009-02-03 15:21:00+00:00,909.4428,911.2,905.3488,2009-02-03 15:24:00+00:00,911.2,SL,3,-1.0,-1.0930457546096055
