date,NAS100_5m_n,NAS100_15m_n,XAUUSD_5m_n,XAUUSD_15m_n,NAS100_5m_PF,NAS100_15m_PF,XAUUSD_5m_PF,XAUUSD_15m_PF,NAS100_5m_R,NAS100_15m_R,XAUUSD_5m_R,XAUUSD_15m_R
2026-07-26,0,2,0,0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0
2026-07-27,2,1,1,0,1.45,999.0,0.0,0.0,0.5,0.8,-1.0,0.0
2026-07-28,1,1,2,1,999.0,999.0,0.0,999.0,0.5,1.1,-2.0,1.3
2026-07-29,2,1,1,2,1.14,0.0,999.0,0.0,0.1,-1.0,1.4,-2.0
2026-07-30,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0
2026-07-31,1,0,0,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2026-08-02,1,0,0,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2026-08-04,1,0,3,0,999.0,0.0,0.0,0.0,0.4,0.0,-3.0,0.0
2026-08-05,0,1,4,1,0.0,0.0,6.83,0.0,0.0,-1.0,11.7,-1.0
2026-08-06,3,2,2,1,0.0,0.0,0.0,0.0,-3.0,-2.0,-2.0,-1.0
2026-08-07,0,1,2,0,0.0,0.0,1.38,0.0,0.0,-1.0,0.4,0.0
2026-08-09,1,0,0,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2026-08-10,1,0,0,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2026-08-11,1,0,1,1,999.0,0.0,0.0,0.0,1.8,0.0,-1.0,-1.0
2026-08-12,3,1,4,3,2.13,0.0,1.11,0.0,1.1,-1.0,0.2,-3.0
2026-08-13,2,1,0,0,0.0,999.0,0.0,0.0,-2.0,1.7,0.0,0.0
2026-08-14,4,0,2,0,0.0,0.0,999.0,0.0,-4.0,0.0,19.5,0.0
2026-08-16,2,0,1,0,0.0,0.0,999.0,0.0,-2.0,0.0,2.0,0.0
2026-08-17,3,2,2,2,0.0,0.0,0.0,1.48,-3.0,-2.0,-2.0,0.5
2026-08-18,0,0,1,2,0.0,0.0,999.0,0.0,0.0,0.0,0.4,-2.0
2026-08-19,0,0,1,0,0.0,0.0,999.0,0.0,0.0,0.0,1.9,0.0
2026-08-20,2,0,1,0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0
2026-08-21,1,1,1,0,999.0,0.0,0.0,0.0,0.2,-1.0,-1.0,0.0
2026-08-23,1,0,1,2,0.0,0.0,999.0,0.0,-1.0,0.0,2.5,-2.0
2026-08-24,3,0,0,3,1.16,0.0,0.0,0.0,0.3,0.0,0.0,-3.0
2026-08-25,2,0,0,0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
