month,NAS100_5m_n,NAS100_15m_n,XAUUSD_5m_n,XAUUSD_15m_n,NAS100_5m_PF,NAS100_15m_PF,XAUUSD_5m_PF,XAUUSD_15m_PF,NAS100_5m_R,NAS100_15m_R,XAUUSD_5m_R,XAUUSD_15m_R
2025-08,38,13,40,20,1.05,1.86,0.72,1.97,1.3,6.8,-8.0,12.6
2025-09,36,23,43,15,1.06,0.41,2.34,1.01,1.5,-10.6,41.5,0.1
2025-10,27,10,24,8,0.52,1.53,1.22,3.61,-11.6,3.7,3.0,10.4
2025-11,26,9,19,11,0.49,3.42,1.06,0.66,-10.2,16.9,0.8,-2.7
2025-12,39,18,40,15,0.79,1.25,1.06,1.87,-5.8,3.1,1.8,8.7
2026-01,36,17,24,17,1.02,1.91,0.49,0.57,0.4,8.2,-9.7,-6.1
2026-02,25,14,26,10,0.73,1.13,1.03,1.18,-5.1,1.0,0.5,0.9
2026-03,38,15,14,17,0.57,0.19,0.88,3.15,-13.2,-10.6,-1.2,23.6
2026-04,37,20,25,10,0.96,3.54,1.09,1.58,-1.0,33.0,1.4,4.0
2026-05,28,6,21,12,0.9,0.24,1.85,2.19,-2.0,-3.8,11.9,9.5
2026-06,28,10,28,12,1.03,0.53,2.76,5.29,0.7,-3.8,33.4,21.5
2026-07,30,16,18,13,1.05,2.08,0.47,1.41,1.0,10.8,-6.9,3.7
2026-08,31,9,26,15,0.33,0.22,2.91,0.11,-16.1,-6.3,28.6,-12.5
