season,NAS100_5m_n,NAS100_15m_n,XAUUSD_5m_n,XAUUSD_15m_n,NAS100_5m_PF,NAS100_15m_PF,XAUUSD_5m_PF,XAUUSD_15m_PF,NAS100_5m_R,NAS100_15m_R,XAUUSD_5m_R,XAUUSD_15m_R
Yay-2021,15,4,18,9,0.64,0.53,1.26,4.18,-4.3,-1.4,3.3,12.7
Payiz-2021,145,62,167,79,1.15,1.31,0.86,1.11,15.3,12.8,-17.3,6.7
Qis-2022,133,45,155,67,1.43,2.32,0.97,1.76,41.1,35.7,-3.6,35.1
Yaz-2022,153,74,151,53,0.95,0.71,0.87,1.86,-5.7,-16.0,-15.1,30.1
Yay-2022,157,70,179,78,1.01,0.73,1.23,0.84,1.5,-15.3,30.4,-10.0
Payiz-2022,151,63,153,64,0.97,1.26,0.98,0.75,-3.6,13.1,-2.3,-12.0
Qis-2023,130,54,139,69,1.01,3.28,0.88,1.7,0.9,79.7,-12.4,32.3
Yaz-2023,156,65,176,66,1.34,1.0,1.07,1.37,38.6,0.1,9.5,19.0
Yay-2023,159,74,185,98,0.98,1.09,1.09,1.01,-1.8,5.2,12.3,0.4
Payiz-2023,135,74,173,68,1.05,0.8,0.93,1.11,5.2,-11.1,-8.3,5.3
Qis-2024,128,47,135,64,1.21,1.61,0.64,0.56,19.0,17.7,-39.5,-20.6
Yaz-2024,125,65,140,58,0.95,0.55,0.53,1.87,-5.0,-23.2,-52.6,36.7
Yay-2024,104,49,113,42,0.93,0.57,1.15,0.57,-5.1,-16.3,13.8,-14.3
Payiz-2024,97,65,116,47,0.89,0.6,0.78,1.53,-8.5,-21.5,-19.6,16.5
Qis-2025,95,46,91,51,1.13,2.5,0.77,0.97,8.2,41.9,-15.1,-1.3
Yaz-2025,126,50,110,53,1.14,0.97,1.13,1.38,13.2,-1.0,9.9,14.6
Yay-2025,145,63,116,66,1.11,1.16,0.7,0.95,11.0,7.3,-26.0,-2.3
Payiz-2025,89,42,86,34,0.71,1.31,1.76,1.34,-20.3,10.0,45.4,7.9
Qis-2026,100,49,90,42,0.85,1.42,0.89,1.12,-10.5,12.2,-7.3,3.5
Yaz-2026,103,41,60,39,0.79,1.6,1.3,2.43,-16.3,18.6,12.1,37.2
Yay-2026,89,35,72,40,0.77,1.03,2.17,1.45,-14.5,0.7,55.1,12.7
