Trade Number,Balance,Equity,Drawdown %
0,10000.00,10000.00,0.00
1,9891.30,9891.30,1.09
2,9783.97,9783.97,2.16
3,9679.02,9679.02,3.21
4,9574.33,9574.33,4.26
5,9761.52,9761.52,2.38
6,9920.44,9920.44,0.80
7,9812.14,9812.14,1.88
8,9705.95,9705.95,2.94
9,9599.91,9599.91,4.00
10,9495.95,9495.95,5.04
11,9393.48,9393.48,6.07
12,9289.99,9289.99,7.10
13,9384.79,9384.79,6.15
14,9280.79,9280.79,7.19
15,9548.70,9548.70,4.51
16,9629.71,9629.71,3.70
17,9525.29,9525.29,4.75
18,9668.80,9668.80,3.31
19,9562.02,9562.02,4.38
20,9457.45,9457.45,5.43
21,9352.31,9352.31,6.48
22,9251.71,9251.71,7.48
23,9149.05,9149.05,8.51
24,9263.50,9263.50,7.36
25,9162.19,9162.19,8.38
26,9061.96,9061.96,9.38
27,8962.26,8962.26,10.38
28,9237.52,9237.52,7.62
29,9135.01,9135.01,8.65
30,9035.99,9035.99,9.64
31,9139.87,9139.87,8.60
32,9244.55,9244.55,7.55
33,9324.79,9324.79,6.75
34,9220.49,9220.49,7.80
35,9120.10,9120.10,8.80
36,9203.25,9203.25,7.97
37,9102.59,9102.59,8.97
38,9227.91,9227.91,7.72
39,9378.05,9378.05,6.22
40,9273.95,9273.95,7.26
41,9169.58,9169.58,8.30
42,9069.30,9069.30,9.31
43,8969.77,8969.77,10.30
44,8871.36,8871.36,11.29
45,8946.27,8946.27,10.54
46,9027.88,9027.88,9.72
47,8927.29,8927.29,10.73
48,8830.28,8830.28,11.70
49,8912.81,8912.81,10.87
50,8815.75,8815.75,11.84
51,8719.53,8719.53,12.80
52,8623.41,8623.41,13.77
53,8528.64,8528.64,14.71
54,8607.55,8607.55,13.92
55,8511.80,8511.80,14.88
56,8631.14,8631.14,13.69
57,8877.09,8877.09,11.23
58,8952.72,8952.72,10.47
59,8855.83,8855.83,11.44
60,8757.24,8757.24,12.43
61,9051.53,9051.53,9.48
62,8952.51,8952.51,10.47
63,8854.25,8854.25,11.46
64,8758.80,8758.80,12.41
65,8661.91,8661.91,13.38
66,8566.62,8566.62,14.33
67,8472.61,8472.61,15.27
68,8378.65,8378.65,16.21
