day,session,direction,entry_time,entry_price,stop,exit_reason,recorded_spread_at_entry,spread_cost_used,risk,r_multiple_gross,r_multiple_net,pnl_usd_gross,pnl_usd_net
2021-02-01,09:30,SHORT,2021-02-01 10:25:00-05:00,13083.0,13093.2,SL,0.0,3.0,10.2,-1.0,-1.2941,-1000.0,-1294.12
2021-02-02,09:30,LONG,2021-02-02 09:50:00-05:00,13396.1,13384.8,SL,0.0,3.0,11.3,-1.0,-1.2655,-1000.0,-1265.49
2021-02-03,09:30,LONG,2021-02-03 10:05:00-05:00,13512.3,13507.2,SL,0.0,3.0,5.1,-1.0,-1.5882,-1000.0,-1588.24
2021-02-04,09:30,LONG,2021-02-04 10:25:00-05:00,13445.3,13425.3,SL,0.0,3.0,20.0,-1.0,-1.15,-1000.0,-1150.0
2021-02-05,09:30,SHORT,2021-02-05 10:05:00-05:00,13562.6,13569.7,SL,0.0,3.0,7.1,-1.0,-1.4225,-1000.0,-1422.54
2021-02-08,09:30,LONG,2021-02-08 10:10:00-05:00,13678.4,13670.9,SL,0.0,3.0,7.5,-1.0,-1.4,-1000.0,-1400.0
2021-02-09,09:30,LONG,2021-02-09 11:05:00-05:00,13705.4,13698.6,SL,0.0,3.0,6.8,-1.0,-1.4412,-1000.0,-1441.18
2021-02-11,09:30,SHORT,2021-02-11 10:05:00-05:00,13714.9,13727.9,SL,0.0,3.0,13.0,-1.0,-1.2308,-1000.0,-1230.77
2021-02-12,09:30,LONG,2021-02-12 09:50:00-05:00,13698.7,13687.2,SL,0.0,3.0,11.5,-1.0,-1.2609,-1000.0,-1260.87
2021-02-15,09:30,SHORT,2021-02-15 10:05:00-05:00,13866.6,13867.1,SL,0.0,3.0,0.5,-1.0,-7.0,-1000.0,-7000.0
2021-02-16,09:30,LONG,2021-02-16 10:00:00-05:00,13856.8,13841.7,SL,0.0,3.0,15.1,-1.0,-1.1987,-1000.0,-1198.68
2021-02-17,09:30,LONG,2021-02-17 09:55:00-05:00,13674.0,13661.0,SL,0.0,3.0,13.0,-1.0,-1.2308,-1000.0,-1230.77
2021-02-18,09:30,SHORT,2021-02-18 10:45:00-05:00,13537.2,13549.7,SL,0.0,3.0,12.5,-1.0,-1.24,-1000.0,-1240.0
2021-02-19,09:30,SHORT,2021-02-19 11:20:00-05:00,13683.0,13692.7,SL,0.0,3.0,9.7,-1.0,-1.3093,-1000.0,-1309.28
