month,n,wr_orig,R_orig,net_orig_usd,wr_wide,R_wide,net_wide_usd,diff_usd
2023-09,3,0.0,-3.0,-15.0,0.0,-3.0,-15.0,0.0
2023-10,3,66.7,4.0,20.0,66.7,4.0,20.0,0.0
2023-11,3,33.3,0.5,2.5,33.3,0.5,2.5,0.0
2024-01,4,25.0,-0.5,-2.5,50.0,3.0,15.0,17.5
2024-02,5,20.0,-1.5,-7.5,20.0,-1.5,-7.5,0.0
2024-03,5,40.0,2.0,10.0,60.0,5.5,27.5,17.5
2024-04,2,50.0,1.5,7.5,50.0,1.5,7.5,0.0
2024-06,2,0.0,-2.0,-10.0,0.0,-2.0,-10.0,0.0
2024-07,9,66.7,12.0,60.0,55.6,8.5,42.5,-17.5
2024-08,13,15.4,-6.0,-30.0,23.1,-2.5,-12.5,17.5
2024-09,10,30.0,0.5,2.5,40.0,4.0,20.0,17.5
2024-10,9,22.2,-2.0,-10.0,44.4,5.0,25.0,35.0
2024-11,12,41.7,5.5,27.5,50.0,9.0,45.0,17.5
2024-12,11,9.1,-7.5,-37.5,9.1,-7.5,-37.5,0.0
2025-01,12,41.7,5.5,27.5,50.0,9.0,45.0,17.5
2025-02,10,60.0,11.0,55.0,50.0,7.5,37.5,-17.5
2025-03,15,20.0,-4.5,-22.5,13.3,-8.0,-40.0,-17.5
2025-04,16,25.0,-2.0,-10.0,31.2,1.5,7.5,17.5
2025-05,15,33.3,2.5,12.5,40.0,6.0,30.0,17.5
2025-06,13,30.8,1.0,5.0,15.4,-6.0,-30.0,-35.0
2025-07,11,36.4,3.0,15.0,27.3,-0.5,-2.5,-17.5
2025-08,10,20.0,-3.0,-15.0,20.0,-3.0,-15.0,0.0
2025-09,7,28.6,0.0,0.0,28.6,0.0,0.0,0.0
2025-10,16,25.0,-2.0,-10.0,25.0,-2.0,-10.0,0.0
2025-11,17,35.3,4.0,20.0,35.3,4.0,20.0,0.0
2025-12,13,30.8,1.0,5.0,38.5,4.5,22.5,17.5
2026-01,15,46.7,9.5,47.5,46.7,9.5,47.5,0.0
2026-02,17,41.2,7.5,37.5,35.3,4.0,20.0,-17.5
2026-03,19,31.6,2.0,10.0,47.4,12.5,62.5,52.5
2026-04,15,33.3,2.5,12.5,33.3,2.5,12.5,0.0
2026-05,21,28.6,0.0,0.0,33.3,3.5,17.5,17.5
2026-06,21,47.6,14.0,70.0,52.4,17.5,87.5,17.5
2026-07,20,25.0,-2.5,-12.5,25.0,-2.5,-12.5,0.0
2026-08,13,15.4,-6.0,-30.0,7.7,-9.5,-47.5,-17.5
