month,n_orig,wr_orig,R_orig,net_orig,n_wide,wr_wide,R_wide,net_wide,diff_usd
2022-01,15,26.7,-1.0,-500.0,15,13.3,-8.0,-4000.0,-3500.0
2022-02,15,40.0,6.0,3000.0,15,33.3,2.5,1250.0,-1750.0
2022-03,15,40.0,6.0,3000.0,15,33.3,2.5,1250.0,-1750.0
2022-04,10,40.0,4.0,2000.0,10,40.0,4.0,2000.0,0.0
2022-05,11,27.3,-0.5,-250.0,11,27.3,-0.5,-250.0,0.0
2022-06,14,21.4,-3.5,-1750.0,14,35.7,3.5,1750.0,3500.0
2022-07,7,0.0,-7.0,-3500.0,7,42.9,3.5,1750.0,5250.0
2022-08,3,33.3,0.5,250.0,3,33.3,0.5,250.0,0.0
2022-09,12,0.0,-12.0,-6000.0,12,0.0,-12.0,-6000.0,0.0
2022-10,10,50.0,7.5,3750.0,10,40.0,4.0,2000.0,-1750.0
2022-11,13,53.8,11.5,5750.0,13,38.5,4.5,2250.0,-3500.0
2022-12,6,50.0,4.5,2250.0,6,50.0,4.5,2250.0,0.0
2023-01,2,50.0,1.5,750.0,2,50.0,1.5,750.0,0.0
2023-02,9,22.2,-2.0,-1000.0,9,11.1,-5.5,-2750.0,-1750.0
2023-03,5,0.0,-5.0,-2500.0,5,20.0,-1.5,-750.0,1750.0
2023-04,3,66.7,4.0,2000.0,3,33.3,0.5,250.0,-1750.0
2023-06,4,0.0,-4.0,-2000.0,4,25.0,-0.5,-250.0,1750.0
2023-07,6,16.7,-2.5,-1250.0,6,16.7,-2.5,-1250.0,0.0
2023-08,3,33.3,0.5,250.0,3,33.3,0.5,250.0,0.0
2023-09,3,0.0,-3.0,-1500.0,3,0.0,-3.0,-1500.0,0.0
2023-10,3,66.7,4.0,2000.0,3,66.7,4.0,2000.0,0.0
2023-11,3,33.3,0.5,250.0,3,33.3,0.5,250.0,0.0
2024-01,4,25.0,-0.5,-250.0,4,50.0,3.0,1500.0,1750.0
2024-02,5,20.0,-1.5,-750.0,5,20.0,-1.5,-750.0,0.0
2024-03,5,40.0,2.0,1000.0,5,60.0,5.5,2750.0,1750.0
2024-04,2,50.0,1.5,750.0,2,50.0,1.5,750.0,0.0
2024-06,2,0.0,-2.0,-1000.0,2,0.0,-2.0,-1000.0,0.0
2024-07,9,66.7,12.0,6000.0,9,55.6,8.5,4250.0,-1750.0
2024-08,13,15.4,-6.0,-3000.0,13,23.1,-2.5,-1250.0,1750.0
2024-09,10,30.0,0.5,250.0,10,40.0,4.0,2000.0,1750.0
2024-10,9,22.2,-2.0,-1000.0,9,44.4,5.0,2500.0,3500.0
2024-11,12,41.7,5.5,2750.0,12,50.0,9.0,4500.0,1750.0
2024-12,11,9.1,-7.5,-3750.0,11,9.1,-7.5,-3750.0,0.0
2025-01,12,41.7,5.5,2750.0,12,50.0,9.0,4500.0,1750.0
2025-02,10,60.0,11.0,5500.0,10,50.0,7.5,3750.0,-1750.0
2025-03,15,20.0,-4.5,-2250.0,15,13.3,-8.0,-4000.0,-1750.0
2025-04,16,25.0,-2.0,-1000.0,16,31.2,1.5,750.0,1750.0
2025-05,15,33.3,2.5,1250.0,15,40.0,6.0,3000.0,1750.0
2025-06,13,30.8,1.0,500.0,13,15.4,-6.0,-3000.0,-3500.0
2025-07,11,36.4,3.0,1500.0,11,27.3,-0.5,-250.0,-1750.0
2025-08,10,20.0,-3.0,-1500.0,10,20.0,-3.0,-1500.0,0.0
2025-09,7,28.6,0.0,0.0,7,28.6,0.0,0.0,0.0
2025-10,16,25.0,-2.0,-1000.0,16,25.0,-2.0,-1000.0,0.0
2025-11,17,35.3,4.0,2000.0,17,35.3,4.0,2000.0,0.0
2025-12,13,30.8,1.0,500.0,13,38.5,4.5,2250.0,1750.0
2026-01,15,46.7,9.5,4750.0,15,46.7,9.5,4750.0,0.0
2026-02,17,41.2,7.5,3750.0,17,35.3,4.0,2000.0,-1750.0
2026-03,19,31.6,2.0,1000.0,19,47.4,12.5,6250.0,5250.0
2026-04,15,33.3,2.5,1250.0,15,33.3,2.5,1250.0,0.0
2026-05,21,28.6,0.0,0.0,21,33.3,3.5,1750.0,1750.0
2026-06,21,47.6,14.0,7000.0,21,52.4,17.5,8750.0,1750.0
2026-07,20,25.0,-2.5,-1250.0,20,25.0,-2.5,-1250.0,0.0
2026-08,13,15.4,-6.0,-3000.0,13,7.7,-9.5,-4750.0,-1750.0
