month,trades,wins,losses,win_rate_pct,total_r,profit_factor,net_pnl_usd
2021-08,1,0,1,0.0,-1.0,0.0,-1000.0
2021-09,4,1,3,25.0,-0.5,0.83,-500.0
2021-10,3,2,1,66.7,4.0,5.0,4000.0
2021-11,8,2,6,25.0,-1.0,0.83,-1000.0
2021-12,10,1,9,10.0,-6.5,0.28,-6500.0
2022-01,15,4,11,26.7,-1.0,0.91,-1000.0
2022-02,15,6,9,40.0,6.0,1.67,6000.0
2022-03,15,6,9,40.0,6.0,1.67,6000.0
2022-04,10,4,6,40.0,4.0,1.67,4000.0
2022-05,11,3,8,27.3,-0.5,0.94,-500.0
2022-06,14,3,11,21.4,-3.5,0.68,-3500.0
2022-07,7,0,7,0.0,-7.0,0.0,-7000.0
2022-08,3,1,2,33.3,0.5,1.25,500.0
2022-09,12,0,12,0.0,-12.0,0.0,-12000.0
2022-10,10,5,5,50.0,7.5,2.5,7500.0
2022-11,13,7,6,53.8,11.5,2.92,11500.0
2022-12,6,3,3,50.0,4.5,2.5,4500.0
2023-01,2,1,1,50.0,1.5,2.5,1500.0
2023-02,9,2,7,22.2,-2.0,0.71,-2000.0
2023-03,5,0,5,0.0,-5.0,0.0,-5000.0
2023-04,3,2,1,66.7,4.0,5.0,4000.0
2023-06,4,0,4,0.0,-4.0,0.0,-4000.0
2023-07,6,1,5,16.7,-2.5,0.5,-2500.0
2023-08,3,1,2,33.3,0.5,1.25,500.0
2023-09,3,0,3,0.0,-3.0,0.0,-3000.0
2023-10,3,2,1,66.7,4.0,5.0,4000.0
2023-11,3,1,2,33.3,0.5,1.25,500.0
2024-01,4,1,3,25.0,-0.5,0.83,-500.0
2024-02,5,1,4,20.0,-1.5,0.62,-1500.0
2024-03,5,2,3,40.0,2.0,1.67,2000.0
2024-04,2,1,1,50.0,1.5,2.5,1500.0
2024-06,2,0,2,0.0,-2.0,0.0,-2000.0
2024-07,9,6,3,66.7,12.0,5.0,12000.0
2024-08,13,2,11,15.4,-6.0,0.45,-6000.0
2024-09,10,3,7,30.0,0.5,1.07,500.0
2024-10,9,2,7,22.2,-2.0,0.71,-2000.0
2024-11,12,5,7,41.7,5.5,1.79,5500.0
2024-12,11,1,10,9.1,-7.5,0.25,-7500.0
2025-01,12,5,7,41.7,5.5,1.79,5500.0
2025-02,10,6,4,60.0,11.0,3.75,11000.0
2025-03,15,3,12,20.0,-4.5,0.62,-4500.0
2025-04,16,4,12,25.0,-2.0,0.83,-2000.0
2025-05,15,5,10,33.3,2.5,1.25,2500.0
2025-06,13,4,9,30.8,1.0,1.11,1000.0
2025-07,11,4,7,36.4,3.0,1.43,3000.0
2025-08,10,2,8,20.0,-3.0,0.62,-3000.0
2025-09,7,2,5,28.6,0.0,1.0,0.0
2025-10,16,4,12,25.0,-2.0,0.83,-2000.0
2025-11,17,6,11,35.3,4.0,1.36,4000.0
2025-12,13,4,9,30.8,1.0,1.11,1000.0
2026-01,15,7,8,46.7,9.5,2.19,9500.0
2026-02,17,7,10,41.2,7.5,1.75,7500.0
2026-03,19,6,13,31.6,2.0,1.15,2000.0
2026-04,15,5,10,33.3,2.5,1.25,2500.0
2026-05,21,6,15,28.6,0.0,1.0,0.0
2026-06,21,10,11,47.6,14.0,2.27,14000.0
2026-07,20,5,15,25.0,-2.5,0.83,-2500.0
2026-08,13,2,11,15.4,-6.0,0.45,-6000.0
TOTAL,576,179,397,31.1,50.5,1.13,50500.0
