date,session,direction,fvg_upper,fvg_lower,fvg_formed_time_ny,entry_time_ny,entry_price,stop,target,target_type,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2024-08-28,midnight,LONG,19561.9,19558.1,2024-08-28 00:28,2024-08-28 00:31,19561.9,19553.1,19623.4,PDH,2024-08-28 01:07,19553.1,SL,-1.0,-1000.0
2024-09-09,midnight,SHORT,18528.98,18524.98,2024-09-09 00:23,2024-09-09 00:25,18524.98,18533.98,18389.9,PDL,2024-09-09 00:28,18533.98,SL,-1.0,-1000.0
2024-09-20,midnight,SHORT,19814.84,19808.84,2024-09-20 00:16,2024-09-20 00:19,19808.84,19819.84,19724.88,PDL,2024-09-20 00:30,19819.84,SL,-1.0,-1000.0
2024-10-16,midnight,SHORT,20448.58,20225.61,2024-10-16 00:03,2024-10-16 00:05,20225.61,20453.58,19752.52,swing_low,2024-10-16 23:59,20148.09,EOD,0.34,340.04
2024-10-17,midnight,SHORT,20148.09,20131.59,2024-10-17 00:10,2024-10-17 00:12,20131.59,20153.09,20119.68,PDL,2024-10-17 02:10,20153.09,SL,-1.0,-1000.0
2024-11-12,midnight,SHORT,21124.85,21110.1,2024-11-12 00:28,2024-11-12 00:30,21110.1,21129.85,21066.67,PDL,2024-11-12 05:28,21066.67,TP,2.199,2198.99
2025-01-09,midnight,LONG,21084.87,21079.74,2025-01-09 00:05,2025-01-09 00:08,21084.87,21074.74,21195.48,PDH,2025-01-09 02:01,21074.74,SL,-1.0,-1000.0
2025-01-10,midnight,LONG,21076.23,21071.61,2025-01-10 00:05,2025-01-10 00:14,21076.23,21066.61,21636.7,swing_high,2025-01-10 01:00,21066.61,SL,-1.0,-1000.0
2025-01-13,midnight,SHORT,20670.95,20664.58,2025-01-13 00:28,2025-01-13 00:42,20664.58,20675.95,20648.06,PDL,2025-01-13 00:53,20675.95,SL,-1.0,-1000.0
2025-01-29,midnight,LONG,21442.05,21438.8,2025-01-29 00:16,2025-01-29 00:21,21442.05,21433.8,21464.16,PDH,2025-01-29 00:32,21433.8,SL,-1.0,-1000.0
2025-02-03,midnight,SHORT,20876.49,20867.86,2025-02-03 00:00,2025-02-03 00:02,20867.86,20881.49,20835.86,swing_low,2025-02-03 00:10,20881.49,SL,-1.0,-1000.0
2025-02-06,midnight,LONG,21690.14,21687.01,2025-02-06 00:21,2025-02-06 00:24,21690.14,21682.01,21813.05,swing_high,2025-02-06 01:51,21682.01,SL,-1.0,-1000.0
2025-02-26,midnight,LONG,21202.3,21198.7,2025-02-26 00:22,2025-02-26 00:31,21202.3,21193.7,21333.4,PDH,2025-02-26 09:13,21193.7,SL,-1.0,-1000.0
2025-03-03,midnight,LONG,20925.2,20915.7,2025-03-03 00:24,2025-03-03 00:29,20925.2,20910.7,21746.8,swing_high,2025-03-03 02:23,20910.7,SL,-1.0,-1000.0
2025-03-06,midnight,LONG,20602.0,20597.9,2025-03-06 00:14,2025-03-06 00:20,20602.0,20592.9,20683.0,PDH,2025-03-06 00:30,20592.9,SL,-1.0,-1000.0
2025-03-13,midnight,SHORT,19505.3,19499.6,2025-03-13 00:17,2025-03-13 00:19,19499.6,19510.3,19365.8,PDL,2025-03-13 05:19,19510.3,SL,-1.0,-1000.0
2025-03-27,midnight,SHORT,19936.95,19931.1,2025-03-27 00:12,2025-03-27 00:25,19931.1,19941.95,19840.05,PDL,2025-03-27 01:38,19941.95,SL,-1.0,-1000.0
2025-04-09,midnight,SHORT,16728.35,16691.75,2025-04-09 00:25,2025-04-09 00:34,16691.75,16733.35,16313.25,swing_low,2025-04-09 00:46,16733.35,SL,-1.0,-1000.0
2025-04-14,midnight,LONG,18931.05,18923.05,2025-04-14 00:12,2025-04-14 00:14,18931.05,18918.05,19245.8,swing_high,2025-04-14 05:35,18918.05,SL,-1.0,-1000.0
2025-04-23,midnight,LONG,18597.1,18586.85,2025-04-23 00:01,2025-04-23 00:05,18597.1,18581.85,19117.15,swing_high,2025-04-23 01:13,18581.85,SL,-1.0,-1000.0
2025-04-24,midnight,SHORT,18621.65,18617.55,2025-04-24 00:15,2025-04-24 00:20,18617.55,18626.65,18614.8,PDL,2025-04-24 00:22,18626.65,SL,-1.0,-1000.0
2025-04-28,midnight,LONG,19313.95,19306.6,2025-04-28 00:28,2025-04-28 00:33,19313.95,19301.6,19441.1,PDH,2025-04-28 00:58,19301.6,SL,-1.0,-1000.0
2025-04-30,midnight,SHORT,19415.4,19409.9,2025-04-30 00:05,2025-04-30 00:07,19409.9,19420.4,19299.0,PDL,2025-04-30 00:17,19420.4,SL,-1.0,-1000.0
2025-05-05,midnight,SHORT,19953.7,19943.9,2025-05-05 00:06,2025-05-05 00:13,19943.9,19958.7,19919.6,PDL,2025-05-05 01:01,19958.7,SL,-1.0,-1000.0
2025-05-06,midnight,SHORT,19894.45,19887.95,2025-05-06 00:09,2025-05-06 00:11,19887.95,19899.45,19886.75,PDL,2025-05-06 00:12,19886.75,TP,0.104,104.35
2025-05-08,midnight,LONG,20099.7,20095.75,2025-05-08 00:16,2025-05-08 00:20,20099.7,20090.75,20175.1,swing_high,2025-05-08 00:23,20090.75,SL,-1.0,-1000.0
2025-05-16,midnight,LONG,21323.05,21318.9,2025-05-16 00:00,2025-05-16 00:06,21323.05,21313.9,21445.15,PDH,2025-05-16 00:53,21313.9,SL,-1.0,-1000.0
2025-05-23,midnight,SHORT,21103.25,21098.2,2025-05-23 00:25,2025-05-23 00:27,21098.2,21108.25,21047.05,PDL,2025-05-23 01:21,21108.25,SL,-1.0,-1000.0
2025-05-26,midnight,LONG,21150.7,21147.5,2025-05-26 00:18,2025-05-26 00:20,21150.7,21142.5,21487.65,swing_high,2025-05-26 01:27,21142.5,SL,-1.0,-1000.0
