date,session,direction,fvg_upper,fvg_lower,fvg_formed_time_ny,entry_time_ny,entry_price,stop,target,target_type,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2026-08-03,midnight,LONG,28560.4,28554.6,2026-08-03 00:15,2026-08-03 00:17,28560.4,28552.0,28581.4,FIXED_2.5R,2026-08-03 00:52,28552.0,SL,-1.0,-1000.0
2026-08-04,midnight,SHORT,28888.0,28881.7,2026-08-04 00:04,2026-08-04 00:07,28881.7,28889.7,28861.7,FIXED_2.5R,2026-08-04 00:07,28889.7,SL,-1.0,-1000.0
2026-08-05,midnight,LONG,29787.6,29784.1,2026-08-05 00:07,2026-08-05 00:09,29787.6,29781.3,29803.35,FIXED_2.5R,2026-08-05 00:12,29781.3,SL,-1.0,-1000.0
2026-08-06,midnight,LONG,29464.1,29457.8,2026-08-06 00:15,2026-08-06 00:19,29464.1,29454.1,29489.1,FIXED_2.5R,2026-08-06 00:25,29489.1,TP,2.5,2500.0
2026-08-07,midnight,LONG,29394.1,29390.8,2026-08-07 00:06,2026-08-07 00:08,29394.1,29388.5,29408.1,FIXED_2.5R,2026-08-07 00:13,29388.5,SL,-1.0,-1000.0
2026-08-10,midnight,LONG,29793.4,29788.9,2026-08-10 00:08,2026-08-10 00:11,29793.4,29785.7,29812.65,FIXED_2.5R,2026-08-10 00:40,29785.7,SL,-1.0,-1000.0
2026-08-11,midnight,LONG,29754.6,29751.3,2026-08-11 00:10,2026-08-11 00:12,29754.6,29747.8,29771.6,FIXED_2.5R,2026-08-11 00:31,29771.6,TP,2.5,2500.0
2026-08-12,midnight,SHORT,29611.8,29608.3,2026-08-12 00:08,2026-08-12 00:10,29608.3,29613.0,29596.55,FIXED_2.5R,2026-08-12 00:24,29613.0,SL,-1.0,-1000.0
2026-08-13,midnight,SHORT,29804.1,29796.3,2026-08-13 00:13,2026-08-13 00:28,29796.3,29803.1,29779.3,FIXED_2.5R,2026-08-13 00:33,29803.1,SL,-1.0,-1000.0
2026-08-14,midnight,LONG,30072.6,30069.6,2026-08-14 00:13,2026-08-14 00:15,30072.6,30068.4,30083.1,FIXED_2.5R,2026-08-14 00:23,30068.4,SL,-1.0,-1000.0
2026-08-18,midnight,SHORT,29820.8,29813.6,2026-08-18 00:00,2026-08-18 00:05,29813.6,29823.1,29789.85,FIXED_2.5R,2026-08-18 00:09,29823.1,SL,-1.0,-1000.0
2026-08-20,midnight,LONG,29566.1,29560.1,2026-08-20 00:04,2026-08-20 00:30,29566.1,29557.6,29587.35,FIXED_2.5R,2026-08-20 00:32,29557.6,SL,-1.0,-1000.0
2026-08-21,midnight,LONG,29298.2,29291.0,2026-08-21 00:13,2026-08-21 00:15,29298.2,29288.6,29322.2,FIXED_2.5R,2026-08-21 00:16,29288.6,SL,-1.0,-1000.0
