date,session,direction,fvg_upper,fvg_lower,fvg_formed_time_ny,entry_time_ny,entry_price,stop,target,target_type,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2021-08-27,midnight,LONG,15334.5,15330.3,2021-08-27 00:20,2021-08-27 00:22,15334.5,15330.2,15345.25,FIXED_2.5R,2021-08-27 00:37,15330.2,SL,-1.0,-1000.0
2021-09-01,midnight,LONG,15617.4,15614.4,2021-09-01 00:19,2021-09-01 00:21,15617.4,15614.1,15625.65,FIXED_2.5R,2021-09-01 00:27,15614.1,SL,-1.0,-1000.0
2021-09-17,midnight,LONG,15535.8,15532.6,2021-09-17 00:21,2021-09-17 00:30,15535.8,15532.6,15543.8,FIXED_2.5R,2021-09-17 01:22,15543.8,TP,2.5,2500.0
2021-09-20,midnight,SHORT,15252.6,15246.2,2021-09-20 00:18,2021-09-20 00:28,15246.2,15252.3,15230.95,FIXED_2.5R,2021-09-20 00:41,15252.3,SL,-1.0,-1000.0
2021-09-29,midnight,SHORT,14852.8,14849.5,2021-09-29 00:14,2021-09-29 00:16,14849.5,14852.8,14841.25,FIXED_2.5R,2021-09-29 00:19,14852.8,SL,-1.0,-1000.0
2021-10-05,midnight,SHORT,14523.1,14518.8,2021-10-05 00:03,2021-10-05 00:05,14518.8,14524.3,14505.05,FIXED_2.5R,2021-10-05 00:22,14505.05,TP,2.5,2500.0
2021-10-06,midnight,SHORT,14589.9,14585.7,2021-10-06 00:27,2021-10-06 00:32,14585.7,14591.7,14570.7,FIXED_2.5R,2021-10-06 00:42,14570.7,TP,2.5,2500.0
2021-10-11,midnight,LONG,14768.7,14765.5,2021-10-11 00:02,2021-10-11 00:04,14768.7,14764.2,14779.95,FIXED_2.5R,2021-10-11 00:08,14764.2,SL,-1.0,-1000.0
2021-11-09,midnight,LONG,16322.1,16318.9,2021-11-09 00:23,2021-11-09 00:26,16322.1,16318.6,16330.85,FIXED_2.5R,2021-11-09 00:36,16318.6,SL,-1.0,-1000.0
2021-11-11,midnight,LONG,16012.0,16007.4,2021-11-11 00:12,2021-11-11 03:35,16012.0,16006.8,16025.0,FIXED_2.5R,2021-11-11 03:37,16006.8,SL,-1.0,-1000.0
2021-11-16,midnight,LONG,16200.6,16197.4,2021-11-16 00:00,2021-11-16 00:14,16200.6,16197.6,16208.1,FIXED_2.5R,2021-11-16 00:17,16197.6,SL,-1.0,-1000.0
2021-11-18,midnight,LONG,16354.2,16351.2,2021-11-18 00:04,2021-11-18 00:06,16354.2,16351.0,16362.2,FIXED_2.5R,2021-11-18 00:10,16351.0,SL,-1.0,-1000.0
2021-11-19,midnight,SHORT,16573.5,16569.9,2021-11-19 00:10,2021-11-19 00:12,16569.9,16575.6,16555.65,FIXED_2.5R,2021-11-19 00:45,16575.6,SL,-1.0,-1000.0
2021-11-24,midnight,LONG,16290.1,16286.6,2021-11-24 00:05,2021-11-24 00:09,16290.1,16286.4,16299.35,FIXED_2.5R,2021-11-24 00:28,16299.35,TP,2.5,2500.0
2021-11-29,midnight,SHORT,16222.2,16218.9,2021-11-29 00:14,2021-11-29 00:16,16218.9,16223.7,16206.9,FIXED_2.5R,2021-11-29 00:21,16206.9,TP,2.5,2500.0
2021-11-30,midnight,SHORT,16390.5,16387.2,2021-11-30 00:11,2021-11-30 09:53,16387.2,16393.5,16371.45,FIXED_2.5R,2021-11-30 09:54,16393.5,SL,-1.0,-1000.0
2021-12-02,midnight,LONG,15946.2,15943.2,2021-12-02 00:24,2021-12-02 00:26,15946.2,15941.2,15958.7,FIXED_2.5R,2021-12-02 01:01,15941.2,SL,-1.0,-1000.0
2021-12-08,midnight,SHORT,16393.3,16390.1,2021-12-08 00:06,2021-12-08 00:08,16390.1,16393.3,16382.1,FIXED_2.5R,2021-12-08 00:10,16393.3,SL,-1.0,-1000.0
2021-12-13,midnight,SHORT,16402.0,16394.4,2021-12-13 00:28,2021-12-13 00:31,16394.4,16402.8,16373.4,FIXED_2.5R,2021-12-13 01:39,16402.8,SL,-1.0,-1000.0
2021-12-15,midnight,SHORT,15943.2,15940.2,2021-12-15 00:09,2021-12-15 00:15,15940.2,15943.8,15931.2,FIXED_2.5R,2021-12-15 00:30,15943.8,SL,-1.0,-1000.0
2021-12-16,midnight,SHORT,16343.6,16340.1,2021-12-16 00:09,2021-12-16 00:11,16340.1,16343.8,16330.85,FIXED_2.5R,2021-12-16 00:12,16343.8,SL,-1.0,-1000.0
2021-12-17,midnight,SHORT,15852.3,15848.1,2021-12-17 00:02,2021-12-17 00:35,15848.1,15852.6,15836.85,FIXED_2.5R,2021-12-17 00:35,15852.6,SL,-1.0,-1000.0
2021-12-20,midnight,SHORT,15645.0,15640.2,2021-12-20 00:00,2021-12-20 00:15,15640.2,15648.9,15618.45,FIXED_2.5R,2021-12-20 00:44,15618.45,TP,2.5,2500.0
2021-12-21,midnight,LONG,15784.5,15781.2,2021-12-21 00:00,2021-12-21 03:00,15784.5,15780.6,15794.25,FIXED_2.5R,2021-12-21 03:00,15780.6,SL,-1.0,-1000.0
2021-12-22,midnight,LONG,15954.3,15950.8,2021-12-22 00:02,2021-12-22 00:07,15954.3,15951.0,15962.55,FIXED_2.5R,2021-12-22 00:09,15951.0,SL,-1.0,-1000.0
2021-12-29,midnight,SHORT,16553.1,16548.3,2021-12-29 00:28,2021-12-29 00:31,16548.3,16553.1,16536.3,FIXED_2.5R,2021-12-29 00:35,16553.1,SL,-1.0,-1000.0
2022-01-04,midnight,LONG,16541.8,16538.8,2022-01-04 00:18,2022-01-04 00:20,16541.8,16538.5,16550.05,FIXED_2.5R,2022-01-04 01:07,16550.05,TP,2.5,2500.0
2022-01-05,midnight,SHORT,16212.9,16208.1,2022-01-05 00:02,2022-01-05 00:04,16208.1,16213.5,16194.6,FIXED_2.5R,2022-01-05 00:09,16194.6,TP,2.5,2500.0
2022-01-06,midnight,LONG,15657.9,15650.7,2022-01-06 00:08,2022-01-06 00:11,15657.9,15649.2,15679.65,FIXED_2.5R,2022-01-06 00:19,15679.65,TP,2.5,2500.0
2022-01-07,midnight,SHORT,15797.6,15793.2,2022-01-07 00:09,2022-01-07 00:58,15793.2,15798.9,15778.95,FIXED_2.5R,2022-01-07 01:34,15798.9,SL,-1.0,-1000.0
2022-01-10,midnight,SHORT,15644.4,15641.1,2022-01-10 00:03,2022-01-10 00:07,15641.1,15646.5,15627.6,FIXED_2.5R,2022-01-10 00:33,15646.5,SL,-1.0,-1000.0
2022-01-11,midnight,LONG,15613.2,15609.9,2022-01-11 00:04,2022-01-11 00:09,15613.2,15609.6,15622.2,FIXED_2.5R,2022-01-11 00:11,15609.6,SL,-1.0,-1000.0
2022-01-14,midnight,LONG,15510.9,15507.3,2022-01-14 00:00,2022-01-14 00:06,15510.9,15507.3,15519.9,FIXED_2.5R,2022-01-14 00:06,15507.3,SL,-1.0,-1000.0
2022-01-20,midnight,LONG,15135.4,15129.4,2022-01-20 00:01,2022-01-20 00:03,15135.4,15129.4,15150.4,FIXED_2.5R,2022-01-20 00:09,15129.4,SL,-1.0,-1000.0
2022-01-21,midnight,LONG,14661.5,14657.7,2022-01-21 00:00,2022-01-21 00:02,14661.5,14651.2,14687.25,FIXED_2.5R,2022-01-21 00:33,14687.25,TP,2.5,2500.0
2022-01-24,midnight,LONG,14555.8,14549.2,2022-01-24 00:17,2022-01-24 00:19,14555.8,14549.2,14572.3,FIXED_2.5R,2022-01-24 01:01,14549.2,SL,-1.0,-1000.0
2022-01-25,midnight,SHORT,14236.4,14223.6,2022-01-25 00:01,2022-01-25 00:03,14223.6,14237.9,14187.85,FIXED_2.5R,2022-01-25 00:04,14237.9,SL,-1.0,-1000.0
2022-01-26,midnight,SHORT,14215.1,14210.8,2022-01-26 00:15,2022-01-26 00:17,14210.8,14221.6,14183.8,FIXED_2.5R,2022-01-26 00:29,14221.6,SL,-1.0,-1000.0
2022-01-27,midnight,LONG,13960.2,13955.8,2022-01-27 00:02,2022-01-27 00:09,13960.2,13946.2,13995.2,FIXED_2.5R,2022-01-27 00:14,13946.2,SL,-1.0,-1000.0
2022-01-28,midnight,LONG,14114.2,14110.7,2022-01-28 00:11,2022-01-28 03:10,14114.2,14104.5,14138.45,FIXED_2.5R,2022-01-28 03:11,14104.5,SL,-1.0,-1000.0
2022-01-31,midnight,SHORT,14493.8,14490.8,2022-01-31 00:04,2022-01-31 00:31,14490.8,14493.8,14483.3,FIXED_2.5R,2022-01-31 00:31,14493.8,SL,-1.0,-1000.0
2022-02-02,midnight,LONG,15166.5,15162.0,2022-02-02 00:03,2022-02-02 00:06,15166.5,15160.7,15181.0,FIXED_2.5R,2022-02-02 00:29,15181.0,TP,2.5,2500.0
2022-02-04,midnight,LONG,14802.1,14797.3,2022-02-04 00:16,2022-02-04 00:35,14802.1,14796.6,14815.85,FIXED_2.5R,2022-02-04 00:56,14815.85,TP,2.5,2500.0
2022-02-07,midnight,SHORT,14707.7,14704.0,2022-02-07 00:03,2022-02-07 00:05,14704.0,14709.5,14690.25,FIXED_2.5R,2022-02-07 00:09,14709.5,SL,-1.0,-1000.0
2022-02-08,midnight,SHORT,14588.2,14583.2,2022-02-08 00:02,2022-02-08 00:04,14583.2,14590.0,14566.2,FIXED_2.5R,2022-02-08 00:09,14590.0,SL,-1.0,-1000.0
2022-02-09,midnight,LONG,14828.2,14824.7,2022-02-09 00:05,2022-02-09 00:09,14828.2,14825.0,14836.2,FIXED_2.5R,2022-02-09 00:11,14825.0,SL,-1.0,-1000.0
2022-02-11,midnight,SHORT,14580.8,14577.5,2022-02-11 00:20,2022-02-11 00:32,14577.5,14582.0,14566.25,FIXED_2.5R,2022-02-11 00:34,14566.25,TP,2.5,2500.0
2022-02-14,midnight,LONG,14293.0,14285.1,2022-02-14 00:01,2022-02-14 00:03,14293.0,14284.3,14314.75,FIXED_2.5R,2022-02-14 00:11,14284.3,SL,-1.0,-1000.0
2022-02-15,midnight,SHORT,14285.3,14280.6,2022-02-15 00:03,2022-02-15 01:17,14280.6,14288.3,14261.35,FIXED_2.5R,2022-02-15 01:20,14261.35,TP,2.5,2500.0
2022-02-16,midnight,LONG,14578.8,14575.5,2022-02-16 00:01,2022-02-16 00:07,14578.8,14574.8,14588.8,FIXED_2.5R,2022-02-16 01:01,14588.8,TP,2.5,2500.0
2022-02-17,midnight,LONG,14517.0,14496.6,2022-02-17 00:06,2022-02-17 00:09,14517.0,14493.0,14577.0,FIXED_2.5R,2022-02-17 03:05,14577.0,TP,2.5,2500.0
2022-02-21,midnight,SHORT,14061.5,14058.2,2022-02-21 00:06,2022-02-21 00:08,14058.2,14062.0,14048.7,FIXED_2.5R,2022-02-21 00:15,14062.0,SL,-1.0,-1000.0
2022-02-22,midnight,LONG,13707.3,13698.1,2022-02-22 00:00,2022-02-22 00:02,13707.3,13694.6,13739.05,FIXED_2.5R,2022-02-22 00:14,13694.6,SL,-1.0,-1000.0
2022-02-23,midnight,LONG,13976.8,13973.3,2022-02-23 00:28,2022-02-23 00:33,13976.8,13973.8,13984.3,FIXED_2.5R,2022-02-23 00:34,13973.8,SL,-1.0,-1000.0
2022-02-24,midnight,SHORT,13187.5,13182.5,2022-02-24 00:07,2022-02-24 00:14,13182.5,13191.0,13161.25,FIXED_2.5R,2022-02-24 00:14,13191.0,SL,-1.0,-1000.0
2022-02-25,midnight,SHORT,13859.8,13850.2,2022-02-25 00:20,2022-02-25 00:22,13850.2,13861.0,13823.2,FIXED_2.5R,2022-02-25 00:26,13861.0,SL,-1.0,-1000.0
2022-03-02,midnight,LONG,14083.3,14066.2,2022-03-02 00:17,2022-03-02 00:21,14083.3,14065.0,14129.05,FIXED_2.5R,2022-03-02 01:03,14065.0,SL,-1.0,-1000.0
2022-03-03,midnight,SHORT,14223.2,14218.0,2022-03-03 00:02,2022-03-03 00:04,14218.0,14224.0,14203.0,FIXED_2.5R,2022-03-03 00:04,14224.0,SL,-1.0,-1000.0
2022-03-04,midnight,LONG,13925.9,13916.9,2022-03-04 00:04,2022-03-04 00:06,13925.9,13913.1,13957.9,FIXED_2.5R,2022-03-04 01:00,13957.9,TP,2.5,2500.0
2022-03-07,midnight,LONG,13641.5,13634.3,2022-03-07 00:15,2022-03-07 00:29,13641.5,13622.3,13689.5,FIXED_2.5R,2022-03-07 00:31,13622.3,SL,-1.0,-1000.0
2022-03-08,midnight,LONG,13288.3,13283.0,2022-03-08 00:05,2022-03-08 00:07,13288.3,13279.6,13310.05,FIXED_2.5R,2022-03-08 00:07,13279.6,SL,-1.0,-1000.0
2022-03-09,midnight,SHORT,13322.2,13318.6,2022-03-09 00:01,2022-03-09 00:13,13318.6,13325.2,13302.1,FIXED_2.5R,2022-03-09 00:16,13302.1,TP,2.5,2500.0
2022-03-10,midnight,LONG,13679.4,13674.6,2022-03-10 00:18,2022-03-10 00:22,13679.4,13671.6,13698.9,FIXED_2.5R,2022-03-10 00:35,13698.9,TP,2.5,2500.0
2022-03-14,midnight,LONG,13322.4,13319.3,2022-03-14 00:15,2022-03-14 00:17,13322.4,13319.2,13330.4,FIXED_2.5R,2022-03-14 00:20,13330.4,TP,2.5,2500.0
