date,session,direction,fvg_upper,fvg_lower,fvg_formed_time_ny,entry_time_ny,entry_price,stop,target,target_type,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2021-09-17,midnight,LONG,15535.8,15532.6,2021-09-17 00:21,2021-09-17 00:30,15535.8,15531.9,15545.55,FIXED_2.5R,2021-09-17 01:59,15545.55,TP,2.5,2500.0
2021-09-20,midnight,SHORT,15252.6,15246.2,2021-09-20 00:18,2021-09-20 00:28,15246.2,15254.2,15226.2,FIXED_2.5R,2021-09-20 00:42,15254.2,SL,-1.0,-1000.0
2021-09-29,midnight,SHORT,14852.8,14849.5,2021-09-29 00:14,2021-09-29 00:16,14849.5,14856.8,14831.25,FIXED_2.5R,2021-09-29 00:20,14856.8,SL,-1.0,-1000.0
2021-10-05,midnight,SHORT,14523.1,14518.8,2021-10-05 00:03,2021-10-05 00:05,14518.8,14527.1,14498.05,FIXED_2.5R,2021-10-05 00:31,14498.05,TP,2.5,2500.0
2021-10-06,midnight,SHORT,14589.9,14585.7,2021-10-06 00:27,2021-10-06 00:32,14585.7,14592.6,14568.45,FIXED_2.5R,2021-10-06 00:42,14568.45,TP,2.5,2500.0
2021-11-09,midnight,LONG,16322.1,16318.9,2021-11-09 00:23,2021-11-09 00:26,16322.1,16317.1,16334.6,FIXED_2.5R,2021-11-09 01:00,16334.6,TP,2.5,2500.0
2021-11-11,midnight,LONG,16012.0,16007.4,2021-11-11 00:12,2021-11-11 03:35,16012.0,16002.6,16035.5,FIXED_2.5R,2021-11-11 03:54,16035.5,TP,2.5,2500.0
2021-11-16,midnight,LONG,16200.6,16197.4,2021-11-16 00:00,2021-11-16 00:14,16200.6,16195.9,16212.35,FIXED_2.5R,2021-11-16 00:19,16195.9,SL,-1.0,-1000.0
2021-11-18,midnight,LONG,16354.2,16351.2,2021-11-18 00:04,2021-11-18 00:06,16354.2,16350.0,16364.7,FIXED_2.5R,2021-11-18 00:18,16350.0,SL,-1.0,-1000.0
2021-11-24,midnight,LONG,16290.1,16286.6,2021-11-24 00:05,2021-11-24 00:09,16290.1,16284.6,16303.85,FIXED_2.5R,2021-11-24 00:30,16303.85,TP,2.5,2500.0
2021-11-29,midnight,SHORT,16222.2,16218.9,2021-11-29 00:14,2021-11-29 00:16,16218.9,16226.1,16200.9,FIXED_2.5R,2021-11-29 00:23,16200.9,TP,2.5,2500.0
2021-12-15,midnight,SHORT,15943.2,15940.2,2021-12-15 00:09,2021-12-15 00:15,15940.2,15944.2,15930.2,FIXED_2.5R,2021-12-15 00:30,15944.2,SL,-1.0,-1000.0
2021-12-17,midnight,SHORT,15852.3,15848.1,2021-12-17 00:02,2021-12-17 00:35,15848.1,15858.0,15823.35,FIXED_2.5R,2021-12-17 00:36,15858.0,SL,-1.0,-1000.0
2021-12-20,midnight,SHORT,15645.0,15640.2,2021-12-20 00:00,2021-12-20 00:15,15640.2,15647.5,15621.95,FIXED_2.5R,2021-12-20 00:19,15621.95,TP,2.5,2500.0
