date,session,direction,fvg_upper,fvg_lower,fvg_formed_time_ny,entry_time_ny,entry_price,stop,target,target_type,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2026-08-03,midnight,LONG,28560.4,28554.6,2026-08-03 00:15,2026-08-03 00:17,28560.4,28547.9,28591.65,FIXED_2.5R,2026-08-03 00:55,28547.9,SL,-1.0,-1000.0
2026-08-04,midnight,SHORT,28888.0,28881.7,2026-08-04 00:04,2026-08-04 00:07,28881.7,28898.8,28838.95,FIXED_2.5R,2026-08-04 00:19,28898.8,SL,-1.0,-1000.0
2026-08-05,midnight,LONG,29787.6,29784.1,2026-08-05 00:07,2026-08-05 00:09,29787.6,29779.6,29807.6,FIXED_2.5R,2026-08-05 00:14,29779.6,SL,-1.0,-1000.0
2026-08-06,midnight,LONG,29464.1,29457.8,2026-08-06 00:15,2026-08-06 00:19,29464.1,29452.3,29493.6,FIXED_2.5R,2026-08-06 00:25,29493.6,TP,2.5,2500.0
2026-08-07,midnight,LONG,29394.1,29390.8,2026-08-07 00:06,2026-08-07 00:08,29394.1,29384.3,29418.6,FIXED_2.5R,2026-08-07 00:13,29384.3,SL,-1.0,-1000.0
2026-08-10,midnight,LONG,29793.4,29788.9,2026-08-10 00:08,2026-08-10 00:11,29793.4,29784.2,29816.4,FIXED_2.5R,2026-08-10 00:40,29784.2,SL,-1.0,-1000.0
2026-08-11,midnight,LONG,29754.6,29751.3,2026-08-11 00:10,2026-08-11 00:12,29754.6,29746.6,29774.6,FIXED_2.5R,2026-08-11 00:44,29746.6,SL,-1.0,-1000.0
2026-08-12,midnight,SHORT,29611.8,29608.3,2026-08-12 00:08,2026-08-12 00:10,29608.3,29614.5,29592.8,FIXED_2.5R,2026-08-12 00:24,29614.5,SL,-1.0,-1000.0
2026-08-13,midnight,SHORT,29804.1,29796.3,2026-08-13 00:13,2026-08-13 00:28,29796.3,29806.1,29771.8,FIXED_2.5R,2026-08-13 00:35,29806.1,SL,-1.0,-1000.0
2026-08-14,midnight,LONG,30072.6,30069.6,2026-08-14 00:13,2026-08-14 00:15,30072.6,30066.9,30086.85,FIXED_2.5R,2026-08-14 00:32,30066.9,SL,-1.0,-1000.0
2026-08-18,midnight,SHORT,29820.8,29813.6,2026-08-18 00:00,2026-08-18 00:05,29813.6,29832.3,29766.85,FIXED_2.5R,2026-08-18 00:18,29832.3,SL,-1.0,-1000.0
2026-08-20,midnight,LONG,29566.1,29560.1,2026-08-20 00:04,2026-08-20 00:30,29566.1,29551.6,29602.35,FIXED_2.5R,2026-08-20 00:32,29551.6,SL,-1.0,-1000.0
2026-08-21,midnight,LONG,29298.2,29291.0,2026-08-21 00:13,2026-08-21 00:15,29298.2,29286.2,29328.2,FIXED_2.5R,2026-08-21 00:16,29286.2,SL,-1.0,-1000.0
2026-08-25,midnight,LONG,29111.8,29108.8,2026-08-25 00:01,2026-08-25 10:30,29111.8,29102.3,29135.55,FIXED_2.5R,2026-08-25 10:30,29102.3,SL,-1.0,-1000.0
2026-08-26,midnight,LONG,29218.0,29213.7,2026-08-26 00:14,2026-08-26 00:16,29218.0,29208.5,29241.75,FIXED_2.5R,2026-08-26 00:39,29208.5,SL,-1.0,-1000.0
