date,session,direction,fvg_upper,fvg_lower,fvg_formed_time_ny,entry_time_ny,entry_price,stop,target,target_type,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2021-08-27,midnight,LONG,15334.5,15330.3,2021-08-27 00:20,2021-08-27 00:22,15334.5,15328.6,15349.25,FIXED_2.5R,2021-08-27 01:06,15328.6,SL,-1.0,-1000.0
2021-09-01,midnight,LONG,15617.4,15614.4,2021-09-01 00:19,2021-09-01 00:21,15617.4,15613.2,15627.9,FIXED_2.5R,2021-09-01 01:42,15627.9,TP,2.5,2500.0
2021-09-17,midnight,LONG,15535.8,15532.6,2021-09-17 00:21,2021-09-17 00:30,15535.8,15531.9,15545.55,FIXED_2.5R,2021-09-17 01:59,15545.55,TP,2.5,2500.0
2021-09-20,midnight,SHORT,15252.6,15246.2,2021-09-20 00:18,2021-09-20 00:28,15246.2,15254.2,15226.2,FIXED_2.5R,2021-09-20 00:42,15254.2,SL,-1.0,-1000.0
2021-09-29,midnight,SHORT,14852.8,14849.5,2021-09-29 00:14,2021-09-29 00:16,14849.5,14856.8,14831.25,FIXED_2.5R,2021-09-29 00:20,14856.8,SL,-1.0,-1000.0
2021-10-05,midnight,SHORT,14523.1,14518.8,2021-10-05 00:03,2021-10-05 00:05,14518.8,14527.1,14498.05,FIXED_2.5R,2021-10-05 00:31,14498.05,TP,2.5,2500.0
2021-10-06,midnight,SHORT,14589.9,14585.7,2021-10-06 00:27,2021-10-06 00:32,14585.7,14592.6,14568.45,FIXED_2.5R,2021-10-06 00:42,14568.45,TP,2.5,2500.0
2021-11-16,midnight,LONG,16200.6,16197.4,2021-11-16 00:00,2021-11-16 00:14,16200.6,16195.9,16212.35,FIXED_2.5R,2021-11-16 00:19,16195.9,SL,-1.0,-1000.0
2021-11-18,midnight,LONG,16354.2,16351.2,2021-11-18 00:04,2021-11-18 00:06,16354.2,16350.0,16364.7,FIXED_2.5R,2021-11-18 00:18,16350.0,SL,-1.0,-1000.0
2021-11-24,midnight,LONG,16290.1,16286.6,2021-11-24 00:05,2021-11-24 00:09,16290.1,16284.6,16303.85,FIXED_2.5R,2021-11-24 00:30,16303.85,TP,2.5,2500.0
2021-11-29,midnight,LONG,16208.7,16205.1,2021-11-29 00:26,2021-11-29 00:29,16208.7,16195.8,16240.95,FIXED_2.5R,2021-11-29 01:51,16240.95,TP,2.5,2500.0
2021-11-30,midnight,LONG,16341.9,16330.2,2021-11-30 00:28,2021-11-30 00:30,16341.9,16318.9,16399.4,FIXED_2.5R,2021-11-30 00:38,16318.9,SL,-1.0,-1000.0
2021-12-17,midnight,SHORT,15852.3,15848.1,2021-12-17 00:02,2021-12-17 00:35,15848.1,15858.0,15823.35,FIXED_2.5R,2021-12-17 00:36,15858.0,SL,-1.0,-1000.0
2021-12-20,midnight,SHORT,15645.0,15640.2,2021-12-20 00:00,2021-12-20 00:15,15640.2,15647.5,15621.95,FIXED_2.5R,2021-12-20 00:19,15621.95,TP,2.5,2500.0
2021-12-21,midnight,LONG,15784.5,15781.2,2021-12-21 00:00,2021-12-21 03:00,15784.5,15779.5,15797.0,FIXED_2.5R,2021-12-21 03:00,15779.5,SL,-1.0,-1000.0
2021-12-22,midnight,LONG,15954.3,15950.8,2021-12-22 00:02,2021-12-22 00:07,15954.3,15946.8,15973.05,FIXED_2.5R,2021-12-22 00:15,15946.8,SL,-1.0,-1000.0
2022-01-04,midnight,LONG,16541.8,16538.8,2022-01-04 00:18,2022-01-04 00:20,16541.8,16537.5,16552.55,FIXED_2.5R,2022-01-04 02:02,16537.5,SL,-1.0,-1000.0
2022-01-05,midnight,SHORT,16212.9,16208.1,2022-01-05 00:02,2022-01-05 00:04,16208.1,16216.2,16187.85,FIXED_2.5R,2022-01-05 00:29,16187.85,TP,2.5,2500.0
2022-01-10,midnight,SHORT,15644.4,15641.1,2022-01-10 00:03,2022-01-10 00:07,15641.1,15649.8,15619.35,FIXED_2.5R,2022-01-10 00:33,15649.8,SL,-1.0,-1000.0
2022-01-11,midnight,LONG,15613.2,15609.9,2022-01-11 00:04,2022-01-11 00:09,15613.2,15606.6,15629.7,FIXED_2.5R,2022-01-11 00:14,15606.6,SL,-1.0,-1000.0
2022-01-14,midnight,SHORT,15511.2,15507.0,2022-01-14 00:06,2022-01-14 00:08,15507.0,15515.4,15486.0,FIXED_2.5R,2022-01-14 00:19,15515.4,SL,-1.0,-1000.0
2022-01-20,midnight,SHORT,15133.6,15130.0,2022-01-20 00:19,2022-01-20 01:35,15130.0,15136.6,15113.5,FIXED_2.5R,2022-01-20 01:36,15136.6,SL,-1.0,-1000.0
2022-01-21,midnight,SHORT,14669.2,14666.0,2022-01-21 00:11,2022-01-21 00:21,14666.0,14677.7,14636.75,FIXED_2.5R,2022-01-21 00:32,14677.7,SL,-1.0,-1000.0
2022-01-25,midnight,LONG,14233.9,14229.4,2022-01-25 00:04,2022-01-25 02:10,14233.9,14223.6,14259.65,FIXED_2.5R,2022-01-25 02:12,14223.6,SL,-1.0,-1000.0
2022-01-26,midnight,LONG,14211.8,14206.6,2022-01-26 00:27,2022-01-26 01:55,14211.8,14202.4,14235.3,FIXED_2.5R,2022-01-26 02:04,14202.4,SL,-1.0,-1000.0
2022-01-27,midnight,SHORT,13977.2,13966.0,2022-01-27 00:08,2022-01-27 00:44,13966.0,13984.0,13921.0,FIXED_2.5R,2022-01-27 01:11,13984.0,SL,-1.0,-1000.0
2022-02-02,midnight,LONG,15166.5,15162.0,2022-02-02 00:03,2022-02-02 00:06,15166.5,15161.0,15180.25,FIXED_2.5R,2022-02-02 00:29,15180.25,TP,2.5,2500.0
2022-02-04,midnight,LONG,14802.1,14797.3,2022-02-04 00:16,2022-02-04 00:35,14802.1,14792.6,14825.85,FIXED_2.5R,2022-02-04 01:09,14825.85,TP,2.5,2500.0
2022-02-07,midnight,LONG,14713.7,14706.4,2022-02-07 00:09,2022-02-07 00:21,14713.7,14702.5,14741.7,FIXED_2.5R,2022-02-07 00:29,14702.5,SL,-1.0,-1000.0
2022-02-08,midnight,SHORT,14588.2,14583.2,2022-02-08 00:02,2022-02-08 00:04,14583.2,14592.0,14561.2,FIXED_2.5R,2022-02-08 00:26,14561.2,TP,2.5,2500.0
2022-02-09,midnight,LONG,14828.2,14824.7,2022-02-09 00:05,2022-02-09 00:09,14828.2,14823.0,14841.2,FIXED_2.5R,2022-02-09 00:11,14823.0,SL,-1.0,-1000.0
2022-02-11,midnight,SHORT,14580.8,14577.5,2022-02-11 00:20,2022-02-11 00:32,14577.5,14587.0,14553.75,FIXED_2.5R,2022-02-11 00:35,14553.75,TP,2.5,2500.0
2022-02-15,midnight,LONG,14260.0,14253.5,2022-02-15 00:26,2022-02-15 00:36,14260.0,14247.5,14291.25,FIXED_2.5R,2022-02-15 02:05,14291.25,TP,2.5,2500.0
2022-02-16,midnight,LONG,14578.8,14575.5,2022-02-16 00:01,2022-02-16 00:07,14578.8,14572.0,14595.8,FIXED_2.5R,2022-02-16 01:08,14572.0,SL,-1.0,-1000.0
2022-02-21,midnight,SHORT,14061.5,14058.2,2022-02-21 00:06,2022-02-21 00:08,14058.2,14063.8,14044.2,FIXED_2.5R,2022-02-21 00:15,14063.8,SL,-1.0,-1000.0
2022-02-22,midnight,SHORT,13701.1,13697.6,2022-02-22 00:13,2022-02-22 00:15,13697.6,13704.6,13680.1,FIXED_2.5R,2022-02-22 00:23,13704.6,SL,-1.0,-1000.0
2022-02-23,midnight,LONG,13976.8,13973.3,2022-02-23 00:28,2022-02-23 00:33,13976.8,13971.6,13989.8,FIXED_2.5R,2022-02-23 00:34,13971.6,SL,-1.0,-1000.0
