month,nofilter_n,H1_n,M15_n,D1_n,nofilter_R,H1_R,M15_R,D1_R
2025-08,2,2,0,1,1.5,1.5,0,2.5
2025-09,7,6,2,2,0.0,1.0,5.0,1.5
2025-10,16,9,11,9,-2.0,-2.0,-0.5,-5.5
2025-11,17,8,10,7,4.0,2.5,4.0,7.0
2025-12,13,8,7,6,4.5,6.0,10.5,-2.5
2026-01,15,7,9,7,9.5,14.0,12.0,3.5
2026-02,17,10,8,9,4.0,4.0,2.5,5.0
2026-03,19,12,11,10,12.5,5.5,3.0,11.0
2026-04,15,6,8,8,2.5,4.5,-1.0,2.5
2026-05,21,16,15,15,3.5,5.0,2.5,-1.0
2026-06,21,10,11,13,17.5,7.5,6.5,11.5
2026-07,20,13,11,16,-2.5,-2.5,-7.5,-5.5
2026-08,15,9,9,8,-11.5,-9.0,-5.5,-4.5
