symbol,tf_min,n_5y,PF_5y,R_5y,years_profitable,n_1y,PF_1y,R_1y
XAUUSD,15,1187,1.24,210.1,6/6,159,1.69,74.1
NAS100,15,1137,1.18,149.4,4/6,171,1.38,45.4
NAS100,30,616,1.25,102.9,6/6,98,1.61,39.6
USDJPY,15,1190,1.1,82.6,5/6,222,0.93,-10.6
XAUUSD,30,613,1.16,68.7,3/6,86,1.38,21.0
NAS100,5,2535,1.03,58.5,4/6,388,0.81,-53.8
USDJPY,30,678,1.12,57.2,3/6,117,0.93,-6.4
XAUUSD,60,292,1.26,49.7,4/6,38,1.29,6.0
USDJPY,60,302,1.24,49.5,5/6,48,1.18,5.3
GBPUSD,5,2601,1.02,42.6,4/6,430,0.64,-117.7
NAS100,60,382,1.12,30.5,5/6,63,0.93,-3.1
EURUSD,60,357,0.97,-7.1,3/6,58,0.67,-14.5
GBPUSD,60,401,0.96,-10.4,2/6,66,0.97,-1.3
EURUSD,15,1255,0.99,-11.9,3/6,205,1.1,16.0
GBPUSD,30,718,0.98,-12.3,2/6,123,0.76,-22.0
GBPUSD,15,1221,0.98,-16.7,3/6,198,1.14,20.5
XAUUSD,5,2625,0.99,-27.0,2/6,311,1.5,106.7
EURUSD,30,731,0.91,-45.6,2/6,107,0.5,-42.1
EURUSD,5,2842,0.98,-51.7,1/6,468,0.92,-25.8
USDJPY,5,2780,0.97,-57.8,3/6,547,0.76,-98.1
