entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,result,pnl,r_multiple,symbol,strategy_name,trigger_reason,confidence_score
2026-02-05 14:55:00+00:00,2026-02-05 15:00:00+00:00,SELL,24680.40000,24711.80000,24711.30000,24620.10000,LOSS,-101.62,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24691.30000) swept and reclaimed at 24680.90000, mid=24701.30000",1.00
2026-02-06 14:55:00+00:00,2026-02-06 15:10:00+00:00,SELL,24670.20000,24703.80000,24703.30000,24605.50000,LOSS,-100.48,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24683.30000) swept and reclaimed at 24670.70000, mid=24693.30000",1.00
2026-02-09 15:35:00+00:00,2026-02-09 15:55:00+00:00,BUY,25014.40000,24991.22500,24991.72500,25058.25000,LOSS,-100.14,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (25011.72500) swept and reclaimed at 25013.90000, mid=25001.72500",1.00
2026-02-10 16:35:00+00:00,2026-02-10 16:40:00+00:00,SELL,25274.10000,25206.80000,25308.75000,25206.30000,WIN,188.36,1.94,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (25288.75000) swept and reclaimed at 25274.60000, mid=25298.75000",1.00
2026-02-11 15:20:00+00:00,2026-02-11 15:30:00+00:00,BUY,25184.70000,25245.65000,25153.22500,25246.15000,WIN,191.44,1.94,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (25173.22500) swept and reclaimed at 25184.20000, mid=25163.22500",1.00
2026-02-12 14:55:00+00:00,2026-02-12 15:35:00+00:00,SELL,25275.30000,25299.72500,25299.22500,25228.95000,LOSS,-102.88,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (25279.22500) swept and reclaimed at 25275.80000, mid=25289.22500",1.00
2026-02-13 15:00:00+00:00,2026-02-13 15:10:00+00:00,SELL,24620.40000,24564.50000,24649.35000,24564.00000,WIN,192.60,1.93,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24629.35000) swept and reclaimed at 24620.90000, mid=24639.35000",1.00
2026-02-17 15:35:00+00:00,2026-02-17 15:50:00+00:00,SELL,24513.50000,24545.60000,24545.10000,24451.80000,LOSS,-103.28,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24525.10000) swept and reclaimed at 24514.00000, mid=24535.10000",1.00
2026-02-18 16:45:00+00:00,2026-02-18 16:50:00+00:00,SELL,24784.00000,24815.60000,24815.10000,24723.30000,LOSS,-102.26,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24795.10000) swept and reclaimed at 24784.50000, mid=24805.10000",1.00
2026-02-19 14:55:00+00:00,2026-02-19 15:20:00+00:00,SELL,24805.50000,24763.35000,24827.57500,24762.85000,WIN,190.21,1.91,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24807.57500) swept and reclaimed at 24806.00000, mid=24817.57500",1.00
2026-02-20 15:00:00+00:00,2026-02-20 15:30:00+00:00,BUY,24767.10000,24732.45000,24732.95000,24833.90000,LOSS,-103.01,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (24752.95000) swept and reclaimed at 24766.60000, mid=24742.95000",1.00
2026-02-23 15:10:00+00:00,2026-02-23 16:30:00+00:00,BUY,24872.80000,24936.75000,24839.82500,24937.25000,WIN,194.88,1.94,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (24859.82500) swept and reclaimed at 24872.30000, mid=24849.82500",1.00
2026-02-24 15:05:00+00:00,2026-02-24 15:45:00+00:00,BUY,24781.30000,24832.35000,24754.77500,24832.85000,WIN,197.15,1.92,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (24774.77500) swept and reclaimed at 24780.80000, mid=24764.77500",1.00
2026-02-25 16:25:00+00:00,2026-02-25 16:30:00+00:00,BUY,25101.20000,25153.25000,25074.17500,25153.75000,WIN,201.09,1.93,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (25094.17500) swept and reclaimed at 25100.70000, mid=25084.17500",1.00
2026-02-26 15:05:00+00:00,2026-02-26 15:20:00+00:00,SELL,25313.30000,25343.77500,25343.27500,25254.85000,LOSS,-108.20,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (25323.27500) swept and reclaimed at 25313.80000, mid=25333.27500",1.00
2026-02-27 16:50:00+00:00,2026-02-27 16:55:00+00:00,SELL,24883.30000,24828.90000,24911.50000,24828.40000,WIN,203.21,1.93,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24891.50000) swept and reclaimed at 24883.80000, mid=24901.50000",1.00
