Month,Trades,Win Rate,Net Profit,Profit Factor,Expectancy,Average R,Largest Win,Largest Loss
2022-07,1,0.00%,-108.70,0.0000,-108.7037,-1.0870,0.00,108.70
2022-08,1,0.00%,-107.32,0.0000,-107.3238,-1.0850,0.00,107.32
2022-10,2,0.00%,-209.65,0.0000,-104.8228,-1.0772,0.00,104.96
2022-11,3,66.67%,237.81,3.1958,79.2706,0.8305,187.20,108.30
2022-12,2,0.00%,-212.23,0.0000,-106.1125,-1.0874,0.00,106.19
2023-01,1,0.00%,-103.96,0.0000,-103.9621,-1.0829,0.00,103.96
2023-02,1,0.00%,-102.47,0.0000,-102.4717,-1.0791,0.00,102.47
2023-03,3,33.33%,-112.69,0.4569,-37.5648,-0.3965,94.80,104.00
2023-04,2,100.00%,348.92,inf,174.4620,1.8676,267.92,0.00
2023-05,2,50.00%,39.09,1.3743,19.5444,0.2111,143.51,104.42
2023-06,3,0.00%,-316.49,0.0000,-105.4953,-1.1032,0.00,106.78
2023-07,3,33.33%,-88.81,0.5631,-29.6041,-0.3115,114.45,102.66
2023-08,3,0.00%,-301.24,0.0000,-100.4139,-1.0959,0.00,101.31
2023-09,1,100.00%,275.26,inf,275.2605,3.0713,275.26,0.00
2023-10,3,33.33%,-97.65,0.5155,-32.5491,-0.3480,103.88,102.51
2023-11,5,60.00%,63.37,1.3096,12.6747,0.1435,104.68,104.30
2024-01,3,66.67%,174.81,2.7367,58.2698,0.6367,150.15,100.66
2024-02,1,0.00%,-104.11,0.0000,-104.1090,-1.1101,0.00,104.11
2024-03,1,0.00%,-104.36,0.0000,-104.3637,-1.1253,0.00,104.36
2024-04,1,0.00%,-100.28,0.0000,-100.2777,-1.0936,0.00,100.28
2024-06,1,0.00%,-99.54,0.0000,-99.5360,-1.0975,0.00,99.54
2024-07,4,50.00%,-42.48,0.7865,-10.6202,-0.1137,81.61,100.59
2024-08,2,50.00%,-14.48,0.8508,-7.2382,-0.0760,82.53,97.01
2024-09,1,0.00%,-97.06,0.0000,-97.0600,-1.0890,0.00,97.06
2024-10,2,0.00%,-192.34,0.0000,-96.1708,-1.0969,0.00,96.22
2025-01,1,0.00%,-94.77,0.0000,-94.7683,-1.0990,0.00,94.77
2025-02,1,100.00%,78.91,inf,78.9108,0.9252,78.91,0.00
2025-05,1,0.00%,-95.75,0.0000,-95.7535,-1.1124,0.00,95.75
2025-07,2,100.00%,365.29,inf,182.6444,2.1258,245.94,0.00
2025-11,2,50.00%,-21.26,0.7806,-10.6311,-0.1151,75.63,96.90
2025-12,1,0.00%,-98.59,0.0000,-98.5900,-1.1133,0.00,98.59
2026-01,1,100.00%,294.30,inf,294.2979,3.3606,294.30,0.00
2026-02,2,0.00%,-197.28,0.0000,-98.6395,-1.0958,0.00,99.02
2026-03,1,0.00%,-95.46,0.0000,-95.4590,-1.0781,0.00,95.46
2026-04,1,0.00%,-96.88,0.0000,-96.8815,-1.1061,0.00,96.88
2026-05,3,0.00%,-283.26,0.0000,-94.4215,-1.1022,0.00,95.29
