day,direction,fvg_confirm_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2021-08-27,LONG,2021-08-27 10:15:00-04:00,2021-08-27 10:30:00-04:00,15384.7,15314.6,15524.900000000001,2021-08-27 16:45:00-04:00,15435.7,EOD,0.7275,727.53
2021-08-31,LONG,2021-08-31 12:30:00-04:00,2021-08-31 12:45:00-04:00,15599.3,15583.1,15631.699999999997,2021-08-31 13:15:00-04:00,15583.1,SL,-1.0,-1000.0
2021-09-02,SHORT,2021-09-02 10:15:00-04:00,2021-09-02 10:30:00-04:00,15647.4,15659.4,15623.4,2021-09-02 11:15:00-04:00,15659.4,SL,-1.0,-1000.0
2021-09-03,LONG,2021-09-03 10:00:00-04:00,2021-09-03 10:15:00-04:00,15640.0,15599.5,15721.0,2021-09-03 16:45:00-04:00,15664.3,EOD,0.6,600.0
2021-09-06,LONG,2021-09-06 10:00:00-04:00,2021-09-06 10:15:00-04:00,15713.9,15701.8,15738.1,2021-09-06 19:45:00-04:00,15701.8,SL,-1.0,-1000.0
2021-09-07,LONG,2021-09-07 10:45:00-04:00,2021-09-07 11:00:00-04:00,15671.2,15643.8,15726.000000000004,2021-09-07 23:45:00-04:00,15688.5,EOD,0.6314,631.39
2021-09-08,SHORT,2021-09-08 10:45:00-04:00,2021-09-08 11:00:00-04:00,15592.6,15640.9,15496.000000000002,2021-09-08 23:45:00-04:00,15596.9,EOD,-0.089,-89.03
2021-09-09,SHORT,2021-09-09 11:30:00-04:00,2021-09-09 11:45:00-04:00,15641.9,15659.4,15606.9,2021-09-09 13:15:00-04:00,15606.9,TP,2.0,2000.0
2021-09-13,SHORT,2021-09-13 10:15:00-04:00,2021-09-13 10:30:00-04:00,15411.1,15459.8,15313.700000000003,2021-09-13 10:45:00-04:00,15459.8,SL,-1.0,-1000.0
2021-09-14,SHORT,2021-09-14 10:00:00-04:00,2021-09-14 10:15:00-04:00,15462.0,15489.9,15406.2,2021-09-14 11:30:00-04:00,15489.9,SL,-1.0,-1000.0
2021-09-15,SHORT,2021-09-15 10:15:00-04:00,2021-09-15 10:30:00-04:00,15358.4,15375.5,15324.199999999999,2021-09-15 10:30:00-04:00,15375.5,SL,-1.0,-1000.0
2021-09-16,SHORT,2021-09-16 10:00:00-04:00,2021-09-16 12:15:00-04:00,15436.0,15450.5,15407.0,2021-09-16 12:30:00-04:00,15450.5,SL,-1.0,-1000.0
