day,direction,fvg_confirm_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2021-09-16,SHORT,2021-09-16 10:00:00-04:00,2021-09-16 12:15:00-04:00,15436.0,15450.5,15399.75,2021-09-16 12:30:00-04:00,15450.5,SL,-1.0,-1000.0
2021-09-21,SHORT,2021-09-21 10:15:00-04:00,2021-09-21 11:00:00-04:00,15077.6,15087.4,15053.100000000002,2021-09-21 11:00:00-04:00,15087.4,SL,-1.0,-1000.0
2021-11-01,LONG,2021-11-01 11:30:00-04:00,2021-11-01 13:15:00-04:00,15853.0,15839.8,15886.000000000002,2021-11-01 13:30:00-04:00,15839.8,SL,-1.0,-1000.0
2021-11-17,LONG,2021-11-17 10:45:00-05:00,2021-11-17 12:15:00-05:00,16327.6,16316.5,16355.350000000002,2021-11-17 12:15:00-05:00,16316.5,SL,-1.0,-1000.0
2021-11-23,SHORT,2021-11-23 10:15:00-05:00,2021-11-23 15:45:00-05:00,16320.1,16411.3,16092.100000000002,2021-11-23 23:45:00-05:00,16288.4,EOD,0.3476,347.59
2021-11-24,LONG,2021-11-24 11:15:00-05:00,2021-11-24 14:00:00-05:00,16278.1,16259.0,16325.850000000002,2021-11-24 14:00:00-05:00,16325.850000000002,TP,2.5,2500.0
2021-12-06,LONG,2021-12-06 10:15:00-05:00,2021-12-06 10:30:00-05:00,15750.7,15679.0,15929.950000000003,2021-12-06 10:45:00-05:00,15679.0,SL,-1.0,-1000.0
2021-12-08,LONG,2021-12-08 11:30:00-05:00,2021-12-08 12:15:00-05:00,16315.5,16310.0,16329.25,2021-12-08 12:15:00-05:00,16310.0,SL,-1.0,-1000.0
2021-12-09,SHORT,2021-12-09 10:30:00-05:00,2021-12-09 10:45:00-05:00,16307.4,16341.8,16221.400000000001,2021-12-09 11:15:00-05:00,16341.8,SL,-1.0,-1000.0
2022-01-05,SHORT,2022-01-05 11:45:00-05:00,2022-01-05 12:00:00-05:00,16152.7,16182.2,16078.95,2022-01-05 12:30:00-05:00,16078.95,TP,2.5,2500.0
2022-01-19,SHORT,2022-01-19 10:30:00-05:00,2022-01-19 12:15:00-05:00,15307.2,15370.4,15149.200000000004,2022-01-19 15:15:00-05:00,15149.200000000004,TP,2.5,2500.0
2022-02-16,LONG,2022-02-16 10:45:00-05:00,2022-02-16 11:15:00-05:00,14441.0,14436.4,14452.5,2022-02-16 11:15:00-05:00,14436.4,SL,-1.0,-1000.0
2022-03-28,SHORT,2022-03-28 11:45:00-04:00,2022-03-28 12:30:00-04:00,14778.6,14834.0,14640.100000000002,2022-03-28 13:15:00-04:00,14834.0,SL,-1.0,-1000.0
2022-04-08,LONG,2022-04-08 11:00:00-04:00,2022-04-08 11:15:00-04:00,14453.45,14386.2,14621.575,2022-04-08 13:45:00-04:00,14386.2,SL,-1.0,-1000.0
2022-05-10,SHORT,2022-05-10 10:45:00-04:00,2022-05-10 13:30:00-04:00,12360.8,12433.3,12179.55,2022-05-10 13:30:00-04:00,12433.3,SL,-1.0,-1000.0
2022-07-01,SHORT,2022-07-01 10:30:00-04:00,2022-07-01 10:45:00-04:00,11434.7,11451.45,11392.825,2022-07-01 10:45:00-04:00,11451.45,SL,-1.0,-1000.0
2022-08-16,SHORT,2022-08-16 10:30:00-04:00,2022-08-16 10:45:00-04:00,13546.35,13571.6,13483.225,2022-08-16 11:00:00-04:00,13571.6,SL,-1.0,-1000.0
2022-09-30,LONG,2022-09-30 11:15:00-04:00,2022-09-30 11:30:00-04:00,11265.65,11236.65,11338.15,2022-09-30 11:30:00-04:00,11236.65,SL,-1.0,-1000.0
2022-10-12,LONG,2022-10-12 11:15:00-04:00,2022-10-12 11:30:00-04:00,10823.15,10789.4,10907.525,2022-10-12 13:30:00-04:00,10789.4,SL,-1.0,-1000.0
2022-10-26,LONG,2022-10-26 10:30:00-04:00,2022-10-26 12:45:00-04:00,11525.9,11511.15,11562.775,2022-10-26 12:45:00-04:00,11511.15,SL,-1.0,-1000.0
2022-11-07,LONG,2022-11-07 13:15:00-05:00,2022-11-07 13:30:00-05:00,10884.95,10872.2,10916.825,2022-11-07 14:00:00-05:00,10916.825,TP,2.5,2500.0
2022-11-08,LONG,2022-11-08 10:30:00-05:00,2022-11-08 13:30:00-05:00,11061.4,11036.9,11122.65,2022-11-08 13:45:00-05:00,11036.9,SL,-1.0,-1000.0
2022-11-28,SHORT,2022-11-28 10:30:00-05:00,2022-11-28 12:00:00-05:00,11703.8,11739.05,11615.675,2022-11-28 13:45:00-05:00,11615.675,TP,2.5,2500.0
2022-12-07,SHORT,2022-12-07 11:30:00-05:00,2022-12-07 11:45:00-05:00,11491.1,11524.1,11408.6,2022-12-07 12:45:00-05:00,11524.1,SL,-1.0,-1000.0
2023-01-12,LONG,2023-01-12 10:15:00-05:00,2023-01-12 10:30:00-05:00,11380.05,11285.05,11617.55,2023-01-12 23:45:00-05:00,11417.6,EOD,0.3953,395.26
2023-01-24,SHORT,2023-01-24 12:45:00-05:00,2023-01-24 13:00:00-05:00,11847.05,11865.3,11801.425,2023-01-24 13:30:00-05:00,11865.3,SL,-1.0,-1000.0
2023-02-07,LONG,2023-02-07 11:15:00-05:00,2023-02-07 12:15:00-05:00,12497.85,12470.85,12565.35,2023-02-07 12:30:00-05:00,12565.35,TP,2.5,2500.0
2023-03-01,SHORT,2023-03-01 10:15:00-05:00,2023-03-01 10:30:00-05:00,11968.55,12041.05,11787.3,2023-03-01 23:45:00-05:00,11886.5,EOD,1.1317,1131.72
