day,direction,fvg_confirm_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2025-08-27,LONG,2025-08-27 10:15:00-04:00,2025-08-27 12:15:00-04:00,23500.65,23469.85,23593.05000000001,2025-08-27 14:15:00-04:00,23593.05000000001,TP,3.0,3000.0
2025-08-28,LONG,2025-08-28 10:45:00-04:00,2025-08-28 11:15:00-04:00,23624.45,23569.75,23788.550000000003,2025-08-28 23:45:00-04:00,23665.95,EOD,0.7587,758.68
2025-09-01,LONG,2025-09-01 10:00:00-04:00,2025-09-01 10:15:00-04:00,23436.25,23432.45,23447.649999999998,2025-09-01 10:15:00-04:00,23432.45,SL,-1.0,-1000.0
2025-09-02,LONG,2025-09-02 10:00:00-04:00,2025-09-02 10:15:00-04:00,23150.35,23104.05,23289.249999999996,2025-09-02 10:45:00-04:00,23104.05,SL,-1.0,-1000.0
2025-09-03,LONG,2025-09-03 10:45:00-04:00,2025-09-03 11:00:00-04:00,23453.15,23388.15,23648.15,2025-09-03 11:15:00-04:00,23388.15,SL,-1.0,-1000.0
2025-09-08,SHORT,2025-09-08 12:30:00-04:00,2025-09-08 22:15:00-04:00,23798.75,23803.55,23784.350000000002,2025-09-08 22:30:00-04:00,23803.55,SL,-1.0,-1000.0
2025-09-09,LONG,2025-09-09 13:15:00-04:00,2025-09-09 13:30:00-04:00,23804.55,23786.75,23857.949999999997,2025-09-09 16:15:00-04:00,23857.949999999997,TP,3.0,3000.0
2025-09-10,SHORT,2025-09-10 11:30:00-04:00,2025-09-10 11:45:00-04:00,23924.15,23937.55,23883.950000000008,2025-09-10 11:45:00-04:00,23937.55,SL,-1.0,-1000.0
2025-09-11,SHORT,2025-09-11 12:45:00-04:00,2025-09-11 13:00:00-04:00,23987.95,23995.05,23966.650000000005,2025-09-11 13:00:00-04:00,23995.05,SL,-1.0,-1000.0
2025-09-15,LONG,2025-09-15 10:00:00-04:00,2025-09-15 10:15:00-04:00,24218.05,24183.35,24322.15,2025-09-15 22:30:00-04:00,24322.15,TP,3.0,3000.0
2025-09-16,LONG,2025-09-16 14:45:00-04:00,2025-09-16 15:15:00-04:00,24283.85,24277.85,24301.85,2025-09-16 15:45:00-04:00,24277.85,SL,-1.0,-1000.0
2025-09-17,LONG,2025-09-17 13:30:00-04:00,2025-09-17 14:00:00-04:00,24159.25,24151.25,24183.25,2025-09-17 14:00:00-04:00,24151.25,SL,-1.0,-1000.0
2025-09-18,LONG,2025-09-18 10:15:00-04:00,2025-09-18 10:45:00-04:00,24498.35,24448.65,24647.44999999999,2025-09-18 15:45:00-04:00,24448.65,SL,-1.0,-1000.0
2025-09-24,SHORT,2025-09-24 11:45:00-04:00,2025-09-24 20:00:00-04:00,24521.85,24551.65,24432.44999999999,2025-09-24 21:45:00-04:00,24551.65,SL,-1.0,-1000.0
2025-09-25,LONG,2025-09-25 10:15:00-04:00,2025-09-25 13:15:00-04:00,24336.25,24211.45,24710.649999999998,2025-09-25 23:45:00-04:00,24363.95,EOD,0.222,221.96
2025-09-26,SHORT,2025-09-26 10:15:00-04:00,2025-09-26 10:30:00-04:00,24383.65,24475.45,24108.250000000004,2025-09-26 13:00:00-04:00,24475.45,SL,-1.0,-1000.0
2025-09-29,LONG,2025-09-29 10:00:00-04:00,2025-09-29 10:15:00-04:00,24695.05,24688.85,24713.65,2025-09-29 10:15:00-04:00,24713.65,TP,3.0,3000.0
2025-09-30,LONG,2025-09-30 11:00:00-04:00,2025-09-30 11:15:00-04:00,24601.85,24566.05,24709.249999999996,2025-09-30 11:15:00-04:00,24566.05,SL,-1.0,-1000.0
2025-10-02,SHORT,2025-10-02 11:00:00-04:00,2025-10-02 11:15:00-04:00,24835.15,24848.75,24794.350000000006,2025-10-02 11:30:00-04:00,24794.350000000006,TP,3.0,3000.0
2025-10-03,SHORT,2025-10-03 10:00:00-04:00,2025-10-03 10:15:00-04:00,24894.45,24926.65,24797.85,2025-10-03 11:15:00-04:00,24926.65,SL,-1.0,-1000.0
2025-10-06,LONG,2025-10-06 11:45:00-04:00,2025-10-06 15:45:00-04:00,24971.85,24956.95,25016.549999999992,2025-10-06 18:30:00-04:00,24956.95,SL,-1.0,-1000.0
2025-10-08,LONG,2025-10-08 10:00:00-04:00,2025-10-08 10:45:00-04:00,24975.25,24933.15,25101.549999999996,2025-10-08 15:15:00-04:00,25101.549999999996,TP,3.0,3000.0
2025-10-09,SHORT,2025-10-09 10:30:00-04:00,2025-10-09 10:45:00-04:00,25051.65,25070.45,24995.250000000004,2025-10-09 10:45:00-04:00,24995.250000000004,TP,3.0,3000.0
2025-10-13,LONG,2025-10-13 10:00:00-04:00,2025-10-13 10:15:00-04:00,24689.45,24636.05,24849.650000000005,2025-10-13 10:15:00-04:00,24636.05,SL,-1.0,-1000.0
2025-10-15,LONG,2025-10-15 10:00:00-04:00,2025-10-15 11:30:00-04:00,24859.7,24765.05,25143.650000000005,2025-10-15 11:30:00-04:00,24765.05,SL,-1.0,-1000.0
2025-10-17,SHORT,2025-10-17 10:45:00-04:00,2025-10-17 11:45:00-04:00,24698.85,24740.35,24574.35,2025-10-17 12:00:00-04:00,24740.35,SL,-1.0,-1000.0
2025-10-21,LONG,2025-10-21 11:00:00-04:00,2025-10-21 11:15:00-04:00,25103.95,25081.45,25171.45,2025-10-21 11:15:00-04:00,25081.45,SL,-1.0,-1000.0
2025-10-22,SHORT,2025-10-22 10:30:00-04:00,2025-10-22 10:45:00-04:00,24979.05,25048.65,24770.249999999993,2025-10-22 12:30:00-04:00,24770.249999999993,TP,3.0,3000.0
2025-10-23,LONG,2025-10-23 10:00:00-04:00,2025-10-23 10:15:00-04:00,24947.75,24935.55,24984.350000000002,2025-10-23 10:15:00-04:00,24935.55,SL,-1.0,-1000.0
2025-10-24,LONG,2025-10-24 11:30:00-04:00,2025-10-24 11:45:00-04:00,25364.65,25355.05,25393.450000000008,2025-10-24 12:15:00-04:00,25393.450000000008,TP,3.0,3000.0
2025-10-27,LONG,2025-10-27 14:45:00-04:00,2025-10-27 15:00:00-04:00,25773.75,25754.25,25832.25,2025-10-27 16:45:00-04:00,25832.25,TP,3.0,3000.0
2025-10-28,LONG,2025-10-28 10:15:00-04:00,2025-10-28 10:45:00-04:00,25890.05,25868.35,25955.15,2025-10-28 11:45:00-04:00,25868.35,SL,-1.0,-1000.0
