day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2022-07-15,reversal,SHORT,2022-07-15 09:35:00-04:00,2022-07-15 09:50:00-04:00,11872.6,11957.005040926313,11703.789918147375,2022-07-15 11:10:00-04:00,11957.005040926313,SL,-1.0,-500.0
2022-07-26,reversal,LONG,2022-07-26 09:35:00-04:00,2022-07-26 09:55:00-04:00,12202.6,12190.272779563074,12227.254440873852,2022-07-26 10:00:00-04:00,12190.272779563074,SL,-1.0,-500.0
2022-08-15,reversal,SHORT,2022-08-15 09:35:00-04:00,2022-08-15 09:45:00-04:00,13552.5,13587.095363253822,13483.309273492356,2022-08-15 09:50:00-04:00,13587.095363253822,SL,-1.0,-500.0
2022-08-25,reversal,LONG,2022-08-25 09:35:00-04:00,2022-08-25 09:55:00-04:00,12989.0,12949.635295328808,13067.729409342384,2022-08-25 10:20:00-04:00,13067.729409342384,TP,2.0,1000.0
2022-09-08,reversal,LONG,2022-09-08 09:35:00-04:00,2022-09-08 09:45:00-04:00,12190.1,12108.46837771608,12353.36324456784,2022-09-08 11:00:00-04:00,12353.36324456784,TP,2.0,1000.0
2022-09-14,reversal,LONG,2022-09-14 09:35:00-04:00,2022-09-14 09:45:00-04:00,12072.1,12014.224756952859,12187.850486094283,2022-09-14 10:30:00-04:00,12014.224756952859,SL,-1.0,-500.0
2022-09-30,reversal,LONG,2022-09-30 09:40:00-04:00,2022-09-30 09:55:00-04:00,11173.3,11087.079865873795,11345.740268252408,2022-09-30 14:40:00-04:00,11087.079865873795,SL,-1.0,-500.0
2022-10-07,reversal,SHORT,2022-10-07 09:35:00-04:00,2022-10-07 09:45:00-04:00,11229.8,11295.487304158467,11098.425391683064,2022-10-07 12:20:00-04:00,11098.425391683064,TP,2.0,1000.0
2022-11-08,reversal,LONG,2022-11-08 09:35:00-05:00,2022-11-08 09:55:00-05:00,11026.9,10986.794903389997,11107.110193220005,2022-11-08 11:10:00-05:00,11107.110193220005,TP,2.0,1000.0
2022-11-11,reversal,LONG,2022-11-11 09:35:00-05:00,2022-11-11 09:45:00-05:00,11590.9,11533.270134457565,11706.159731084868,2022-11-11 10:15:00-05:00,11706.159731084868,TP,2.0,1000.0
2022-11-21,reversal,LONG,2022-11-21 09:35:00-05:00,2022-11-21 09:50:00-05:00,11647.1,11598.733304231633,11743.833391536735,2022-11-21 10:05:00-05:00,11598.733304231633,SL,-1.0,-500.0
2022-12-13,reversal,LONG,2022-12-13 09:35:00-05:00,2022-12-13 09:45:00-05:00,12122.0,12055.017077389475,12255.96584522105,2022-12-13 10:05:00-05:00,12055.017077389475,SL,-1.0,-500.0
2022-12-16,reversal,LONG,2022-12-16 09:40:00-05:00,2022-12-16 09:50:00-05:00,11354.9,11296.930606777853,11470.838786444294,2022-12-16 10:05:00-05:00,11296.930606777853,SL,-1.0,-500.0
2023-02-01,reversal,LONG,2023-02-01 09:35:00-05:00,2023-02-01 09:55:00-05:00,12089.4,12047.022876067214,12174.15424786557,2023-02-01 10:50:00-05:00,12047.022876067214,SL,-1.0,-500.0
