day,direction,or_high,or_low,breakout_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple
2024-08-05,LONG,17154.41,17099.71,2024-08-05 09:45:00-04:00,2024-08-05 09:46:00-04:00,17168.38,17099.71,17374.390000000007,2024-08-05 12:13:00-04:00,17374.390000000007,TP,3.0
2024-08-06,LONG,17315.57,17253.16,2024-08-06 09:52:00-04:00,2024-08-06 09:53:00-04:00,17342.91,17253.16,17612.16,2024-08-07 09:38:00-04:00,17612.16,TP,3.0
2024-08-07,LONG,17622.86,17591.73,2024-08-07 09:50:00-04:00,2024-08-07 09:51:00-04:00,17624.91,17591.73,17724.45,2024-08-07 11:44:00-04:00,17591.73,SL,-1.0
2024-08-08,LONG,17628.63,17594.46,2024-08-08 10:02:00-04:00,2024-08-08 10:03:00-04:00,17636.6,17594.46,17763.019999999997,2024-08-09 04:38:00-04:00,17763.019999999997,TP,3.0
2024-08-09,LONG,17678.56,17642.61,2024-08-09 10:12:00-04:00,2024-08-09 10:13:00-04:00,17678.47,17642.61,17786.050000000003,2024-08-11 20:17:00-04:00,17786.050000000003,TP,3.0
2024-08-13,LONG,17767.98,17742.02,2024-08-13 09:45:00-04:00,2024-08-13 09:46:00-04:00,17769.57,17742.02,17852.219999999998,2024-08-13 09:55:00-04:00,17742.02,SL,-1.0
2024-08-14,LONG,17908.91,17865.26,2024-08-14 16:05:00-04:00,2024-08-14 16:06:00-04:00,17910.4,17865.26,18045.82000000001,2024-08-15 08:36:00-04:00,18045.82000000001,TP,3.0
2024-08-15,LONG,18187.0,18156.17,2024-08-15 09:49:00-04:00,2024-08-15 09:50:00-04:00,18191.98,18156.17,18299.410000000003,2024-08-15 10:04:00-04:00,18156.17,SL,-1.0
2024-08-16,LONG,18291.54,18260.73,2024-08-16 09:49:00-04:00,2024-08-16 09:50:00-04:00,18296.54,18260.73,18403.970000000005,2024-08-19 09:36:00-04:00,18403.970000000005,TP,3.0
2024-08-19,LONG,18416.93,18379.56,2024-08-19 10:06:00-04:00,2024-08-19 10:07:00-04:00,18422.37,18379.56,18550.799999999992,2024-08-20 09:05:00-04:00,18379.56,SL,-1.0
2024-08-20,LONG,18403.23,18378.44,2024-08-20 09:53:00-04:00,2024-08-20 09:54:00-04:00,18402.67,18378.44,18475.359999999997,2024-08-20 10:18:00-04:00,18378.44,SL,-1.0
2024-08-21,LONG,18459.29,18424.28,2024-08-21 13:52:00-04:00,2024-08-21 13:53:00-04:00,18459.48,18424.28,18565.08,2024-08-23 04:24:00-04:00,18565.08,TP,3.0
2024-08-23,LONG,18599.47,18578.0,2024-08-23 10:00:00-04:00,2024-08-23 10:01:00-04:00,18604.98,18578.0,18685.92,2024-08-23 12:17:00-04:00,18578.0,SL,-1.0
2024-08-26,LONG,18620.29,18594.5,2024-08-26 09:48:00-04:00,2024-08-26 09:49:00-04:00,18622.19,18594.5,18705.259999999995,2024-08-27 08:16:00-04:00,18705.259999999995,TP,3.0
