day,direction,or_high,or_low,breakout_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple
2021-02-01,SHORT,13114.2,13059.7,2021-02-01 09:45:00-05:00,2021-02-01 09:46:00-05:00,13057.7,13114.2,12888.2,2021-02-01 10:35:00-05:00,13114.2,SL,-1.0531
2021-02-02,LONG,13415.9,13357.4,2021-02-02 09:48:00-05:00,2021-02-02 09:49:00-05:00,13428.5,13357.4,13641.800000000001,2021-02-04 00:09:00-05:00,13357.4,SL,-1.0422
2021-02-04,SHORT,13490.3,13422.8,2021-02-04 10:02:00-05:00,2021-02-04 10:03:00-05:00,13414.2,13490.3,13185.900000000005,2021-02-04 12:37:00-05:00,13490.3,SL,-1.0394
2021-02-05,SHORT,13600.1,13553.9,2021-02-05 09:55:00-05:00,2021-02-05 09:56:00-05:00,13550.0,13600.1,13399.699999999999,2021-02-05 12:17:00-05:00,13600.1,SL,-1.0599
2021-02-08,LONG,13681.3,13640.5,2021-02-08 10:04:00-05:00,2021-02-08 10:05:00-05:00,13682.3,13640.5,13807.699999999997,2021-02-08 11:29:00-05:00,13640.5,SL,-1.0718
2021-02-09,LONG,13691.2,13652.3,2021-02-09 09:45:00-05:00,2021-02-09 09:46:00-05:00,13693.2,13652.3,13815.900000000005,2021-02-10 10:21:00-05:00,13652.3,SL,-1.0733
2021-02-10,SHORT,13769.2,13722.2,2021-02-10 10:22:00-05:00,2021-02-10 10:23:00-05:00,13620.8,13769.2,13175.599999999995,2021-02-12 15:36:00-05:00,13769.2,SL,-1.0202
2021-02-12,LONG,13704.2,13655.2,2021-02-12 15:37:00-05:00,2021-02-12 15:38:00-05:00,13774.3,13655.2,14131.599999999995,2021-02-17 09:08:00-05:00,13655.2,SL,-1.0252
2021-02-17,LONG,13675.5,13616.7,2021-02-17 09:50:00-05:00,2021-02-17 09:51:00-05:00,13689.0,13616.7,13905.899999999998,2021-02-17 10:21:00-05:00,13616.7,SL,-1.0415
2021-02-18,LONG,13574.5,13528.2,2021-02-18 09:46:00-05:00,2021-02-18 09:47:00-05:00,13574.7,13528.2,13714.2,2021-02-18 10:05:00-05:00,13528.2,SL,-1.0645
2021-02-19,SHORT,13704.6,13653.2,2021-02-19 09:48:00-05:00,2021-02-19 09:49:00-05:00,13649.6,13704.6,13484.6,2021-02-22 02:09:00-05:00,13484.6,TP,2.9455
2021-02-22,LONG,13429.0,13363.7,2021-02-22 09:48:00-05:00,2021-02-22 09:49:00-05:00,13430.3,13363.7,13630.099999999995,2021-02-22 10:22:00-05:00,13363.7,SL,-1.045
2021-02-23,SHORT,13022.3,12831.6,2021-02-23 09:45:00-05:00,2021-02-23 09:46:00-05:00,12823.8,13022.3,12228.3,2021-02-23 10:25:00-05:00,13022.3,SL,-1.0151
2021-02-24,SHORT,13125.9,13008.4,2021-02-24 10:01:00-05:00,2021-02-24 10:02:00-05:00,13007.4,13125.9,12651.9,2021-02-24 11:05:00-05:00,13125.9,SL,-1.0253
2021-02-25,SHORT,13294.6,13184.2,2021-02-25 10:03:00-05:00,2021-02-25 10:04:00-05:00,13183.3,13294.6,12849.399999999996,2021-02-25 12:57:00-05:00,12849.399999999996,TP,2.973
2021-02-26,SHORT,13036.2,12935.0,2021-02-26 09:50:00-05:00,2021-02-26 09:51:00-05:00,12925.2,13036.2,12592.2,2021-02-26 12:08:00-05:00,13036.2,SL,-1.027
2021-03-01,LONG,13120.4,13046.2,2021-03-01 10:17:00-05:00,2021-03-01 10:18:00-05:00,13123.9,13046.2,13356.999999999996,2021-03-03 08:33:00-05:00,13046.2,SL,-1.0386
2021-03-03,SHORT,13057.0,12935.0,2021-03-03 09:58:00-05:00,2021-03-03 09:59:00-05:00,12913.3,13057.0,12482.199999999997,2021-03-04 12:55:00-05:00,12482.199999999997,TP,2.9791
2021-03-04,SHORT,12768.9,12654.3,2021-03-04 12:56:00-05:00,2021-03-04 12:57:00-05:00,12457.6,12768.9,11523.700000000003,2021-03-09 10:27:00-05:00,12768.9,SL,-1.0096
2021-03-09,LONG,12657.4,12592.4,2021-03-09 10:28:00-05:00,2021-03-09 10:29:00-05:00,12766.9,12592.4,13290.4,2021-03-16 10:51:00-04:00,13290.4,TP,2.9828
2021-03-16,LONG,13206.7,13149.2,2021-03-16 10:52:00-04:00,2021-03-16 10:53:00-04:00,13301.0,13149.2,13756.399999999998,2021-03-16 14:25:00-04:00,13149.2,SL,-1.0198
2021-03-17,LONG,13032.1,12952.1,2021-03-17 09:49:00-04:00,2021-03-17 09:50:00-04:00,13036.2,12952.1,13288.500000000002,2021-03-18 09:46:00-04:00,12952.1,SL,-1.0357
2021-03-18,SHORT,13039.0,12981.5,2021-03-18 09:47:00-04:00,2021-03-18 09:48:00-04:00,12960.5,13039.0,12725.0,2021-03-19 10:04:00-04:00,12725.0,TP,2.9618
2021-03-19,SHORT,12851.7,12740.8,2021-03-19 10:05:00-04:00,2021-03-19 10:06:00-04:00,12723.8,12851.7,12340.099999999995,2021-03-19 10:52:00-04:00,12851.7,SL,-1.0235
