day,direction,or_high,or_low,breakout_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple
2020-01-02,LONG,8827.7,8791.3,2020-01-02 14:04:00-05:00,2020-01-02 14:05:00-05:00,8828.3,8791.3,8939.3,2020-01-02 22:17:00-05:00,8791.3,SL,-1.0459
2020-01-03,LONG,8821.1,8751.7,2020-01-03 12:01:00-05:00,2020-01-03 12:02:00-05:00,8823.1,8751.7,9037.3,2020-01-05 18:00:00-05:00,8751.7,SL,-1.0238
2020-01-06,LONG,8758.3,8712.5,2020-01-06 09:45:00-05:00,2020-01-06 09:46:00-05:00,8760.1,8712.5,8902.900000000001,2020-01-07 18:41:00-05:00,8712.5,SL,-1.0357
2020-01-08,LONG,8870.1,8832.6,2020-01-08 09:54:00-05:00,2020-01-08 09:55:00-05:00,8873.6,8832.6,8996.6,2020-01-09 09:31:00-05:00,8996.6,TP,2.9585
2020-01-09,LONG,9003.6,8980.6,2020-01-09 19:21:00-05:00,2020-01-09 19:22:00-05:00,9004.6,8980.6,9076.6,2020-01-10 12:07:00-05:00,8980.6,SL,-1.0708
2020-01-13,LONG,9012.0,8987.3,2020-01-13 09:57:00-05:00,2020-01-13 09:58:00-05:00,9015.8,8987.3,9101.3,2020-01-16 09:45:00-05:00,9101.3,TP,2.9404
2020-01-16,LONG,9099.8,9073.1,2020-01-16 10:07:00-05:00,2020-01-16 10:08:00-05:00,9102.0,9073.1,9188.699999999999,2020-01-16 11:12:00-05:00,9073.1,SL,-1.0588
2020-01-17,LONG,9165.1,9127.3,2020-01-17 15:54:00-05:00,2020-01-17 15:55:00-05:00,9171.1,9127.3,9302.500000000004,2020-01-20 20:19:00-05:00,9127.3,SL,-1.0388
2020-01-21,LONG,9160.3,9142.1,2020-01-21 09:54:00-05:00,2020-01-21 09:55:00-05:00,9160.7,9142.1,9216.500000000002,2020-01-21 14:01:00-05:00,9142.1,SL,-1.0914
2020-01-22,LONG,9229.1,9200.1,2020-01-22 10:26:00-05:00,2020-01-22 10:27:00-05:00,9230.3,9200.1,9320.899999999996,2020-01-22 15:06:00-05:00,9200.1,SL,-1.0563
2020-01-23,LONG,9188.2,9139.6,2020-01-23 10:07:00-05:00,2020-01-23 10:08:00-05:00,9190.6,9139.6,9343.6,2020-01-24 13:48:00-05:00,9139.6,SL,-1.0333
2020-01-27,LONG,8971.2,8916.0,2020-01-27 09:48:00-05:00,2020-01-27 09:49:00-05:00,8975.5,8916.0,9154.0,2020-01-30 16:01:00-05:00,9154.0,TP,2.9714
2020-01-30,LONG,9107.3,9037.5,2020-01-30 16:02:00-05:00,2020-01-30 16:03:00-05:00,9202.6,9037.5,9697.900000000001,2020-01-31 11:13:00-05:00,9037.5,SL,-1.0103
2020-02-03,LONG,9087.1,9029.3,2020-02-03 09:45:00-05:00,2020-02-03 09:46:00-05:00,9101.1,9029.3,9316.500000000004,2020-02-04 11:38:00-05:00,9316.500000000004,TP,2.9763
2020-02-04,LONG,9262.0,9219.8,2020-02-04 11:39:00-05:00,2020-02-04 11:40:00-05:00,9318.0,9219.8,9612.600000000002,2020-02-12 15:54:00-05:00,9612.600000000002,TP,2.9827
2020-02-12,LONG,9595.5,9571.7,2020-02-12 15:55:00-05:00,2020-02-12 15:56:00-05:00,9609.2,9571.7,9721.7,2020-02-12 18:54:00-05:00,9571.7,SL,-1.0453
2020-02-13,LONG,9568.2,9529.3,2020-02-13 09:51:00-05:00,2020-02-13 09:52:00-05:00,9570.1,9529.3,9692.500000000004,2020-02-18 02:52:00-05:00,9529.3,SL,-1.0417
