day,direction,or_high,or_low,breakout_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple
2020-01-02,LONG,8827.7,8791.3,2020-01-02 14:04:00-05:00,2020-01-02 14:05:00-05:00,8828.3,8791.3,8902.3,2020-01-02 22:17:00-05:00,8791.3,SL,-1.0459
2020-01-03,LONG,8821.1,8751.7,2020-01-03 12:01:00-05:00,2020-01-03 12:02:00-05:00,8823.1,8751.7,8965.9,2020-01-05 18:00:00-05:00,8751.7,SL,-1.0238
2020-01-06,LONG,8758.3,8712.5,2020-01-06 09:45:00-05:00,2020-01-06 09:46:00-05:00,8760.1,8712.5,8855.300000000001,2020-01-06 20:41:00-05:00,8855.300000000001,TP,1.9643
2020-01-07,LONG,8860.3,8818.6,2020-01-07 11:00:00-05:00,2020-01-07 11:01:00-05:00,8860.8,8818.6,8945.199999999997,2020-01-07 16:31:00-05:00,8818.6,SL,-1.0403
2020-01-08,LONG,8870.1,8832.6,2020-01-08 09:54:00-05:00,2020-01-08 09:55:00-05:00,8873.6,8832.6,8955.6,2020-01-09 02:13:00-05:00,8955.6,TP,1.9585
2020-01-09,LONG,9003.6,8980.6,2020-01-09 19:21:00-05:00,2020-01-09 19:22:00-05:00,9004.6,8980.6,9052.6,2020-01-10 12:07:00-05:00,8980.6,SL,-1.0708
2020-01-13,LONG,9012.0,8987.3,2020-01-13 09:57:00-05:00,2020-01-13 09:58:00-05:00,9015.8,8987.3,9072.8,2020-01-13 16:31:00-05:00,9072.8,TP,1.9404
2020-01-14,LONG,9069.6,9036.6,2020-01-14 12:37:00-05:00,2020-01-14 12:38:00-05:00,9070.1,9036.6,9137.1,2020-01-14 14:02:00-05:00,9036.6,SL,-1.0507
2020-01-15,LONG,9063.3,9036.2,2020-01-15 09:53:00-05:00,2020-01-15 09:54:00-05:00,9063.8,9036.2,9118.999999999996,2020-01-15 13:33:00-05:00,9036.2,SL,-1.0616
2020-01-16,LONG,9099.8,9073.1,2020-01-16 10:07:00-05:00,2020-01-16 10:08:00-05:00,9102.0,9073.1,9159.8,2020-01-16 11:12:00-05:00,9073.1,SL,-1.0588
2020-01-17,LONG,9165.1,9127.3,2020-01-17 15:54:00-05:00,2020-01-17 15:55:00-05:00,9171.1,9127.3,9258.700000000003,2020-01-20 20:19:00-05:00,9127.3,SL,-1.0388
2020-01-21,LONG,9160.3,9142.1,2020-01-21 09:54:00-05:00,2020-01-21 09:55:00-05:00,9160.7,9142.1,9197.900000000001,2020-01-21 14:01:00-05:00,9142.1,SL,-1.0914
2020-01-22,LONG,9229.1,9200.1,2020-01-22 10:26:00-05:00,2020-01-22 10:27:00-05:00,9230.3,9200.1,9290.699999999997,2020-01-22 15:06:00-05:00,9200.1,SL,-1.0563
2020-01-23,LONG,9188.2,9139.6,2020-01-23 10:07:00-05:00,2020-01-23 10:08:00-05:00,9190.6,9139.6,9292.6,2020-01-24 13:48:00-05:00,9139.6,SL,-1.0333
2020-01-27,LONG,8971.2,8916.0,2020-01-27 09:48:00-05:00,2020-01-27 09:49:00-05:00,8975.5,8916.0,9094.5,2020-01-28 12:20:00-05:00,9094.5,TP,1.9714
2020-01-28,LONG,9029.8,8991.6,2020-01-28 12:21:00-05:00,2020-01-28 12:22:00-05:00,9093.1,8991.6,9296.1,2020-01-31 13:44:00-05:00,8991.6,SL,-1.0167
2020-02-03,LONG,9087.1,9029.3,2020-02-03 09:45:00-05:00,2020-02-03 09:46:00-05:00,9101.1,9029.3,9244.700000000003,2020-02-04 07:40:00-05:00,9244.700000000003,TP,1.9763
2020-02-04,LONG,9262.0,9219.8,2020-02-04 09:49:00-05:00,2020-02-04 09:50:00-05:00,9264.6,9219.8,9354.200000000003,2020-02-04 16:41:00-05:00,9354.200000000003,TP,1.9621
2020-02-06,LONG,9398.5,9354.3,2020-02-06 09:59:00-05:00,2020-02-06 10:00:00-05:00,9405.1,9354.3,9506.700000000003,2020-02-09 18:34:00-05:00,9354.3,SL,-1.0335
2020-02-10,LONG,9426.6,9368.7,2020-02-10 09:54:00-05:00,2020-02-10 09:55:00-05:00,9427.5,9368.7,9545.099999999999,2020-02-10 20:15:00-05:00,9545.099999999999,TP,1.9711
2020-02-11,LONG,9571.6,9529.1,2020-02-11 10:07:00-05:00,2020-02-11 10:08:00-05:00,9573.1,9529.1,9661.1,2020-02-11 14:04:00-05:00,9529.1,SL,-1.0386
2020-02-12,LONG,9595.5,9571.7,2020-02-12 11:25:00-05:00,2020-02-12 11:26:00-05:00,9596.0,9571.7,9644.599999999999,2020-02-12 18:54:00-05:00,9571.7,SL,-1.07
2020-02-13,LONG,9568.2,9529.3,2020-02-13 09:51:00-05:00,2020-02-13 09:52:00-05:00,9570.1,9529.3,9651.700000000003,2020-02-16 18:16:00-05:00,9651.700000000003,TP,1.9583
