day,direction,or_high,or_low,breakout_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple
2020-01-02,LONG,8828.2,8791.7,2020-01-02 14:04:00-05:00,2020-01-02 14:05:00-05:00,8828.8,8791.7,8940.099999999995,2020-01-02 22:17:00-05:00,8791.7,SL,-1.0539
2020-01-03,LONG,8821.4,8751.8,2020-01-03 12:01:00-05:00,2020-01-03 12:02:00-05:00,8823.9,8751.8,9040.2,2020-01-05 18:00:00-05:00,8751.8,SL,-1.0277
2020-01-06,LONG,8758.7,8712.7,2020-01-06 09:45:00-05:00,2020-01-06 09:46:00-05:00,8760.4,8712.7,8903.499999999996,2020-01-07 18:41:00-05:00,8712.7,SL,-1.0419
2020-01-08,LONG,8870.4,8832.8,2020-01-08 09:54:00-05:00,2020-01-08 09:55:00-05:00,8873.9,8832.8,8997.2,2020-01-09 09:31:00-05:00,8997.2,TP,2.9513
2020-01-09,LONG,9003.9,8980.8,2020-01-09 19:21:00-05:00,2020-01-09 19:22:00-05:00,9004.9,8980.8,9077.2,2020-01-10 12:07:00-05:00,8980.8,SL,-1.083
2020-01-13,LONG,9012.4,8987.7,2020-01-13 09:57:00-05:00,2020-01-13 09:58:00-05:00,9016.2,8987.7,9101.7,2020-01-16 09:45:00-05:00,9101.7,TP,2.9298
2020-01-16,LONG,9100.2,9073.3,2020-01-16 10:07:00-05:00,2020-01-16 10:08:00-05:00,9102.7,9073.3,9190.900000000005,2020-01-16 11:12:00-05:00,9073.3,SL,-1.068
2020-01-17,LONG,9165.4,9127.7,2020-01-17 15:54:00-05:00,2020-01-17 15:55:00-05:00,9172.1,9127.7,9305.3,2020-01-20 20:19:00-05:00,9127.7,SL,-1.045
2020-01-21,LONG,9160.7,9142.1,2020-01-21 09:54:00-05:00,2020-01-21 09:55:00-05:00,9161.2,9142.1,9218.500000000002,2020-01-21 14:01:00-05:00,9142.1,SL,-1.1047
2020-01-22,LONG,9229.4,9200.4,2020-01-22 10:00:00-05:00,2020-01-22 10:01:00-05:00,9229.3,9200.4,9315.999999999998,2020-01-22 15:06:00-05:00,9200.4,SL,-1.0692
2020-01-23,LONG,9188.8,9139.9,2020-01-23 10:07:00-05:00,2020-01-23 10:08:00-05:00,9190.9,9139.9,9343.9,2020-01-24 13:48:00-05:00,9139.9,SL,-1.0392
2020-01-27,LONG,8971.4,8916.2,2020-01-27 09:48:00-05:00,2020-01-27 09:49:00-05:00,8975.7,8916.2,9154.2,2020-01-30 16:01:00-05:00,9154.2,TP,2.9664
2020-01-30,LONG,9107.7,9037.7,2020-01-30 16:02:00-05:00,2020-01-30 16:03:00-05:00,9202.4,9037.7,9696.499999999996,2020-01-31 11:13:00-05:00,9037.7,SL,-1.0121
