day,direction,or_high,or_low,breakout_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple
2020-01-02,LONG,8828.2,8791.7,2020-01-02 14:04:00-05:00,2020-01-02 14:05:00-05:00,8828.8,8791.7,8902.999999999996,2020-01-02 22:17:00-05:00,8791.7,SL,-1.0539
2020-01-03,LONG,8821.4,8751.8,2020-01-03 12:01:00-05:00,2020-01-03 12:02:00-05:00,8823.9,8751.8,8968.1,2020-01-05 18:00:00-05:00,8751.8,SL,-1.0277
2020-01-06,LONG,8758.7,8712.7,2020-01-06 09:45:00-05:00,2020-01-06 09:46:00-05:00,8760.4,8712.7,8855.799999999997,2020-01-06 20:41:00-05:00,8855.799999999997,TP,1.9581
2020-01-07,LONG,8860.9,8818.7,2020-01-07 11:01:00-05:00,2020-01-07 11:02:00-05:00,8863.7,8818.7,8953.7,2020-01-07 16:31:00-05:00,8818.7,SL,-1.0444
2020-01-08,LONG,8870.4,8832.8,2020-01-08 09:54:00-05:00,2020-01-08 09:55:00-05:00,8873.9,8832.8,8956.1,2020-01-09 02:13:00-05:00,8956.1,TP,1.9513
2020-01-09,LONG,9003.9,8980.8,2020-01-09 19:21:00-05:00,2020-01-09 19:22:00-05:00,9004.9,8980.8,9053.1,2020-01-10 12:07:00-05:00,8980.8,SL,-1.083
2020-01-13,LONG,9012.4,8987.7,2020-01-13 09:57:00-05:00,2020-01-13 09:58:00-05:00,9016.2,8987.7,9073.2,2020-01-13 16:31:00-05:00,9073.2,TP,1.9298
2020-01-14,LONG,9070.2,9036.7,2020-01-14 12:37:00-05:00,2020-01-14 12:38:00-05:00,9070.4,9036.7,9137.799999999997,2020-01-14 14:02:00-05:00,9036.7,SL,-1.0593
2020-01-15,LONG,9063.7,9036.4,2020-01-15 09:53:00-05:00,2020-01-15 09:54:00-05:00,9064.1,9036.4,9119.500000000002,2020-01-15 13:33:00-05:00,9036.4,SL,-1.0722
2020-01-16,LONG,9100.2,9073.3,2020-01-16 10:07:00-05:00,2020-01-16 10:08:00-05:00,9102.7,9073.3,9161.500000000004,2020-01-16 11:12:00-05:00,9073.3,SL,-1.068
2020-01-17,LONG,9165.4,9127.7,2020-01-17 15:54:00-05:00,2020-01-17 15:55:00-05:00,9172.1,9127.7,9260.9,2020-01-20 20:19:00-05:00,9127.7,SL,-1.045
2020-01-21,LONG,9160.7,9142.1,2020-01-21 09:54:00-05:00,2020-01-21 09:55:00-05:00,9161.2,9142.1,9199.400000000001,2020-01-21 14:01:00-05:00,9142.1,SL,-1.1047
2020-01-22,LONG,9229.4,9200.4,2020-01-22 10:00:00-05:00,2020-01-22 10:01:00-05:00,9229.3,9200.4,9287.099999999999,2020-01-22 15:06:00-05:00,9200.4,SL,-1.0692
2020-01-23,LONG,9188.8,9139.9,2020-01-23 10:07:00-05:00,2020-01-23 10:08:00-05:00,9190.9,9139.9,9292.9,2020-01-24 13:48:00-05:00,9139.9,SL,-1.0392
2020-01-27,LONG,8971.4,8916.2,2020-01-27 09:48:00-05:00,2020-01-27 09:49:00-05:00,8975.7,8916.2,9094.7,2020-01-28 12:20:00-05:00,9094.7,TP,1.9664
2020-01-28,LONG,9030.2,8991.8,2020-01-28 12:21:00-05:00,2020-01-28 12:22:00-05:00,9093.3,8991.8,9296.3,2020-01-31 13:44:00-05:00,8991.8,SL,-1.0197
2020-02-03,LONG,9087.7,9029.3,2020-02-03 09:45:00-05:00,2020-02-03 09:46:00-05:00,9101.3,9029.3,9245.3,2020-02-04 07:40:00-05:00,9245.3,TP,1.9722
2020-02-04,LONG,9262.4,9220.2,2020-02-04 09:49:00-05:00,2020-02-04 09:50:00-05:00,9264.9,9220.2,9354.299999999997,2020-02-04 16:41:00-05:00,9354.299999999997,TP,1.9553
2020-02-06,LONG,9398.9,9354.7,2020-02-06 09:59:00-05:00,2020-02-06 10:00:00-05:00,9405.4,9354.7,9506.799999999997,2020-02-09 18:34:00-05:00,9354.7,SL,-1.0394
2020-02-10,LONG,9427.2,9368.9,2020-02-10 09:54:00-05:00,2020-02-10 09:55:00-05:00,9427.3,9368.9,9544.099999999999,2020-02-10 20:15:00-05:00,9544.099999999999,TP,1.9658
2020-02-11,LONG,9571.9,9529.4,2020-02-11 10:07:00-05:00,2020-02-11 10:08:00-05:00,9573.4,9529.4,9661.4,2020-02-11 14:04:00-05:00,9529.4,SL,-1.0455
2020-02-12,LONG,9595.8,9571.9,2020-02-12 11:25:00-05:00,2020-02-12 11:26:00-05:00,9596.2,9571.9,9644.800000000003,2020-02-12 18:54:00-05:00,9571.9,SL,-1.0823
2020-02-13,LONG,9568.7,9529.4,2020-02-13 09:51:00-05:00,2020-02-13 09:52:00-05:00,9570.7,9529.4,9653.300000000003,2020-02-16 18:16:00-05:00,9653.300000000003,TP,1.9516
2020-02-17,LONG,9656.9,9649.2,2020-02-17 10:48:00-05:00,2020-02-17 10:49:00-05:00,9656.9,9649.2,9672.299999999997,2020-02-17 18:00:00-05:00,9649.2,SL,-1.2597
2020-02-18,LONG,9608.2,9567.9,2020-02-18 09:53:00-05:00,2020-02-18 09:54:00-05:00,9610.4,9567.9,9695.4,2020-02-19 09:32:00-05:00,9695.4,TP,1.9529
2020-02-19,LONG,9701.1,9671.2,2020-02-19 09:52:00-05:00,2020-02-19 09:53:00-05:00,9701.6,9671.2,9762.4,2020-02-20 11:10:00-05:00,9671.2,SL,-1.0658
2020-02-24,LONG,9172.2,9033.9,2020-02-24 09:47:00-05:00,2020-02-24 09:48:00-05:00,9176.1,9033.9,9460.500000000002,2020-02-25 10:28:00-05:00,9033.9,SL,-1.0141
2020-02-26,LONG,9009.8,8875.4,2020-02-26 10:35:00-05:00,2020-02-26 10:36:00-05:00,9010.8,8875.4,9281.599999999999,2020-02-26 12:16:00-05:00,8875.4,SL,-1.0148
2020-02-27,LONG,8716.3,8626.3,2020-02-27 11:18:00-05:00,2020-02-27 11:19:00-05:00,8716.3,8626.3,8896.3,2020-02-27 11:38:00-05:00,8626.3,SL,-1.0222
2020-02-28,LONG,8316.2,8121.6,2020-02-28 11:21:00-05:00,2020-02-28 11:22:00-05:00,8318.6,8121.6,8712.6,2020-03-02 11:54:00-05:00,8712.6,TP,1.9898
2020-03-02,LONG,8593.2,8482.8,2020-03-02 11:55:00-05:00,2020-03-02 11:56:00-05:00,8727.6,8482.8,9217.200000000003,2020-03-06 04:54:00-05:00,8482.8,SL,-1.0082
2020-03-06,LONG,8461.8,8382.1,2020-03-06 10:16:00-05:00,2020-03-06 10:17:00-05:00,8468.3,8382.1,8640.699999999997,2020-03-06 14:00:00-05:00,8382.1,SL,-1.0232
2020-03-09,LONG,7925.1,7823.1,2020-03-09 09:52:00-04:00,2020-03-09 09:53:00-04:00,7982.6,7823.1,8301.6,2020-03-09 18:10:00-04:00,7823.1,SL,-1.0125
2020-03-10,LONG,8247.2,8143.9,2020-03-10 10:12:00-04:00,2020-03-10 10:13:00-04:00,8249.9,8143.9,8461.9,2020-03-10 10:46:00-04:00,8143.9,SL,-1.0189
