day,direction,or_high,or_low,breakout_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple
2020-01-02,SHORT,1530.44,1526.95,2020-01-02 09:56:00-05:00,2020-01-02 10:02:00-05:00,1526.77,1527.48,1525.35,2020-01-02 10:06:00-05:00,1527.48,SL,-1.5493
2020-01-03,LONG,1547.96,1543.93,2020-01-03 10:00:00-05:00,2020-01-03 10:03:00-05:00,1548.44,1546.35,1552.6200000000003,2020-01-03 13:38:00-05:00,1552.6200000000003,TP,1.8134
2020-01-06,SHORT,1576.52,1572.77,2020-01-06 09:51:00-05:00,2020-01-06 10:00:00-05:00,1572.74,1574.47,1569.28,2020-01-06 10:27:00-05:00,1569.28,TP,1.7746
2020-01-07,LONG,1570.47,1566.58,2020-01-07 09:47:00-05:00,2020-01-07 10:13:00-05:00,1571.12,1565.44,1582.4799999999996,2020-01-07 18:22:00-05:00,1582.4799999999996,TP,1.9313
2020-01-08,SHORT,1578.18,1571.31,2020-01-08 10:32:00-05:00,2020-01-08 11:02:00-05:00,1571.09,1574.38,1564.5099999999995,2020-01-08 11:29:00-05:00,1564.5099999999995,TP,1.8815
2020-01-09,LONG,1552.16,1548.38,2020-01-09 09:57:00-05:00,2020-01-09 09:59:00-05:00,1552.23,1551.57,1553.5500000000002,2020-01-09 09:59:00-05:00,1551.57,SL,-1.5909
2020-01-10,LONG,1554.17,1552.26,2020-01-10 10:09:00-05:00,2020-01-10 10:11:00-05:00,1554.49,1553.91,1555.6499999999999,2020-01-10 10:12:00-05:00,1553.91,SL,-1.6724
2020-01-13,SHORT,1554.64,1549.73,2020-01-13 09:49:00-05:00,2020-01-13 10:03:00-05:00,1549.53,1551.04,1546.51,2020-01-13 10:21:00-05:00,1551.04,SL,-1.2583
2020-01-14,LONG,1545.78,1543.88,2020-01-14 09:51:00-05:00,2020-01-14 09:56:00-05:00,1545.89,1545.45,1546.7700000000002,2020-01-14 09:57:00-05:00,1546.7700000000002,TP,1.1136
2020-01-15,SHORT,1553.15,1551.43,2020-01-15 09:49:00-05:00,2020-01-15 11:56:00-05:00,1551.35,1551.75,1550.5499999999997,2020-01-15 11:56:00-05:00,1551.75,SL,-1.975
2020-01-16,LONG,1553.67,1550.53,2020-01-16 09:58:00-05:00,2020-01-16 10:02:00-05:00,1553.78,1552.94,1555.4599999999998,2020-01-16 10:07:00-05:00,1552.94,SL,-1.4643
2020-01-17,LONG,1558.21,1555.7,2020-01-17 09:52:00-05:00,2020-01-17 09:54:00-05:00,1558.4,1557.81,1559.5800000000004,2020-01-17 09:59:00-05:00,1557.81,SL,-1.661
2020-01-20,SHORT,1560.29,1559.62,2020-01-20 09:47:00-05:00,2020-01-20 09:49:00-05:00,1559.63,1559.72,1559.4500000000003,2020-01-20 09:49:00-05:00,1559.4500000000003,TP,-2.3333
2020-01-21,LONG,1550.47,1546.16,2020-01-21 09:47:00-05:00,2020-01-21 09:49:00-05:00,1550.53,1549.63,1552.3299999999997,2020-01-21 10:08:00-05:00,1552.3299999999997,TP,1.5667
2020-01-22,LONG,1558.16,1556.16,2020-01-22 09:53:00-05:00,2020-01-22 15:26:00-05:00,1558.18,1554.72,1565.1000000000001,2020-01-23 02:42:00-05:00,1554.72,SL,-1.1127
2020-01-23,LONG,1564.02,1557.02,2020-01-23 09:53:00-05:00,2020-01-23 11:12:00-05:00,1564.33,1559.66,1573.6699999999996,2020-01-23 20:19:00-05:00,1559.66,SL,-1.0835
2020-01-27,SHORT,1585.85,1580.14,2020-01-27 09:45:00-05:00,2020-01-27 09:47:00-05:00,1579.87,1580.34,1578.9299999999998,2020-01-27 09:47:00-05:00,1578.9299999999998,TP,1.1702
2020-01-28,SHORT,1577.87,1574.18,2020-01-28 10:01:00-05:00,2020-01-28 10:03:00-05:00,1573.98,1574.66,1572.62,2020-01-28 10:14:00-05:00,1572.62,TP,1.4265
2020-01-29,LONG,1570.55,1567.66,2020-01-29 09:54:00-05:00,2020-01-29 09:56:00-05:00,1570.85,1570.11,1572.33,2020-01-29 09:57:00-05:00,1572.33,TP,1.473
2020-01-30,LONG,1579.22,1572.09,2020-01-30 10:15:00-05:00,2020-01-30 10:17:00-05:00,1579.49,1578.47,1581.53,2020-01-30 10:27:00-05:00,1578.47,SL,-1.3824
2020-01-31,LONG,1583.21,1580.47,2020-01-31 09:45:00-05:00,2020-01-31 09:49:00-05:00,1583.31,1582.47,1584.9899999999998,2020-01-31 09:58:00-05:00,1582.47,SL,-1.4643
2020-02-03,SHORT,1580.28,1577.22,2020-02-03 09:46:00-05:00,2020-02-03 09:50:00-05:00,1576.74,1577.41,1575.3999999999999,2020-02-03 09:51:00-05:00,1575.3999999999999,TP,1.4179
2020-02-05,SHORT,1556.76,1553.67,2020-02-05 09:47:00-05:00,2020-02-05 09:57:00-05:00,1553.51,1554.56,1551.41,2020-02-05 10:00:00-05:00,1554.56,SL,-1.3714
2020-02-06,SHORT,1568.1,1563.15,2020-02-06 09:59:00-05:00,2020-02-06 10:02:00-05:00,1563.2,1563.78,1562.0400000000002,2020-02-06 10:02:00-05:00,1563.78,SL,-1.6724
2020-02-07,SHORT,1573.88,1570.12,2020-02-07 10:20:00-05:00,2020-02-07 10:22:00-05:00,1569.88,1570.62,1568.4000000000005,2020-02-07 10:30:00-05:00,1568.4000000000005,TP,1.473
2020-02-10,SHORT,1574.9,1572.83,2020-02-10 09:54:00-05:00,2020-02-10 10:13:00-05:00,1572.79,1573.18,1572.0099999999998,2020-02-10 10:14:00-05:00,1573.18,SL,-2.0
2020-02-11,SHORT,1573.93,1572.01,2020-02-11 09:46:00-05:00,2020-02-11 09:48:00-05:00,1571.91,1572.3,1571.1300000000003,2020-02-11 09:51:00-05:00,1572.3,SL,-2.0
2020-02-13,SHORT,1575.23,1572.8,2020-02-13 09:45:00-05:00,2020-02-13 09:47:00-05:00,1572.14,1573.78,1568.8600000000004,2020-02-13 09:58:00-05:00,1573.78,SL,-1.2378
2020-02-14,LONG,1581.33,1578.9,2020-02-14 09:50:00-05:00,2020-02-14 09:56:00-05:00,1581.4,1580.39,1583.42,2020-02-14 10:09:00-05:00,1580.39,SL,-1.3861
