day,direction,or_high,or_low,breakout_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple
2020-01-02,SHORT,1530.44,1526.95,2020-01-02 09:56:00-05:00,2020-01-02 09:57:00-05:00,1526.73,1530.44,1515.6,2020-01-02 10:28:00-05:00,1530.44,SL,-1.1051
2020-01-03,LONG,1547.96,1543.93,2020-01-03 10:00:00-05:00,2020-01-03 10:01:00-05:00,1548.62,1543.93,1562.6899999999994,2020-01-05 18:05:00-05:00,1562.6899999999994,TP,2.9168
2020-01-06,SHORT,1576.52,1572.77,2020-01-06 09:51:00-05:00,2020-01-06 09:52:00-05:00,1572.6,1576.52,1560.8399999999997,2020-01-06 10:43:00-05:00,1560.8399999999997,TP,2.9005
2020-01-07,LONG,1570.47,1566.58,2020-01-07 09:47:00-05:00,2020-01-07 09:48:00-05:00,1571.31,1566.58,1585.5,2020-01-07 10:00:00-05:00,1566.58,SL,-1.0825
2020-01-08,SHORT,1578.18,1571.31,2020-01-08 10:32:00-05:00,2020-01-08 10:33:00-05:00,1571.01,1578.18,1549.4999999999998,2020-01-09 01:36:00-05:00,1549.4999999999998,TP,2.9456
2020-01-09,LONG,1552.16,1548.38,2020-01-09 09:57:00-05:00,2020-01-09 09:58:00-05:00,1552.37,1548.38,1564.3399999999992,2020-01-09 10:20:00-05:00,1548.38,SL,-1.0977
2020-01-10,LONG,1554.17,1552.26,2020-01-10 10:09:00-05:00,2020-01-10 10:10:00-05:00,1554.43,1552.26,1560.9400000000003,2020-01-13 02:06:00-05:00,1552.26,SL,-1.1797
2020-01-13,SHORT,1554.64,1549.73,2020-01-13 09:49:00-05:00,2020-01-13 09:50:00-05:00,1548.85,1554.64,1531.4799999999993,2020-01-15 08:59:00-05:00,1554.64,SL,-1.0674
2020-01-15,SHORT,1553.15,1551.43,2020-01-15 09:49:00-05:00,2020-01-15 09:50:00-05:00,1550.19,1553.15,1541.31,2020-01-15 12:50:00-05:00,1553.15,SL,-1.1318
2020-01-16,LONG,1553.67,1550.53,2020-01-16 09:58:00-05:00,2020-01-16 09:59:00-05:00,1553.8,1550.53,1563.61,2020-01-16 10:18:00-05:00,1550.53,SL,-1.1193
2020-01-17,LONG,1558.21,1555.7,2020-01-17 09:52:00-05:00,2020-01-17 09:53:00-05:00,1558.29,1555.7,1566.0599999999997,2020-01-17 10:19:00-05:00,1555.7,SL,-1.1506
2020-01-20,SHORT,1560.29,1559.62,2020-01-20 09:47:00-05:00,2020-01-20 09:48:00-05:00,1559.49,1560.29,1557.0900000000001,2020-01-20 09:59:00-05:00,1560.29,SL,-1.4875
2020-01-21,LONG,1550.47,1546.16,2020-01-21 09:47:00-05:00,2020-01-21 09:48:00-05:00,1550.52,1546.16,1563.5999999999997,2020-01-23 09:44:00-05:00,1563.5999999999997,TP,2.9106
2020-01-23,LONG,1564.02,1557.02,2020-01-23 09:53:00-05:00,2020-01-23 09:54:00-05:00,1564.11,1557.02,1585.3799999999997,2020-01-24 08:13:00-05:00,1557.02,SL,-1.055
2020-01-24,LONG,1562.96,1560.12,2020-01-24 09:45:00-05:00,2020-01-24 09:46:00-05:00,1564.86,1560.12,1579.08,2020-01-26 18:05:00-05:00,1579.08,TP,2.9177
