day,direction,or_high,or_low,breakout_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple
2024-08-22,LONG,2492.94,2483.75,2024-08-22 23:41:00-04:00,2024-08-22 23:42:00-04:00,2493.13,2483.75,2511.8900000000003,2024-08-23 10:05:00-04:00,2511.8900000000003,TP,2.0
2024-08-23,LONG,2500.12,2494.96,2024-08-23 10:06:00-04:00,2024-08-23 10:07:00-04:00,2514.92,2494.96,2554.84,2024-08-28 08:30:00-04:00,2494.96,SL,-1.0
2024-08-28,LONG,2510.44,2499.3,2024-08-28 20:15:00-04:00,2024-08-28 20:16:00-04:00,2510.96,2499.3,2534.2799999999997,2024-08-30 12:37:00-04:00,2499.3,SL,-1.0
2024-09-02,LONG,2501.8,2498.66,2024-09-02 09:47:00-04:00,2024-09-02 09:48:00-04:00,2501.85,2498.66,2508.23,2024-09-02 10:01:00-04:00,2498.66,SL,-1.0
2024-09-03,LONG,2493.72,2480.15,2024-09-03 15:29:00-04:00,2024-09-03 15:30:00-04:00,2493.84,2480.15,2521.2200000000003,2024-09-04 04:13:00-04:00,2480.15,SL,-1.0
2024-09-04,LONG,2489.95,2485.1,2024-09-04 10:00:00-04:00,2024-09-04 10:01:00-04:00,2494.71,2485.1,2513.9300000000003,2024-09-05 04:26:00-04:00,2513.9300000000003,TP,2.0
2024-09-05,LONG,2519.27,2515.57,2024-09-05 10:19:00-04:00,2024-09-05 10:20:00-04:00,2519.56,2515.57,2527.5399999999995,2024-09-05 10:39:00-04:00,2515.57,SL,-1.0
2024-09-06,LONG,2511.71,2502.17,2024-09-06 10:41:00-04:00,2024-09-06 10:42:00-04:00,2515.03,2502.17,2540.7500000000005,2024-09-06 12:02:00-04:00,2502.17,SL,-1.0
2024-09-09,LONG,2503.71,2500.04,2024-09-09 12:58:00-04:00,2024-09-09 12:59:00-04:00,2503.89,2500.04,2511.5899999999997,2024-09-09 13:54:00-04:00,2500.04,SL,-1.0
2024-09-10,LONG,2515.0,2508.3,2024-09-10 11:35:00-04:00,2024-09-10 11:36:00-04:00,2517.86,2508.3,2536.98,2024-09-11 08:36:00-04:00,2508.3,SL,-1.0
2024-09-11,LONG,2507.94,2503.04,2024-09-11 09:46:00-04:00,2024-09-11 09:47:00-04:00,2508.77,2503.04,2520.23,2024-09-11 10:05:00-04:00,2503.04,SL,-1.0
2024-09-12,LONG,2548.79,2537.27,2024-09-12 09:45:00-04:00,2024-09-12 09:46:00-04:00,2551.41,2537.27,2579.6899999999996,2024-09-13 09:19:00-04:00,2579.6899999999996,TP,2.0
2024-09-13,LONG,2583.3,2576.31,2024-09-13 12:05:00-04:00,2024-09-13 12:06:00-04:00,2583.29,2576.31,2597.25,2024-09-16 06:53:00-04:00,2576.31,SL,-1.0
2024-09-16,LONG,2586.17,2581.11,2024-09-16 09:50:00-04:00,2024-09-16 09:51:00-04:00,2586.26,2581.11,2596.5600000000004,2024-09-16 10:07:00-04:00,2581.11,SL,-1.0
2024-09-17,LONG,2577.55,2572.96,2024-09-17 09:49:00-04:00,2024-09-17 09:50:00-04:00,2577.8,2572.96,2587.4800000000005,2024-09-17 10:42:00-04:00,2572.96,SL,-1.0
2024-09-18,LONG,2578.45,2571.76,2024-09-18 14:00:00-04:00,2024-09-18 14:01:00-04:00,2579.98,2571.76,2596.4199999999996,2024-09-18 14:01:00-04:00,2571.76,SL,-1.0
2024-09-19,LONG,2581.15,2573.78,2024-09-19 10:32:00-04:00,2024-09-19 10:33:00-04:00,2581.56,2573.78,2597.1199999999994,2024-09-20 02:04:00-04:00,2597.1199999999994,TP,2.0
2024-09-20,LONG,2611.49,2604.69,2024-09-20 10:16:00-04:00,2024-09-20 10:17:00-04:00,2611.87,2604.69,2626.2299999999996,2024-09-22 23:04:00-04:00,2626.2299999999996,TP,2.0
2024-09-23,LONG,2631.67,2626.24,2024-09-23 09:50:00-04:00,2024-09-23 09:51:00-04:00,2631.81,2626.24,2642.9500000000003,2024-09-23 11:07:00-04:00,2626.24,SL,-1.0
2024-09-24,LONG,2635.89,2632.21,2024-09-24 09:55:00-04:00,2024-09-24 09:56:00-04:00,2636.23,2632.21,2644.27,2024-09-24 10:50:00-04:00,2644.27,TP,2.0
2024-09-25,LONG,2665.34,2660.0,2024-09-25 09:48:00-04:00,2024-09-25 09:49:00-04:00,2665.62,2660.0,2676.8599999999997,2024-09-25 10:46:00-04:00,2660.0,SL,-1.0
2024-09-26,LONG,2669.39,2659.92,2024-09-26 11:24:00-04:00,2024-09-26 11:25:00-04:00,2669.63,2659.92,2689.05,2024-09-27 05:17:00-04:00,2659.92,SL,-1.0
2024-09-30,LONG,2641.12,2631.8,2024-09-30 13:09:00-04:00,2024-09-30 13:10:00-04:00,2641.28,2631.8,2660.2400000000002,2024-09-30 14:11:00-04:00,2631.8,SL,-1.0
2024-10-01,LONG,2668.17,2652.36,2024-10-01 09:50:00-04:00,2024-10-01 09:51:00-04:00,2669.73,2652.36,2704.47,2024-10-02 01:28:00-04:00,2652.36,SL,-1.0
2024-10-02,LONG,2659.58,2653.34,2024-10-02 09:50:00-04:00,2024-10-02 09:51:00-04:00,2660.48,2653.34,2674.7599999999998,2024-10-02 10:30:00-04:00,2653.34,SL,-1.0
2024-10-03,LONG,2651.24,2647.44,2024-10-03 10:13:00-04:00,2024-10-03 10:14:00-04:00,2652.95,2647.44,2663.9699999999993,2024-10-03 10:18:00-04:00,2647.44,SL,-1.0
2024-10-04,LONG,2653.59,2648.49,2024-10-04 09:54:00-04:00,2024-10-04 09:55:00-04:00,2654.99,2648.49,2667.99,2024-10-04 10:22:00-04:00,2648.49,SL,-1.0
2024-10-07,LONG,2647.49,2643.86,2024-10-07 11:33:00-04:00,2024-10-07 11:34:00-04:00,2648.01,2643.86,2656.3100000000004,2024-10-07 12:16:00-04:00,2643.86,SL,-1.0
2024-10-09,LONG,2613.17,2606.73,2024-10-09 11:04:00-04:00,2024-10-09 11:05:00-04:00,2614.58,2606.73,2630.2799999999997,2024-10-09 13:07:00-04:00,2606.73,SL,-1.0
2024-10-10,LONG,2623.13,2615.91,2024-10-10 09:50:00-04:00,2024-10-10 09:51:00-04:00,2622.96,2615.91,2637.0600000000004,2024-10-10 21:57:00-04:00,2637.0600000000004,TP,2.0
2024-10-11,LONG,2653.4,2646.17,2024-10-11 10:32:00-04:00,2024-10-11 10:33:00-04:00,2653.6,2646.17,2668.4599999999996,2024-10-13 18:01:00-04:00,2646.17,SL,-1.0
2024-10-14,LONG,2659.31,2652.76,2024-10-14 09:45:00-04:00,2024-10-14 09:46:00-04:00,2659.84,2652.76,2674.0,2024-10-14 10:05:00-04:00,2652.76,SL,-1.0
2024-10-15,LONG,2652.49,2647.41,2024-10-15 10:08:00-04:00,2024-10-15 10:09:00-04:00,2653.74,2647.41,2666.3999999999996,2024-10-15 12:07:00-04:00,2666.3999999999996,TP,2.0
2024-10-17,LONG,2686.7,2681.22,2024-10-17 09:45:00-04:00,2024-10-17 09:46:00-04:00,2687.46,2681.22,2699.9400000000005,2024-10-17 21:30:00-04:00,2699.9400000000005,TP,2.0
2024-10-18,LONG,2712.78,2705.21,2024-10-18 09:45:00-04:00,2024-10-18 09:46:00-04:00,2713.81,2705.21,2731.0099999999998,2024-10-20 22:58:00-04:00,2731.0099999999998,TP,2.0
