day,direction,or_high,or_low,breakout_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple
2020-01-02,SHORT,1530.44,1526.95,2020-01-02 09:56:00-05:00,2020-01-02 09:57:00-05:00,1526.73,1530.44,1519.31,2020-01-02 10:28:00-05:00,1530.44,SL,-1.1051
2020-01-03,LONG,1547.96,1543.93,2020-01-03 10:00:00-05:00,2020-01-03 10:01:00-05:00,1548.62,1543.93,1557.9999999999995,2020-01-05 18:05:00-05:00,1557.9999999999995,TP,1.9168
2020-01-06,SHORT,1576.52,1572.77,2020-01-06 09:51:00-05:00,2020-01-06 09:52:00-05:00,1572.6,1576.52,1564.7599999999998,2020-01-06 10:36:00-05:00,1564.7599999999998,TP,1.9005
2020-01-07,LONG,1570.47,1566.58,2020-01-07 09:47:00-05:00,2020-01-07 09:48:00-05:00,1571.31,1566.58,1580.77,2020-01-07 10:00:00-05:00,1566.58,SL,-1.0825
2020-01-08,SHORT,1578.18,1571.31,2020-01-08 10:32:00-05:00,2020-01-08 10:33:00-05:00,1571.01,1578.18,1556.6699999999998,2020-01-08 11:42:00-05:00,1556.6699999999998,TP,1.9456
2020-01-09,LONG,1552.16,1548.38,2020-01-09 09:57:00-05:00,2020-01-09 09:58:00-05:00,1552.37,1548.38,1560.3499999999995,2020-01-09 10:20:00-05:00,1548.38,SL,-1.0977
2020-01-10,LONG,1554.17,1552.26,2020-01-10 10:09:00-05:00,2020-01-10 10:10:00-05:00,1554.43,1552.26,1558.7700000000002,2020-01-10 10:51:00-05:00,1558.7700000000002,TP,1.8203
2020-01-13,SHORT,1554.64,1549.73,2020-01-13 09:49:00-05:00,2020-01-13 09:50:00-05:00,1548.85,1554.64,1537.2699999999995,2020-01-13 20:14:00-05:00,1537.2699999999995,TP,1.9326
2020-01-14,LONG,1545.78,1543.88,2020-01-14 09:51:00-05:00,2020-01-14 09:52:00-05:00,1546.48,1543.88,1551.6799999999998,2020-01-14 10:18:00-05:00,1543.88,SL,-1.15
2020-01-15,SHORT,1553.15,1551.43,2020-01-15 09:49:00-05:00,2020-01-15 09:50:00-05:00,1550.19,1553.15,1544.27,2020-01-15 12:50:00-05:00,1553.15,SL,-1.1318
2020-01-16,LONG,1553.67,1550.53,2020-01-16 09:58:00-05:00,2020-01-16 09:59:00-05:00,1553.8,1550.53,1560.34,2020-01-16 10:18:00-05:00,1550.53,SL,-1.1193
2020-01-17,LONG,1558.21,1555.7,2020-01-17 09:52:00-05:00,2020-01-17 09:53:00-05:00,1558.29,1555.7,1563.4699999999998,2020-01-17 10:19:00-05:00,1555.7,SL,-1.1506
2020-01-20,SHORT,1560.29,1559.62,2020-01-20 09:47:00-05:00,2020-01-20 09:48:00-05:00,1559.49,1560.29,1557.89,2020-01-20 09:59:00-05:00,1560.29,SL,-1.4875
