day,direction,or_high,or_low,breakout_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple
2020-01-02,SHORT,1530.44,1526.95,2020-01-02 09:56:00-05:00,2020-01-02 09:57:00-05:00,1526.73,1528.6950000000002,1520.8349999999996,2020-01-02 10:15:00-05:00,1528.6950000000002,SL,-1.1985
2020-01-03,LONG,1547.96,1543.93,2020-01-03 10:00:00-05:00,2020-01-03 10:01:00-05:00,1548.62,1545.9450000000002,1556.644999999999,2020-01-05 18:05:00-05:00,1556.644999999999,TP,2.8542
2020-01-06,SHORT,1576.52,1572.77,2020-01-06 09:51:00-05:00,2020-01-06 09:52:00-05:00,1572.6,1574.645,1566.4649999999997,2020-01-06 10:29:00-05:00,1566.4649999999997,TP,2.8093
2020-01-07,LONG,1570.47,1566.58,2020-01-07 09:47:00-05:00,2020-01-07 09:48:00-05:00,1571.31,1568.525,1579.6649999999995,2020-01-07 10:00:00-05:00,1568.525,SL,-1.14
2020-01-08,SHORT,1578.18,1571.31,2020-01-08 10:32:00-05:00,2020-01-08 10:33:00-05:00,1571.01,1574.745,1559.8050000000003,2020-01-08 11:38:00-05:00,1559.8050000000003,TP,2.8956
2020-01-09,LONG,1552.16,1548.38,2020-01-09 09:57:00-05:00,2020-01-09 09:58:00-05:00,1552.37,1550.27,1558.6699999999996,2020-01-09 10:05:00-05:00,1550.27,SL,-1.1857
2020-01-10,LONG,1554.17,1552.26,2020-01-10 10:09:00-05:00,2020-01-10 10:10:00-05:00,1554.43,1553.2150000000001,1558.0749999999998,2020-01-10 10:17:00-05:00,1553.2150000000001,SL,-1.321
2020-01-13,SHORT,1554.64,1549.73,2020-01-13 09:49:00-05:00,2020-01-13 09:50:00-05:00,1548.85,1552.185,1538.8449999999998,2020-01-13 10:31:00-05:00,1552.185,SL,-1.1169
2020-01-14,LONG,1545.78,1543.88,2020-01-14 09:51:00-05:00,2020-01-14 09:52:00-05:00,1546.48,1544.83,1551.4300000000003,2020-01-14 10:02:00-05:00,1544.83,SL,-1.2364
2020-01-15,SHORT,1553.15,1551.43,2020-01-15 09:49:00-05:00,2020-01-15 09:50:00-05:00,1550.19,1552.29,1543.8900000000003,2020-01-15 12:24:00-05:00,1552.29,SL,-1.1857
2020-01-16,LONG,1553.67,1550.53,2020-01-16 09:58:00-05:00,2020-01-16 09:59:00-05:00,1553.8,1552.1,1558.9,2020-01-16 10:10:00-05:00,1552.1,SL,-1.2294
2020-01-17,LONG,1558.21,1555.7,2020-01-17 09:52:00-05:00,2020-01-17 09:53:00-05:00,1558.29,1556.955,1562.295,2020-01-17 10:08:00-05:00,1556.955,SL,-1.2921
2020-01-20,SHORT,1560.29,1559.62,2020-01-20 09:47:00-05:00,2020-01-20 09:48:00-05:00,1559.49,1559.955,1558.0950000000003,2020-01-20 09:57:00-05:00,1559.955,SL,-1.8387
2020-01-21,LONG,1550.47,1546.16,2020-01-21 09:47:00-05:00,2020-01-21 09:48:00-05:00,1550.52,1548.315,1557.1349999999998,2020-01-21 10:44:00-05:00,1557.1349999999998,TP,2.8231
2020-01-22,LONG,1558.16,1556.16,2020-01-22 09:53:00-05:00,2020-01-22 09:54:00-05:00,1558.23,1557.16,1561.4399999999998,2020-01-22 10:00:00-05:00,1557.16,SL,-1.3645
2020-01-23,LONG,1564.02,1557.02,2020-01-23 09:53:00-05:00,2020-01-23 09:54:00-05:00,1564.11,1560.52,1574.8799999999997,2020-01-23 10:08:00-05:00,1560.52,SL,-1.1086
2020-01-24,LONG,1562.96,1560.12,2020-01-24 09:45:00-05:00,2020-01-24 09:46:00-05:00,1564.86,1561.54,1574.8199999999997,2020-01-24 10:29:00-05:00,1574.8199999999997,TP,2.8825
2020-01-27,SHORT,1585.85,1580.14,2020-01-27 09:45:00-05:00,2020-01-27 09:46:00-05:00,1579.55,1582.995,1569.2150000000001,2020-01-27 10:51:00-05:00,1582.995,SL,-1.1132
2020-01-28,SHORT,1577.87,1574.18,2020-01-28 10:01:00-05:00,2020-01-28 10:02:00-05:00,1573.98,1576.025,1567.8449999999998,2020-01-28 10:36:00-05:00,1567.8449999999998,TP,2.8093
2020-01-29,LONG,1570.55,1567.66,2020-01-29 09:54:00-05:00,2020-01-29 09:55:00-05:00,1570.61,1569.105,1575.1249999999995,2020-01-29 10:53:00-05:00,1569.105,SL,-1.2591
2020-01-30,LONG,1579.22,1572.09,2020-01-30 10:15:00-05:00,2020-01-30 10:16:00-05:00,1579.27,1575.655,1590.115,2020-01-30 18:05:00-05:00,1575.655,SL,-1.1079
2020-01-31,LONG,1583.21,1580.47,2020-01-31 09:45:00-05:00,2020-01-31 09:46:00-05:00,1583.71,1581.8400000000001,1589.3199999999997,2020-01-31 10:11:00-05:00,1581.8400000000001,SL,-1.2086
2020-02-03,SHORT,1580.28,1577.22,2020-02-03 09:46:00-05:00,2020-02-03 09:47:00-05:00,1577.11,1578.75,1572.1899999999996,2020-02-03 10:00:00-05:00,1572.1899999999996,TP,2.7622
