entry_time,direction,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-01-10 05:00:00-05:00,LONG,SL,0.000237,-1.0,-1.2441,-1244.07
2020-01-10 09:45:00-05:00,LONG,SL,0.00023,-1.0,-1.1981,-1198.05
2020-01-15 04:00:00-05:00,LONG,SL,0.000241,-1.0,-1.2919,-1291.88
2020-01-15 06:15:00-05:00,LONG,SL,0.000243,-1.0,-1.3298,-1329.78
2020-01-15 06:45:00-05:00,LONG,SL,0.000238,-1.0,-1.216,-1215.99
2020-02-12 05:00:00-05:00,LONG,SL,0.000213,-1.0,-1.291,-1290.99
2020-02-18 11:45:00-05:00,LONG,SL,0.000151,-1.0,-1.2595,-1259.49
2020-02-19 04:45:00-05:00,SHORT,TP,0.000166,2.21,2.1084,2108.38
2020-02-20 04:30:00-05:00,SHORT,TP,0.000177,3.17,3.0362,3036.16
2020-04-03 09:30:00-04:00,SHORT,TP,6.1e-05,2.459,2.4373,2437.3
2020-04-09 03:15:00-04:00,LONG,SL,8.5e-05,-1.0,-1.105,-1105.04
2020-05-14 02:30:00-04:00,SHORT,SL,0.000133,-1.0,-1.1116,-1111.56
2020-05-14 04:30:00-04:00,SHORT,SL,0.000135,-1.0,-1.1322,-1132.17
2020-05-22 07:00:00-04:00,SHORT,SL,0.000133,-1.0,-1.103,-1102.96
2020-07-03 04:15:00-04:00,SHORT,SL,0.000184,-1.0,-1.2856,-1285.56
2020-07-08 21:15:00-04:00,LONG,SL,0.00021,-1.0,-1.3425,-1342.53
2020-08-03 03:15:00-04:00,SHORT,SL,0.000169,-1.0,-1.1415,-1141.48
2020-08-17 03:15:00-04:00,LONG,SL,0.000158,-1.0,-1.1646,-1164.6
2020-08-17 04:15:00-04:00,SHORT,SL,0.000158,-1.0,-1.1791,-1179.1
2020-08-20 09:45:00-04:00,SHORT,SL,0.000154,-1.0,-1.1604,-1160.37
2020-09-01 12:00:00-04:00,LONG,SL,0.000156,-1.0,-1.1445,-1144.48
2020-10-20 04:15:00-04:00,SHORT,SL,0.00017,-1.0,-1.1822,-1182.18
2020-10-25 22:00:00-04:00,SHORT,TP,0.000191,2.666,2.3271,2327.13
2020-10-26 03:45:00-04:00,SHORT,SL,0.000156,-1.0,-1.1432,-1143.22
2020-11-09 02:15:00-05:00,LONG,SL,0.000154,-1.0,-1.1739,-1173.95
2020-11-19 04:30:00-05:00,SHORT,SL,0.000152,-1.0,-1.1755,-1175.5
2020-11-30 02:30:00-05:00,LONG,SL,0.000138,-1.0,-1.2814,-1281.44
2020-12-01 12:15:00-05:00,LONG,SL,0.000111,-1.0,-1.0733,-1073.27
2020-12-04 04:00:00-05:00,SHORT,SL,0.000115,-1.0,-1.0792,-1079.16
2020-12-04 05:30:00-05:00,LONG,TP,0.000117,2.742,2.6746,2674.65
2020-12-08 11:15:00-05:00,LONG,SL,0.000114,-1.0,-1.0866,-1086.62
2021-01-13 05:30:00-05:00,LONG,SL,0.000133,-1.0,-1.1252,-1125.16
2021-02-01 04:00:00-05:00,LONG,SL,0.000155,-1.0,-1.1008,-1100.84
2021-03-17 05:00:00-04:00,SHORT,SL,0.0002,-1.0,-1.2282,-1228.2
2021-04-16 03:30:00-04:00,SHORT,SL,0.000232,-1.0,-1.1439,-1143.91
2021-05-05 03:30:00-04:00,LONG,SL,0.000221,-1.0,-1.2933,-1293.34
2021-05-25 04:30:00-04:00,LONG,SL,0.000212,-1.0,-1.1847,-1184.68
2021-06-07 20:45:00-04:00,LONG,SL,0.00022,-1.0,-1.4113,-1411.25
2021-07-13 03:00:00-04:00,LONG,SL,0.000221,-1.0,-1.1992,-1199.25
2021-08-06 04:00:00-04:00,LONG,SL,0.000205,-1.0,-1.232,-1232.03
2021-08-09 04:30:00-04:00,SHORT,SL,0.000221,-1.0,-1.3933,-1393.29
2021-08-17 18:00:00-04:00,SHORT,SL,0.000302,-1.0,-1.5053,-1505.33
2021-08-25 03:45:00-04:00,SHORT,SL,0.000207,-1.0,-1.252,-1251.99
2021-09-03 05:00:00-04:00,LONG,SL,0.000249,-1.0,-1.4939,-1493.9
2021-10-22 05:30:00-04:00,LONG,SL,0.000174,-1.0,-1.2483,-1248.26
2021-11-02 03:15:00-04:00,SHORT,SL,0.000211,-1.0,-1.2045,-1204.49
2021-11-02 06:00:00-04:00,SHORT,SL,0.000177,-1.0,-1.2301,-1230.13
2021-11-04 04:15:00-04:00,LONG,SL,0.000208,-1.0,-1.2707,-1270.73
2021-11-16 09:15:00-05:00,LONG,SL,0.000159,-1.0,-1.1212,-1121.23
2021-12-06 04:15:00-05:00,LONG,SL,0.000174,-1.0,-1.221,-1220.95
2021-12-15 16:15:00-05:00,LONG,SL,0.00018,-1.0,-1.4065,-1406.54
2021-12-22 02:00:00-05:00,LONG,TP,0.000194,3.741,3.4472,3447.2
2021-12-31 10:00:00-05:00,LONG,TP,0.000197,2.769,2.5724,2572.44
2022-02-09 04:15:00-05:00,LONG,TP,0.000204,3.527,3.1338,3133.79
2022-02-09 18:00:00-05:00,SHORT,SL,0.000295,-1.0,-1.6323,-1632.34
2022-03-01 06:30:00-05:00,LONG,SL,0.000206,-1.0,-1.239,-1239.01
2022-04-07 04:15:00-04:00,LONG,SL,0.000207,-1.0,-1.348,-1347.98
2022-04-20 03:30:00-04:00,LONG,SL,0.000207,-1.0,-1.3418,-1341.84
2022-07-07 05:00:00-04:00,LONG,SL,0.000165,-1.0,-1.1045,-1104.49
2022-08-17 05:00:00-04:00,LONG,SL,0.000162,-1.0,-1.1254,-1125.37
2022-09-29 19:00:00-04:00,LONG,SL,0.000411,-1.0,-1.1855,-1185.53
2022-10-12 04:30:00-04:00,SHORT,SL,0.000103,-1.0,-1.0368,-1036.82
2022-10-20 21:15:00-04:00,SHORT,SL,0.000191,-1.0,-1.2225,-1222.49
2022-11-29 05:30:00-05:00,SHORT,SL,0.00018,-1.0,-1.1441,-1144.1
2023-01-11 04:30:00-05:00,SHORT,TP,0.00017,2.018,1.9059,1905.88
2023-01-11 10:30:00-05:00,LONG,SL,0.00017,-1.0,-1.188,-1188.0
2023-01-25 03:15:00-05:00,SHORT,SL,0.000169,-1.0,-1.1986,-1198.56
2023-01-25 03:30:00-05:00,SHORT,SL,0.000169,-1.0,-1.1918,-1191.85
2023-02-03 09:45:00-05:00,SHORT,TP,0.000161,2.379,2.2929,2292.93
2023-03-07 03:15:00-05:00,LONG,SL,0.000169,-1.0,-1.125,-1125.0
2023-03-23 09:30:00-04:00,SHORT,SL,0.000169,-1.0,-1.1179,-1117.9
2023-05-16 05:15:00-04:00,LONG,SL,0.000168,-1.0,-1.2442,-1244.19
2023-05-26 03:00:00-04:00,LONG,TP,0.000167,3.284,3.109,3109.02
2023-06-09 03:15:00-04:00,LONG,SL,0.000168,-1.0,-1.2127,-1212.74
2023-06-16 03:15:00-04:00,LONG,SL,0.000167,-1.0,-1.2371,-1237.14
2023-06-30 02:45:00-04:00,LONG,SL,0.00017,-1.0,-1.313,-1312.98
2023-06-30 04:30:00-04:00,LONG,SL,0.00017,-1.0,-1.1924,-1192.43
2023-08-01 03:30:00-04:00,SHORT,TP,0.00015,6.398,6.2229,6222.86
2023-08-14 09:00:00-04:00,SHORT,TP,0.00015,3.018,2.8787,2878.72
2023-08-17 05:15:00-04:00,SHORT,SL,0.00015,-1.0,-1.1732,-1173.23
2023-10-03 04:30:00-04:00,SHORT,TP,0.00015,4.171,3.9331,3933.09
2023-10-05 09:30:00-04:00,SHORT,SL,0.00015,-1.0,-1.1082,-1108.18
2023-10-11 10:30:00-04:00,LONG,SL,0.00015,-1.0,-1.1545,-1154.49
2023-10-12 04:15:00-04:00,SHORT,SL,0.00015,-1.0,-1.1777,-1177.67
2023-11-26 21:30:00-05:00,LONG,TP,0.000169,2.69,2.3692,2369.22
2023-12-27 04:30:00-05:00,SHORT,SL,0.00015,-1.0,-1.1366,-1136.64
2024-01-24 10:00:00-05:00,LONG,SL,0.00015,-1.0,-1.1222,-1122.18
2024-01-31 15:30:00-05:00,LONG,SL,0.00017,-1.0,-1.1349,-1134.92
2024-02-04 18:45:00-05:00,SHORT,SL,0.000188,-1.0,-1.3182,-1318.22
2024-03-29 04:15:00-04:00,SHORT,SL,0.000141,-1.0,-2.0952,-2095.18
2024-04-10 03:15:00-04:00,LONG,SL,0.00014,-1.0,-1.1765,-1176.49
2024-04-16 03:00:00-04:00,SHORT,SL,0.00012,-1.0,-1.1048,-1104.76
2024-05-09 09:30:00-04:00,LONG,TP,0.00012,6.823,6.6941,6694.06
