entry_time,direction,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-10-30 11:00:00-04:00,SHORT,SL,3.0,-1.0,-1.0411,-1041.15
2020-10-30 12:00:00-04:00,SHORT,SL,3.0,-1.0,-1.0348,-1034.78
2020-12-14 13:00:00-05:00,LONG,SL,3.0,-1.0,-1.0545,-1054.47
2021-01-05 12:00:00-05:00,LONG,SL,3.0,-1.0,-1.0888,-1088.81
2021-01-25 14:00:00-05:00,LONG,SL,3.0,-1.0,-1.0732,-1073.18
2021-03-02 11:00:00-05:00,SHORT,SL,3.0,-1.0,-1.069,-1069.02
2021-03-10 00:15:00-05:00,LONG,SL,3.0,-1.0,-1.2519,-1251.87
2021-03-19 03:00:00-04:00,SHORT,SL,3.0,-1.0,-1.1702,-1170.19
2021-04-01 23:45:00-04:00,LONG,SL,3.0,-1.0,-1.8676,-1867.61
2021-05-03 10:15:00-04:00,SHORT,TP,3.0,3.121,3.0035,3003.53
2021-05-21 10:45:00-04:00,LONG,SL,3.0,-1.0,-1.0941,-1094.06
2021-06-08 10:00:00-04:00,LONG,SL,3.0,-1.0,-1.098,-1098.01
2021-06-08 10:30:00-04:00,LONG,SL,3.0,-1.0,-1.1175,-1117.47
2021-06-14 03:45:00-04:00,LONG,SL,3.0,-1.0,-1.5625,-1562.46
2021-06-14 04:15:00-04:00,LONG,SL,3.0,-1.0,-1.273,-1273.0
2021-06-16 15:30:00-04:00,SHORT,SL,3.0,-1.0,-1.0871,-1087.13
2021-08-25 09:15:00-04:00,LONG,TP,3.0,4.144,3.6149,3614.95
2021-10-06 10:30:00-04:00,SHORT,SL,3.0,-1.0,-1.0667,-1066.73
2021-10-14 02:00:00-04:00,LONG,TP,3.0,3.426,3.2237,3223.7
2021-10-21 03:30:00-04:00,SHORT,SL,3.0,-1.0,-1.243,-1243.01
2021-11-24 10:30:00-05:00,SHORT,SL,3.0,-1.0,-1.0636,-1063.56
2021-11-28 19:15:00-05:00,SHORT,SL,3.0,-1.0,-1.0726,-1072.56
2021-12-02 10:15:00-05:00,LONG,SL,3.0,-1.0,-1.0376,-1037.61
2021-12-30 11:15:00-05:00,LONG,SL,3.0,-1.0,-1.141,-1141.02
2022-01-03 09:15:00-05:00,SHORT,SL,3.0,-1.0,-1.1728,-1172.8
2022-01-03 11:15:00-05:00,LONG,SL,3.0,-1.0,-1.0991,-1099.06
2022-01-07 09:45:00-05:00,SHORT,TP,3.0,3.973,3.902,3901.98
2022-01-26 18:30:00-05:00,SHORT,SL,3.0,-1.0,-1.1029,-1102.86
2022-04-21 10:15:00-04:00,LONG,SL,3.0,-1.0,-1.0495,-1049.49
2022-04-22 10:30:00-04:00,SHORT,TP,3.0,2.584,2.5335,2533.46
2022-04-27 11:00:00-04:00,SHORT,SL,3.0,-1.0,-1.0381,-1038.06
2022-04-29 10:45:00-04:00,LONG,SL,3.0,-1.0,-1.0578,-1057.82
2022-05-06 10:15:00-04:00,SHORT,SL,3.0,-1.0,-1.0222,-1022.18
2022-06-01 10:45:00-04:00,LONG,SL,3.0,-1.0,-1.0558,-1055.77
2022-07-19 04:15:00-04:00,SHORT,SL,3.0,-1.0,-1.2602,-1260.2
2022-08-11 11:15:00-04:00,LONG,SL,3.0,-1.0,-1.0654,-1065.37
2022-08-16 15:45:00-04:00,SHORT,TP,3.0,4.758,4.6558,4655.75
2022-08-18 10:45:00-04:00,SHORT,SL,3.0,-1.0,-1.1053,-1105.31
2022-08-24 04:30:00-04:00,SHORT,SL,3.0,-1.0,-1.1265,-1126.53
2022-08-26 09:45:00-04:00,LONG,SL,3.0,-1.0,-1.0546,-1054.62
2022-09-09 10:15:00-04:00,LONG,TP,3.0,2.801,2.7309,2730.91
2022-09-16 10:30:00-04:00,SHORT,SL,3.0,-1.0,-1.0515,-1051.51
2022-10-10 14:15:00-04:00,LONG,SL,3.0,-1.0,-1.0805,-1080.49
2022-10-14 07:00:00-04:00,LONG,SL,3.0,-1.0,-1.0948,-1094.78
2022-10-20 09:15:00-04:00,SHORT,SL,3.0,-1.0,-1.1227,-1122.68
2023-01-06 10:15:00-05:00,SHORT,SL,3.0,-1.0,-1.0514,-1051.36
2023-01-12 09:15:00-05:00,LONG,SL,3.0,-1.0,-1.0453,-1045.34
2023-01-12 09:45:00-05:00,LONG,TP,3.0,6.2,6.1445,6144.49
2023-01-24 09:45:00-05:00,SHORT,SL,3.0,-1.0,-1.0426,-1042.59
2023-02-07 13:45:00-05:00,LONG,SL,3.0,-1.0,-1.0508,-1050.82
2023-02-14 10:45:00-05:00,LONG,TP,3.0,2.587,2.5471,2547.09
2023-02-22 11:15:00-05:00,SHORT,SL,3.0,-1.0,-1.1217,-1121.66
2023-03-28 11:30:00-04:00,SHORT,SL,3.0,-1.0,-1.1407,-1140.68
2023-04-14 04:30:00-04:00,LONG,SL,3.0,-1.0,-1.4525,-1452.47
2023-04-14 10:45:00-04:00,LONG,SL,3.0,-1.0,-1.1084,-1108.37
2023-04-28 02:30:00-04:00,LONG,SL,3.0,-1.0,-1.2182,-1218.18
2023-04-28 11:00:00-04:00,LONG,TP,3.0,3.519,3.4025,3402.47
2023-05-08 03:45:00-04:00,LONG,SL,3.0,-1.0,-1.4742,-1474.22
2023-05-08 04:15:00-04:00,LONG,SL,3.0,-1.0,-1.3525,-1352.49
2023-06-02 10:15:00-04:00,LONG,TP,3.0,3.231,3.1639,3163.88
2023-07-10 02:45:00-04:00,SHORT,SL,3.0,-1.0,-1.338,-1337.99
2023-07-10 10:45:00-04:00,SHORT,SL,3.0,-1.0,-1.1147,-1114.75
2023-07-20 10:45:00-04:00,SHORT,SL,3.0,-1.0,-1.1594,-1159.35
2023-07-25 10:30:00-04:00,LONG,SL,3.0,-1.0,-1.1391,-1139.08
2023-08-04 09:15:00-04:00,LONG,TP,3.0,2.527,2.3647,2364.66
2023-08-30 11:00:00-04:00,LONG,TP,3.0,2.693,2.612,2611.97
2023-08-31 10:15:00-04:00,LONG,SL,3.0,-1.0,-1.1026,-1102.59
2023-09-04 11:45:00-04:00,SHORT,SL,3.0,-1.0,-1.4153,-1415.28
2023-09-04 21:00:00-04:00,SHORT,SL,3.0,-1.0,-1.4539,-1453.94
2023-09-21 05:00:00-04:00,SHORT,TP,3.0,11.723,11.5233,11523.29
2023-10-09 09:15:00-04:00,SHORT,SL,3.0,-1.0,-1.1227,-1122.72
2023-10-17 04:00:00-04:00,LONG,SL,3.0,-1.0,-1.2191,-1219.09
2023-11-01 09:00:00-04:00,LONG,TP,3.0,3.924,3.8509,3850.89
2023-11-09 10:30:00-05:00,LONG,SL,3.0,-1.0,-1.0894,-1089.38
2023-11-16 09:30:00-05:00,LONG,SL,3.0,-1.0,-1.099,-1099.04
2023-11-29 10:15:00-05:00,LONG,SL,3.0,-1.0,-1.1132,-1113.2
2024-01-08 05:30:00-05:00,SHORT,SL,3.0,-1.0,-1.1984,-1198.43
2024-01-30 04:30:00-05:00,LONG,SL,3.0,-1.0,-1.2624,-1262.42
2024-02-06 10:30:00-05:00,SHORT,SL,3.0,-1.0,-1.1068,-1106.81
2024-03-12 11:00:00-04:00,LONG,SL,3.0,-1.0,-1.0857,-1085.66
2024-03-27 10:15:00-04:00,SHORT,SL,3.0,-1.0,-1.1177,-1117.74
2024-03-27 10:30:00-04:00,SHORT,SL,3.0,-1.0,-1.1115,-1111.52
2024-03-28 04:15:00-04:00,LONG,SL,3.0,-1.0,-1.331,-1331.03
2024-04-09 11:00:00-04:00,SHORT,SL,3.0,-1.0,-1.0869,-1086.89
2024-04-09 11:15:00-04:00,SHORT,SL,3.0,-1.0,-1.0806,-1080.57
2024-04-09 11:45:00-04:00,SHORT,SL,3.0,-1.0,-1.1505,-1150.54
2024-05-06 04:30:00-04:00,SHORT,SL,3.0,-1.0,-1.3285,-1328.49
2024-05-08 11:15:00-04:00,LONG,SL,3.0,-1.0,-1.16,-1160.02
2024-06-07 09:45:00-04:00,SHORT,SL,3.0,-1.0,-1.0825,-1082.51
2024-07-11 09:45:00-04:00,LONG,SL,3.0,-1.0,-1.0595,-1059.52
