entry_time,direction,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-01-08 06:15:00-05:00,LONG,TP,0.021,2.38,2.1113,2111.31
2020-01-16 04:15:00-05:00,LONG,SL,0.0208,-1.0,-1.6817,-1681.67
2020-01-29 12:00:00-05:00,LONG,TP,0.022,2.249,1.5711,1571.1
2020-01-30 11:45:00-05:00,SHORT,TP,0.0212,2.044,1.7132,1713.19
2020-02-07 02:30:00-05:00,LONG,SL,0.021,-1.0,-1.7163,-1716.3
2020-02-13 11:00:00-05:00,SHORT,SL,0.021067,-1.0,-1.4589,-1458.92
2020-05-01 10:30:00-04:00,SHORT,SL,0.017133,-1.0,-1.1645,-1164.55
2020-06-30 11:30:00-04:00,LONG,SL,0.021533,-1.0,-1.3601,-1360.06
2020-07-28 21:15:00-04:00,SHORT,TP,0.02,2.405,2.1737,2173.74
2020-08-05 09:15:00-04:00,SHORT,SL,0.0198,-1.0,-1.2386,-1238.57
2020-08-09 18:30:00-04:00,LONG,SL,0.024667,-1.0,-2.0589,-2058.85
2020-08-26 10:30:00-04:00,SHORT,TP,0.0196,2.907,2.6879,2687.87
2020-09-09 03:30:00-04:00,SHORT,SL,0.0198,-1.0,-1.5251,-1525.14
2020-09-30 12:00:00-04:00,SHORT,SL,0.019533,-1.0,-1.3304,-1330.37
2020-11-17 09:15:00-05:00,SHORT,SL,0.0192,-1.0,-1.3361,-1336.08
2021-01-18 17:45:00-05:00,SHORT,SL,0.034467,-1.0,-2.3105,-2310.52
2021-02-19 08:45:00-05:00,SHORT,SL,0.019,-1.0,-1.2619,-1261.89
2021-03-14 23:30:00-04:00,LONG,TP,0.021,2.213,1.4979,1497.89
2021-04-01 21:00:00-04:00,SHORT,TP,0.022533,4.263,3.8012,3801.19
2021-04-15 04:15:00-04:00,SHORT,TP,0.025,2.63,2.0582,2058.2
2021-05-02 20:15:00-04:00,LONG,SL,0.0254,-1.0,-1.5851,-1585.12
2021-06-09 11:00:00-04:00,LONG,SL,0.022,-1.0,-1.4551,-1455.07
2021-06-15 18:15:00-04:00,SHORT,SL,0.024933,-1.0,-2.6175,-2617.48
2021-06-30 05:30:00-04:00,SHORT,SL,0.022133,-1.0,-1.6781,-1678.05
2021-07-09 10:45:00-04:00,LONG,SL,0.0222,-1.0,-1.267,-1266.96
2021-07-12 04:45:00-04:00,SHORT,SL,0.022267,-1.0,-1.3901,-1390.15
2021-08-27 10:15:00-04:00,LONG,SL,0.022067,-1.0,-1.1692,-1169.25
2021-10-27 10:15:00-04:00,SHORT,SL,0.023267,-1.0,-1.1733,-1173.35
2022-02-21 19:45:00-05:00,SHORT,SL,0.020867,-1.0,-1.2715,-1271.47
2022-03-23 22:15:00-04:00,LONG,TP,0.0212,2.014,1.7742,1774.16
