entry_time,direction,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-01-15 09:30:00-05:00,LONG,SL,0.381333,-1.0,-1.2369,-1236.94
2020-01-15 10:00:00-05:00,LONG,TP,0.394,4.593,4.3474,4347.44
2020-01-30 11:15:00-05:00,LONG,SL,0.405333,-1.0,-1.2604,-1260.38
2020-01-30 11:45:00-05:00,LONG,SL,0.406,-1.0,-1.1874,-1187.37
2020-03-23 22:00:00-04:00,LONG,SL,0.754,-1.0,-1.1419,-1141.85
2020-06-09 02:30:00-04:00,LONG,TP,0.223333,2.648,2.585,2585.02
2020-07-14 10:00:00-04:00,SHORT,SL,0.283333,-1.0,-1.1046,-1104.57
2020-09-25 11:00:00-04:00,SHORT,SL,0.346667,-1.0,-1.1243,-1124.28
2020-09-30 09:45:00-04:00,LONG,TP,0.334667,4.249,4.1757,4175.7
2020-10-08 14:15:00-04:00,LONG,TP,0.498667,8.624,8.1856,8185.63
2020-10-13 22:15:00-04:00,SHORT,SL,0.409333,-1.0,-1.2747,-1274.74
2020-10-19 09:15:00-04:00,LONG,SL,0.47,-1.0,-1.2116,-1211.61
2020-11-17 04:45:00-05:00,LONG,SL,0.44,-1.0,-1.1815,-1181.54
2020-11-29 23:00:00-05:00,SHORT,SL,0.448,-1.0,-1.2929,-1292.91
2020-12-23 10:15:00-05:00,LONG,SL,0.387333,-1.0,-1.1205,-1120.53
2021-01-07 10:15:00-05:00,SHORT,SL,0.368,-1.0,-1.0687,-1068.67
2021-04-21 22:45:00-04:00,LONG,SL,0.414,-1.0,-1.3791,-1379.1
2021-04-29 09:30:00-04:00,LONG,SL,0.415333,-1.0,-1.0997,-1099.73
2021-05-12 09:45:00-04:00,LONG,SL,0.43,-1.0,-1.1322,-1132.19
2021-05-28 08:45:00-04:00,SHORT,SL,0.416,-1.0,-1.1157,-1115.66
2021-06-10 02:15:00-04:00,SHORT,TP,0.287333,4.395,4.1662,4166.24
2021-07-02 07:30:00-04:00,LONG,SL,0.366,-1.0,-1.2454,-1245.36
2021-07-13 09:30:00-04:00,SHORT,SL,0.266,-1.0,-1.0686,-1068.56
2021-07-30 09:15:00-04:00,SHORT,SL,0.306667,-1.0,-1.1305,-1130.46
2021-08-31 10:00:00-04:00,SHORT,SL,0.213333,-1.0,-1.0393,-1039.27
2021-09-22 15:15:00-04:00,SHORT,SL,0.328667,-1.0,-1.0679,-1067.9
2021-10-20 09:30:00-04:00,LONG,TP,0.214,2.879,2.8412,2841.22
2021-11-18 03:45:00-05:00,LONG,SL,0.304667,-1.0,-1.2127,-1212.66
2022-01-10 06:00:00-05:00,LONG,SL,0.264667,-1.0,-1.2034,-1203.42
2022-01-14 09:30:00-05:00,LONG,SL,0.290667,-1.0,-1.0895,-1089.49
2022-02-23 09:00:00-05:00,SHORT,SL,0.328,-1.0,-1.175,-1175.02
2022-04-27 10:15:00-04:00,SHORT,SL,0.3,-1.0,-1.1262,-1126.23
2022-04-27 10:45:00-04:00,SHORT,SL,0.283333,-1.0,-1.1006,-1100.58
2022-05-04 03:15:00-04:00,LONG,SL,0.285333,-1.0,-1.1105,-1110.51
2022-05-31 06:00:00-04:00,SHORT,TP,0.219333,3.186,3.018,3018.04
2022-06-06 08:30:00-04:00,LONG,SL,0.266,-1.0,-1.1008,-1100.76
2022-06-07 10:00:00-04:00,LONG,SL,0.26,-1.0,-1.0979,-1097.86
2022-06-09 08:30:00-04:00,SHORT,TP,0.272,2.488,2.3978,2397.76
2022-06-16 09:15:00-04:00,LONG,SL,0.250667,-1.0,-1.0736,-1073.58
2022-07-13 09:45:00-04:00,SHORT,SL,0.297333,-1.0,-1.0461,-1046.05
2022-07-15 00:15:00-04:00,SHORT,SL,0.326667,-1.0,-1.0697,-1069.71
2022-07-21 03:30:00-04:00,SHORT,TP,0.332667,2.809,2.7001,2700.08
2022-08-03 06:30:00-04:00,SHORT,SL,0.261333,-1.0,-1.1274,-1127.41
2022-08-10 09:30:00-04:00,LONG,SL,0.37,-1.0,-1.0986,-1098.57
2022-09-05 21:45:00-04:00,LONG,SL,0.37,-1.0,-1.2161,-1216.13
2022-09-28 04:00:00-04:00,SHORT,SL,0.37,-1.0,-1.1834,-1183.35
2022-09-28 04:15:00-04:00,SHORT,SL,0.37,-1.0,-1.0856,-1085.56
2022-10-10 22:30:00-04:00,SHORT,SL,0.34,-1.0,-1.1912,-1191.22
2022-10-10 22:45:00-04:00,SHORT,SL,0.34,-1.0,-1.1463,-1146.3
2022-10-13 08:45:00-04:00,LONG,SL,0.34,-1.0,-1.0314,-1031.45
2022-10-20 09:45:00-04:00,SHORT,SL,0.34,-1.0,-1.1484,-1148.42
2022-12-20 10:45:00-05:00,LONG,SL,0.356,-1.0,-1.2023,-1202.33
2022-12-29 10:30:00-05:00,LONG,SL,0.370667,-1.0,-1.1718,-1171.8
2023-02-23 09:15:00-05:00,SHORT,TP,0.375333,3.312,3.2125,3212.48
2023-03-21 11:15:00-04:00,SHORT,SL,0.34,-1.0,-1.0937,-1093.67
2023-04-05 03:15:00-04:00,LONG,SL,0.39,-1.0,-1.1191,-1119.07
2023-04-12 09:45:00-04:00,LONG,TP,0.336667,2.889,2.8416,2841.65
2023-04-24 11:30:00-04:00,LONG,TP,0.335333,8.504,8.3168,8316.75
2023-05-19 12:00:00-04:00,LONG,SL,0.386667,-1.0,-1.1659,-1165.87
2023-05-22 08:30:00-04:00,SHORT,TP,0.384667,5.107,4.9991,4999.06
2023-06-20 01:45:00-04:00,SHORT,SL,0.392667,-1.0,-1.437,-1437.02
2023-06-21 10:45:00-04:00,SHORT,SL,0.336,-1.0,-1.1039,-1103.89
