Trial,min_risk_reward_ratio,net_profit,win_rate,total_trades,profit_factor,max_drawdown
1,1.0,0,0.0,0,1.0,0.0
2,1.01,0,0.0,0,1.0,0.0
3,1.02,0,0.0,0,1.0,0.0
4,1.03,0,0.0,0,1.0,0.0
5,1.04,0,0.0,0,1.0,0.0
6,1.05,0,0.0,0,1.0,0.0
7,1.06,0,0.0,0,1.0,0.0
8,1.07,0,0.0,0,1.0,0.0
9,1.08,0,0.0,0,1.0,0.0
10,1.09,0,0.0,0,1.0,0.0
11,1.1,0,0.0,0,1.0,0.0
12,1.11,0,0.0,0,1.0,0.0
13,1.12,0,0.0,0,1.0,0.0
14,1.13,0,0.0,0,1.0,0.0
15,1.1400000000000001,0,0.0,0,1.0,0.0
16,1.15,0,0.0,0,1.0,0.0
17,1.16,0,0.0,0,1.0,0.0
18,1.17,0,0.0,0,1.0,0.0
19,1.18,0,0.0,0,1.0,0.0
20,1.19,0,0.0,0,1.0,0.0
21,1.2,0,0.0,0,1.0,0.0
22,1.21,0,0.0,0,1.0,0.0
23,1.22,0,0.0,0,1.0,0.0
24,1.23,0,0.0,0,1.0,0.0
25,1.24,0,0.0,0,1.0,0.0
26,1.25,0,0.0,0,1.0,0.0
27,1.26,0,0.0,0,1.0,0.0
28,1.27,0,0.0,0,1.0,0.0
29,1.28,0,0.0,0,1.0,0.0
30,1.29,0,0.0,0,1.0,0.0
31,1.3,0,0.0,0,1.0,0.0
32,1.31,0,0.0,0,1.0,0.0
33,1.32,0,0.0,0,1.0,0.0
34,1.33,0,0.0,0,1.0,0.0
35,1.34,0,0.0,0,1.0,0.0
36,1.35,0,0.0,0,1.0,0.0
37,1.3599999999999999,0,0.0,0,1.0,0.0
38,1.37,0,0.0,0,1.0,0.0
39,1.38,0,0.0,0,1.0,0.0
40,1.3900000000000001,0,0.0,0,1.0,0.0
41,1.4,0,0.0,0,1.0,0.0
42,1.4100000000000001,0,0.0,0,1.0,0.0
43,1.42,0,0.0,0,1.0,0.0
44,1.43,0,0.0,0,1.0,0.0
45,1.44,0,0.0,0,1.0,0.0
46,1.45,0,0.0,0,1.0,0.0
47,1.46,0,0.0,0,1.0,0.0
48,1.47,0,0.0,0,1.0,0.0
49,1.48,0,0.0,0,1.0,0.0
50,1.49,0,0.0,0,1.0,0.0
51,1.5,0,0.0,0,1.0,0.0
52,1.51,0,0.0,0,1.0,0.0
53,1.52,0,0.0,0,1.0,0.0
54,1.53,0,0.0,0,1.0,0.0
55,1.54,0,0.0,0,1.0,0.0
56,1.55,0,0.0,0,1.0,0.0
57,1.56,0,0.0,0,1.0,0.0
58,1.57,0,0.0,0,1.0,0.0
59,1.58,0,0.0,0,1.0,0.0
60,1.5899999999999999,0,0.0,0,1.0,0.0
61,1.6,0,0.0,0,1.0,0.0
62,1.6099999999999999,0,0.0,0,1.0,0.0
63,1.62,0,0.0,0,1.0,0.0
64,1.63,0,0.0,0,1.0,0.0
65,1.6400000000000001,0,0.0,0,1.0,0.0
66,1.65,0,0.0,0,1.0,0.0
67,1.6600000000000001,0,0.0,0,1.0,0.0
68,1.67,0,0.0,0,1.0,0.0
69,1.6800000000000002,0,0.0,0,1.0,0.0
70,1.69,0,0.0,0,1.0,0.0
71,1.7000000000000002,0,0.0,0,1.0,0.0
72,1.71,0,0.0,0,1.0,0.0
73,1.72,0,0.0,0,1.0,0.0
74,1.73,0,0.0,0,1.0,0.0
75,1.74,0,0.0,0,1.0,0.0
76,1.75,0,0.0,0,1.0,0.0
77,1.76,0,0.0,0,1.0,0.0
78,1.77,0,0.0,0,1.0,0.0
79,1.78,0,0.0,0,1.0,0.0
80,1.79,0,0.0,0,1.0,0.0
81,1.8,0,0.0,0,1.0,0.0
82,1.81,0,0.0,0,1.0,0.0
83,1.82,0,0.0,0,1.0,0.0
84,1.83,0,0.0,0,1.0,0.0
85,1.8399999999999999,0,0.0,0,1.0,0.0
86,1.85,0,0.0,0,1.0,0.0
87,1.8599999999999999,0,0.0,0,1.0,0.0
88,1.87,0,0.0,0,1.0,0.0
89,1.88,0,0.0,0,1.0,0.0
90,1.8900000000000001,0,0.0,0,1.0,0.0
91,1.9,0,0.0,0,1.0,0.0
92,1.9100000000000001,0,0.0,0,1.0,0.0
93,1.92,0,0.0,0,1.0,0.0
94,1.9300000000000002,0,0.0,0,1.0,0.0
95,1.94,0,0.0,0,1.0,0.0
96,1.9500000000000002,0,0.0,0,1.0,0.0
97,1.96,0,0.0,0,1.0,0.0
98,1.97,0,0.0,0,1.0,0.0
99,1.98,0,0.0,0,1.0,0.0
100,1.99,0,0.0,0,1.0,0.0
101,2.0,0,0.0,0,1.0,0.0
