task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250919_173000,BUY,2025-09-19 17:30:00+00:00,2025-09-19 17:32:00+00:00,2025-09-22 12:37:00+00:00,46284.65,46102.95,47031.65,46102.95,SL,0.13,-272.4794150000057,-36.26941500000001,-0.0,236.2100000000057,-1.1535473307649935,49727.52058499999,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250919_173000_sar,SELL,2025-09-22 12:37:00+00:00,2025-09-22 12:37:00+00:00,2025-09-22 14:45:00+00:00,46102.95,46284.65,46012.09999999999,46284.65,SL,0.13,-236.2100000000057,0.0,-0.0,236.2100000000057,-1.0,49491.310584999985,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250925_143900,BUY,2025-09-25 14:39:00+00:00,2025-09-25 14:40:00+00:00,2025-09-25 17:57:00+00:00,46110.049999999996,45882.95,47017.95,45882.95,SL,0.1,-227.09999999999854,0.0,-0.0,227.09999999999854,-1.0,49264.210584999986,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250925_143900_sar,SELL,2025-09-25 17:57:00+00:00,2025-09-25 17:57:00+00:00,2025-09-26 12:28:00+00:00,45882.95,46110.049999999996,45769.399999999994,46110.049999999996,SL,0.1,-225.88433333299855,1.215666667,-0.0,227.09999999999854,-0.9946469983839719,49038.326251666986,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250930_194900,BUY,2025-09-30 19:49:00+00:00,2025-09-30 19:50:00+00:00,2025-10-01 01:52:00+00:00,46382.549999999996,46249.45,46919.45,46249.45,SL,0.18,-256.3197299999974,-16.73973,-0.0,239.57999999999737,-1.0698711495116462,48782.00652166699,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250930_194900_sar,SELL,2025-10-01 01:52:00+00:00,2025-10-01 01:52:00+00:00,2025-10-01 05:59:00+00:00,46249.45,46382.549999999996,46182.899999999994,46182.899999999994,TP,0.18,119.79000000000522,0.0,-0.0,239.57999999999737,0.5000000000000273,48901.796521667,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251001_152200,BUY,2025-10-01 15:22:00+00:00,2025-10-01 15:24:00+00:00,2025-10-09 18:50:00+00:00,46457.549999999996,46271.95,47146.95,46271.95,SL,0.13,-337.99843999999814,-96.71844000000002,-0.0,241.27999999999813,-1.400855603448279,48563.798081667,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251001_152200_sar,SELL,2025-10-09 18:50:00+00:00,2025-10-09 18:50:00+00:00,2025-10-10 13:16:00+00:00,46271.95,46457.549999999996,46179.149999999994,46457.549999999996,SL,0.13,-239.69963333289812,1.5803666671,-0.0,241.27999999999813,-0.9934500718372844,48324.0984483341,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251013_151900,BUY,2025-10-13 15:19:00+00:00,2025-10-13 15:20:00+00:00,2025-10-14 05:48:00+00:00,46042.549999999996,45806.95,46974.45,45806.95,SL,0.1,-244.89984999999854,-9.299850000000001,-0.0,235.59999999999854,-1.0394730475382006,48079.1985983341,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251013_151900_sar,SELL,2025-10-14 05:48:00+00:00,2025-10-14 05:48:00+00:00,2025-10-14 10:53:00+00:00,45806.95,46042.549999999996,45689.149999999994,45689.149999999994,TP,0.1,117.80000000000291,0.0,-0.0,235.59999999999854,0.5000000000000154,48196.9985983341,False,False
