task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250919_173000,BUY,2025-09-19 17:30:00+00:00,2025-09-19 17:32:00+00:00,2025-09-22 12:37:00+00:00,46284.65,46102.95,47031.65,46102.95,SL,0.13,-272.4794150000057,-36.26941500000001,-0.0,236.2100000000057,-1.1535473307649935,49727.52058499999,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250922_143500,BUY,2025-09-22 14:35:00+00:00,2025-09-22 14:36:00+00:00,2025-09-25 12:43:00+00:00,46248.36,46024.95,47141.45,46024.95,SL,0.11,-276.4405050000039,-30.689505000000004,-0.0,245.75100000000387,-1.1248804887874293,49451.080079999985,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250925_143900,BUY,2025-09-25 14:39:00+00:00,2025-09-25 14:40:00+00:00,2025-09-25 17:57:00+00:00,46110.049999999996,45882.95,47017.95,45882.95,SL,0.1,-227.09999999999854,0.0,-0.0,227.09999999999854,-1.0,49223.98007999999,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250930_194900,BUY,2025-09-30 19:49:00+00:00,2025-09-30 19:50:00+00:00,2025-10-01 01:52:00+00:00,46382.549999999996,46249.45,46919.45,46249.45,SL,0.18,-256.3197299999974,-16.73973,-0.0,239.57999999999737,-1.0698711495116462,48967.66034999999,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251001_152200,BUY,2025-10-01 15:22:00+00:00,2025-10-01 15:24:00+00:00,2025-10-09 18:50:00+00:00,46457.549999999996,46271.95,47146.95,46271.95,SL,0.13,-337.99843999999814,-96.71844000000002,-0.0,241.27999999999813,-1.400855603448279,48629.661909999995,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251013_151900,BUY,2025-10-13 15:19:00+00:00,2025-10-13 15:20:00+00:00,2025-10-14 05:48:00+00:00,46042.549999999996,45806.95,46974.45,45806.95,SL,0.1,-244.89984999999854,-9.299850000000001,-0.0,235.59999999999854,-1.0394730475382006,48384.762059999994,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251014_143300,BUY,2025-10-14 14:33:00+00:00,2025-10-14 14:34:00+00:00,2025-10-17 07:33:00+00:00,45940.049999999996,45445.95,47908.45,45445.95,SL,0.04,-208.79981999999941,-11.15982,-0.0,197.63999999999942,-1.0564653916211295,48175.96223999999,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251017_181900,BUY,2025-10-17 18:19:00+00:00,2025-10-17 18:20:00+00:00,2025-10-26 22:04:00+00:00,46247.549999999996,45925.45,47532.95,47532.95,TP,0.07,834.681050000001,-65.09895000000002,-0.0,225.469999999999,3.701960571251185,49010.64328999999,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251027_194600,BUY,2025-10-27 19:46:00+00:00,2025-10-27 19:48:00+00:00,2025-10-31 17:16:00+00:00,47532.65,47367.95,48215.95,47367.95,SL,0.14,-282.6591600000061,-52.07916000000001,-0.0,230.58000000000612,-1.2258615664845114,48727.98412999999,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251104_153800,BUY,2025-11-04 15:38:00+00:00,2025-11-04 15:40:00+00:00,2025-11-06 16:18:00+00:00,47267.65,46881.05,48811.05,46881.05,SL,0.06,-243.11981999999912,-11.15982,-0.0,231.95999999999913,-1.0481109674081739,48484.86430999999,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251107_193900,BUY,2025-11-07 19:39:00+00:00,2025-11-07 19:40:00+00:00,2025-11-11 18:16:00+00:00,46898.119999999995,46647.95,47888.3,47888.3,TP,0.09,857.6825400000067,-33.47946,-0.0,225.1529999999984,3.8093320542031988,49342.54685,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251114_154500,BUY,2025-11-14 15:45:00+00:00,2025-11-14 15:46:00+00:00,2025-11-17 18:55:00+00:00,47144.549999999996,46849.95,48317.45,46849.95,SL,0.08,-257.99963999999886,-22.31964,-0.0,235.67999999999884,-1.0947031568228112,49084.54721,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251118_184000,BUY,2025-11-18 18:40:00+00:00,2025-11-18 18:42:00+00:00,2025-11-19 16:24:00+00:00,46359.09,45951.07,48038.47,45951.07,SL,0.05,-208.6599249999984,-4.6499250000000005,-0.0,204.0099999999984,-1.0227926327140828,48875.887285,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251119_233700,BUY,2025-11-19 23:37:00+00:00,2025-11-19 23:38:00+00:00,2025-11-20 16:59:00+00:00,46305.799999999996,46026.45,47417.7,46026.45,SL,0.08,-223.47999999999885,0.0,-0.0,223.47999999999885,-1.0,48652.407285,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251121_162900,BUY,2025-11-21 16:29:00+00:00,2025-11-21 16:30:00+00:00,2025-11-26 14:36:00+00:00,46093.64,45781.95,47334.9,47334.9,TP,0.07,836.3325250000015,-32.54947500000001,-0.0,218.18300000000164,3.8331699765792715,49488.73981,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251126_155900,BUY,2025-11-26 15:59:00+00:00,2025-11-26 16:00:00+00:00,2025-12-11 14:41:00+00:00,47426.479999999996,47189.15,48365.3,48365.3,TP,0.1,799.322250000007,-139.49775000000002,-0.0,237.32999999999447,3.367978131715441,50288.062060000004,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251211_153200,BUY,2025-12-11 15:32:00+00:00,2025-12-11 15:34:00+00:00,2025-12-16 15:25:00+00:00,48510.07,48117.45,50131.35,48117.45,SL,0.06,-263.47155000000157,-27.899549999999998,-0.0,235.57200000000157,-1.1184332178696952,50024.59051,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251218_153700,BUY,2025-12-18 15:37:00+00:00,2025-12-18 15:38:00+00:00,2025-12-18 17:08:00+00:00,48323.549999999996,48036.45,49463.95,48036.45,SL,0.08,-229.67999999999884,0.0,-0.0,229.67999999999884,-1.0,49794.91051,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251222_161000,BUY,2025-12-22 16:10:00+00:00,2025-12-22 16:12:00+00:00,2025-12-31 15:50:00+00:00,48370.909999999996,48191.45,49130.75,48191.45,SL,0.13,-342.10624499999886,-108.80824500000001,-0.0,233.29799999999886,-1.4663916750250774,49452.804265000006,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260102_161500,BUY,2026-01-02 16:15:00+00:00,2026-01-02 16:16:00+00:00,2026-02-06 15:10:00+00:00,48216.18,47830.45,49758.6,49758.6,TP,0.06,730.1551499999988,-195.2968500000001,-0.0,231.43800000000192,3.15486285743911,50182.959415000005,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260206_154200,BUY,2026-02-06 15:42:00+00:00,2026-02-06 15:44:00+00:00,2026-02-13 14:40:00+00:00,49797.549999999996,49215.45,52160.45,49215.45,SL,0.04,-258.87957999999946,-26.039580000000004,-0.0,232.83999999999943,-1.111834650403711,49924.079835000004,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260213_153000,BUY,2026-02-13 15:30:00+00:00,2026-02-13 15:32:00+00:00,2026-02-23 15:05:00+00:00,49528.549999999996,49081.95,51434.45,49081.95,SL,0.05,-269.7992499999993,-46.49925,-0.0,223.29999999999927,-1.2082366771159883,49654.28058500001,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260224_180300,BUY,2026-02-24 18:03:00+00:00,2026-02-24 18:04:00+00:00,2026-02-27 14:44:00+00:00,49270.38,48753.95,51330.6,48753.95,SL,0.04,-217.7318200000001,-11.15982,-0.0,206.57200000000012,-1.0540238754526265,49436.54876500001,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260302_164500,BUY,2026-03-02 16:45:00+00:00,2026-03-02 16:46:00+00:00,2026-03-03 07:23:00+00:00,48931.14,48377.95,51135.9,48377.95,SL,0.04,-224.99594000000096,-3.7199400000000002,-0.0,221.27600000000095,-1.0168113125689184,49211.552825000006,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20260303_164300,BUY,2026-03-03 16:43:00+00:00,2026-03-03 16:44:00+00:00,2026-03-05 19:30:00+00:00,48144.77,47620.45,50234.05,47620.45,SL,0.04,-217.16787999999988,-7.4398800000000005,-0.0,209.7279999999999,-1.035473947207812,48994.384945000005,False,False
