task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250919_141300,BUY,2025-09-19 14:13:00+00:00,2025-09-19 14:14:00+00:00,2025-09-29 00:01:00+00:00,45314.54,45094.34,46140.34,45094.34,SL,0.35000000000000003,-368.9204713561287,-111.19575225500003,-0.0,260.3575482406408,-1.4169762845329392,49631.07952864387,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250929_144200,BUY,2025-09-29 14:42:00+00:00,2025-09-29 14:44:00+00:00,2025-09-29 15:17:00+00:00,45215.91,45119.57,45593.72,45119.57,SL,0.78,-251.28812199037904,0.0,-0.0,251.28812199037904,-1.0,49379.791406653494,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250930_134600,BUY,2025-09-30 13:46:00+00:00,2025-09-30 13:48:00+00:00,2025-09-30 14:09:00+00:00,44668.75,44568.37,44967.87,44568.37,SL,0.91,-307.31741780940945,0.0,-0.0,307.31741780940945,-1.0,49072.47398884408,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251001_142000,BUY,2025-10-01 14:20:00+00:00,2025-10-01 14:22:00+00:00,2025-10-03 00:35:00+00:00,44788.91,44623.1,45349.75,45349.75,TP,0.49,901.9861911749969,-31.1348106314,-0.0,274.5848119233581,3.2849092593903504,49974.46018001908,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251003_134800,BUY,2025-10-03 13:48:00+00:00,2025-10-03 13:50:00+00:00,2025-10-03 17:51:00+00:00,46047.96,45907.13,46606.23,45907.13,SL,0.52,-248.65742186969766,0.0,-0.0,248.65742186969766,-1.0,49725.80275814938,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251006_144900,BUY,2025-10-06 14:49:00+00:00,2025-10-06 14:50:00+00:00,2025-10-06 23:55:00+00:00,48511.67,48360.32,49087.07,48360.32,SL,0.5,-267.51776866950917,-15.885107465,-0.0,256.5619511930487,-1.0427024249913692,49458.28498947987,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251007_134700,BUY,2025-10-07 13:47:00+00:00,2025-10-07 13:48:00+00:00,2025-10-07 14:04:00+00:00,48155.22,48079.31,48428.86,48079.31,SL,1.06,-267.5589221110998,0.0,-0.0,267.5589221110998,-1.0,49190.72606736877,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251008_140000,BUY,2025-10-08 14:00:00+00:00,2025-10-08 14:02:00+00:00,2025-10-09 00:23:00+00:00,47994.53,47868.17,48317.62,48317.62,TP,0.8300000000000001,851.6961693429141,-26.369278391900004,-0.0,345.2436286547607,2.466942468023355,50042.42223671168,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251013_135000,BUY,2025-10-13 13:50:00+00:00,2025-10-13 13:52:00+00:00,2025-10-14 00:01:00+00:00,46726.0,46555.0,47480.0,47480.0,TP,0.4,977.3649220641362,-12.708085972000001,-0.0,226.2174068341469,4.320467358114042,51019.78715877582,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251014_135900,BUY,2025-10-14 13:59:00+00:00,2025-10-14 14:00:00+00:00,2025-10-15 05:00:00+00:00,46747.96,46517.18,47666.08,47666.08,TP,0.33,987.4789250091764,-10.484170926900001,-0.0,250.00459582961162,3.94984308881339,52007.266083785,False,False
OrbBreakout_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251015_140300,BUY,2025-10-15 14:03:00+00:00,2025-10-15 14:04:00+00:00,2025-10-15 15:35:00+00:00,48135.0,47979.14,48728.44,47979.14,SL,0.52,-266.95564529410706,0.0,-0.0,266.95564529410706,-1.0,51740.31043849089,False,False
