task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20250919_162500,BUY,2025-09-19 16:25:00+00:00,2025-09-19 16:30:00+00:00,2025-09-24 15:48:00+00:00,24571.52,24491.23,24889.28,24491.23,SL,0.15,-320.8862883750026,-80.016288375,-0.0,240.87000000000262,-1.332196987482871,49679.113711624996,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20250919_162500_sar,SELL,2025-09-24 15:48:00+00:00,2025-09-24 15:48:00+00:00,2025-09-24 15:58:00+00:00,24491.23,24571.52,24451.085,24451.085,TP,0.15,120.43500000000131,0.0,-0.0,240.87000000000262,0.5,49799.548711625,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20250925_141500,BUY,2025-09-25 14:15:00+00:00,2025-09-25 14:20:00+00:00,2025-10-08 19:20:00+00:00,24370.809999999998,24186.13,25106.78,25106.78,TP,0.06,799.9470600900014,-83.21693990999998,-0.0,221.61599999999598,3.6096087831655472,50599.495771715,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251009_224000,BUY,2025-10-09 22:40:00+00:00,2025-10-09 22:46:00+00:00,2025-10-10 14:58:00+00:00,25133.899999999998,25053.48,25460.98,25053.48,SL,0.15,-241.25999999999476,0.0,-0.0,241.25999999999476,-1.0,50358.23577171501,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251009_224000_sar,SELL,2025-10-10 14:58:00+00:00,2025-10-10 14:58:00+00:00,2025-10-10 14:58:00+00:00,25053.48,25133.899999999998,25013.27,25013.27,TP,0.15,120.62999999999738,0.0,-0.0,241.25999999999476,0.5,50478.865771715005,True,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251013_140000,BUY,2025-10-13 14:00:00+00:00,2025-10-13 14:06:00+00:00,2025-10-14 05:39:00+00:00,24733.53,24549.35,25443.75,24549.35,SL,0.07,-265.3201869150004,-7.468186915,-0.0,257.85200000000043,-1.028963075388207,50213.545584800006,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251013_140000_sar,SELL,2025-10-14 05:39:00+00:00,2025-10-14 05:39:00+00:00,2025-10-14 07:06:00+00:00,24549.35,24733.53,24457.26,24457.26,TP,0.07,128.92600000000022,0.0,-0.0,257.85200000000043,0.5,50342.471584800005,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251014_142000,BUY,2025-10-14 14:20:00+00:00,2025-10-14 14:26:00+00:00,2025-10-17 08:20:00+00:00,24526.03,24246.33,25595.83,24246.33,SL,0.04,-236.56260613999768,-12.80260614,-0.0,223.7599999999977,-1.0572157943332148,50105.90897866001,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251014_142000_sar,SELL,2025-10-17 08:20:00+00:00,2025-10-17 08:20:00+00:00,2025-10-17 11:13:00+00:00,24246.33,24526.03,24106.480000000003,24526.03,SL,0.04,-223.7599999999977,0.0,-0.0,223.7599999999977,-1.0,49882.148978660014,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251017_141000,BUY,2025-10-17 14:10:00+00:00,2025-10-17 14:16:00+00:00,2025-10-27 19:55:00+00:00,24790.78,24506.98,25796.33,25796.33,TP,0.04,761.7646462000023,-42.675353799999996,-0.0,227.03999999999942,3.355200168252309,50643.91362486002,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251028_140000,BUY,2025-10-28 14:00:00+00:00,2025-10-28 14:06:00+00:00,2025-10-28 20:28:00+00:00,25909.899999999998,25858.6,26082.35,26082.35,TP,0.28,965.7200000000041,0.0,-0.0,287.27999999999594,3.3615984405458708,51609.63362486002,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251029_143000,BUY,2025-10-29 14:30:00+00:00,2025-10-29 14:36:00+00:00,2025-10-29 16:10:00+00:00,26127.649999999998,26100.48,26269.83,26100.48,SL,0.38,-206.49199999998672,0.0,-0.0,206.49199999998672,-1.0,51403.141624860036,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251029_143000_sar,SELL,2025-10-29 16:10:00+00:00,2025-10-29 16:10:00+00:00,2025-10-29 16:20:00+00:00,26100.48,26127.649999999998,26086.895,26127.649999999998,SL,0.38,-206.49199999998672,0.0,-0.0,206.49199999998672,-1.0,51196.64962486005,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251030_232000,BUY,2025-10-30 23:20:00+00:00,2025-10-30 23:26:00+00:00,2025-10-31 15:04:00+00:00,26028.78,25944.6,26394.6,25944.6,SL,0.14,-235.70400000000083,0.0,-0.0,235.70400000000083,-1.0,50960.945624860055,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251030_232000_sar,SELL,2025-10-31 15:04:00+00:00,2025-10-31 15:04:00+00:00,2025-10-31 15:42:00+00:00,25944.6,26028.78,25902.51,26028.78,SL,0.14,-235.70400000000083,0.0,-0.0,235.70400000000083,-1.0,50725.24162486006,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251105_153000,BUY,2025-11-05 15:30:00+00:00,2025-11-05 15:36:00+00:00,2025-11-06 15:00:00+00:00,25585.77,25364.95,26395.3,25364.95,SL,0.06,-271.3853030699996,-6.40130307,-0.0,264.98399999999964,-1.0241573191966307,50453.85632179006,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251105_153000_sar,SELL,2025-11-06 15:00:00+00:00,2025-11-06 15:00:00+00:00,2025-11-06 15:37:00+00:00,25364.95,25585.77,25254.54,25254.54,TP,0.06,132.49199999999982,0.0,-0.0,264.98399999999964,0.5,50586.34832179006,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251107_195500,BUY,2025-11-07 19:55:00+00:00,2025-11-07 20:00:00+00:00,2025-11-14 08:42:00+00:00,25009.8,24807.85,25812.35,24807.85,SL,0.06,-287.1491214900009,-44.809121489999995,-0.0,242.34000000000086,-1.1849018795493929,50299.199200300056,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251107_195500_sar,SELL,2025-11-14 08:42:00+00:00,2025-11-14 08:42:00+00:00,2025-11-14 11:42:00+00:00,24807.85,25009.8,24706.875,24706.875,TP,0.06,121.16999999999825,0.0,-0.0,242.34000000000086,0.499999999999991,50420.369200300054,False,False
OrbBreakout_NDX100_Demo,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251114_152500,BUY,2025-11-14 15:25:00+00:00,2025-11-14 15:30:00+00:00,2025-11-18 04:20:00+00:00,24919.219999999998,24531.85,26469.05,24531.85,SL,0.03,-245.22460613999937,-12.80260614,-0.0,232.42199999999937,-1.0550834522549501,50175.144594160054,False,False
