task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250919_135000,BUY,2025-09-19 13:50:00+00:00,2025-09-19 13:52:00+00:00,2025-09-19 18:20:00+00:00,3659.93,3653.96,3681.76,3681.76,TP,0.44,960.5200000000168,0.0,-0.0,262.6799999999912,3.656616415410572,50960.52000000002,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250922_145300,BUY,2025-09-22 14:53:00+00:00,2025-09-22 14:54:00+00:00,2025-09-23 08:33:00+00:00,3725.73,3716.19,3763.79,3763.79,TP,0.26,974.1982899999986,-15.361710000000002,-0.0,248.03999999999905,3.927585429769401,51934.71829000002,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250925_175700,BUY,2025-09-25 17:57:00+00:00,2025-09-25 17:58:00+00:00,2025-09-29 06:43:00+00:00,3743.57,3724.65,3819.4,3819.4,TP,0.13,970.428289999999,-15.361710000000002,-0.0,245.96000000000095,3.9454719873149915,52905.146580000015,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250929_141000,BUY,2025-09-29 14:10:00+00:00,2025-09-29 14:12:00+00:00,2025-09-29 14:20:00+00:00,3830.38,3818.3,3871.25,3818.3,SL,0.24,-289.91999999999825,0.0,-0.0,289.91999999999825,-1.0,52615.22658000002,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20250930_134600,BUY,2025-09-30 13:46:00+00:00,2025-09-30 13:48:00+00:00,2025-10-01 07:52:00+00:00,3828.17,3812.45,3879.2,3879.2,TP,0.19,958.3441349999952,-11.225865,-0.0,298.68000000000484,3.2085982824426797,53573.57071500001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251001_143300,BUY,2025-10-01 14:33:00+00:00,2025-10-01 14:34:00+00:00,2025-10-01 14:46:00+00:00,3877.64,3868.99,3911.39,3868.99,SL,0.31,-268.1500000000028,0.0,-0.0,268.1500000000028,-1.0,53305.42071500001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251003_152700,BUY,2025-10-03 15:27:00+00:00,2025-10-03 15:28:00+00:00,2025-10-06 14:33:00+00:00,3888.54,3872.83,3951.13,3951.13,TP,0.17,1053.9858050000025,-10.044195000000002,-0.0,267.0700000000006,3.94647772119669,54359.40652000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251007_143400,BUY,2025-10-07 14:34:00+00:00,2025-10-07 14:36:00+00:00,2025-10-07 15:45:00+00:00,3984.08,3970.52,4034.77,3970.52,SL,0.21,-284.75999999999885,0.0,-0.0,284.75999999999885,-1.0,54074.64652000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251008_140100,BUY,2025-10-08 14:01:00+00:00,2025-10-08 14:02:00+00:00,2025-10-08 22:09:00+00:00,4040.16,4026.42,4094.67,4026.42,SL,0.19,-294.73759499999585,-33.677595000000004,-0.0,261.05999999999585,-1.1290032751091723,53779.90892500001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251010_150500,BUY,2025-10-10 15:05:00+00:00,2025-10-10 15:06:00+00:00,2025-10-10 16:06:00+00:00,4002.88,3988.51,4060.26,3988.51,SL,0.18,-258.65999999999804,0.0,-0.0,258.65999999999804,-1.0,53521.248925000014,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251013_135300,BUY,2025-10-13 13:53:00+00:00,2025-10-13 13:54:00+00:00,2025-10-14 01:12:00+00:00,4093.58,4081.92,4140.07,4140.07,TP,0.23,1055.680794999995,-13.589205,-0.0,268.17999999999665,3.9364635506003736,54576.92972000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251014_140000,BUY,2025-10-14 14:00:00+00:00,2025-10-14 14:02:00+00:00,2025-10-16 00:27:00+00:00,4126.660000000001,4106.475,4223.225,4223.225,TP,0.11,1036.2182599999956,-25.99674,-0.0,222.0350000000044,4.66691404508287,55613.14798,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251016_140500,BUY,2025-10-16 14:05:00+00:00,2025-10-16 14:06:00+00:00,2025-10-16 20:03:00+00:00,4259.46,4245.35,4315.55,4315.55,TP,0.19,1065.7100000000028,0.0,-0.0,268.0899999999938,3.9751948972361055,56678.85798,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251020_141800,BUY,2025-10-20 14:18:00+00:00,2025-10-20 14:20:00+00:00,2025-10-21 07:34:00+00:00,4324.5,4302.84,4400.14,4302.84,SL,0.14,-311.511689999998,-8.271690000000001,-0.0,303.239999999998,-1.027277700831025,56367.34629,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251022_190300,BUY,2025-10-22 19:03:00+00:00,2025-10-22 19:04:00+00:00,2025-10-24 11:03:00+00:00,4086.1499999999996,4047.25,4241.075,4047.25,SL,0.07,-288.8433799999975,-16.543380000000003,-0.0,272.2999999999975,-1.060754241645245,56078.50291,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251024_141100,BUY,2025-10-24 14:11:00+00:00,2025-10-24 14:12:00+00:00,2025-10-24 20:11:00+00:00,4120.54,4098.515,4208.44,4098.515,SL,0.12,-264.29999999999563,0.0,-0.0,264.29999999999563,-1.0,55814.20291000001,False,False
OrbBreakout_XAUUSD_Demo,XAUUSD,setup_nasdaq_orb_m1_XAUUSD_M1_BUY_20251028_135200,BUY,2025-10-28 13:52:00+00:00,2025-10-28 13:54:00+00:00,2025-10-29 08:55:00+00:00,3932.92,3914.82,4016.37,4016.37,TP,0.13,1077.1691449999976,-7.680855000000001,-0.0,235.29999999999882,4.5778544198895155,56891.37205500001,False,False
