task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250919_173000_inv,SELL,2025-09-19 17:30:00+00:00,2025-09-19 17:32:00+00:00,2025-09-22 12:54:00+00:00,46283.55,47031.65,46102.95,46102.95,TP,0.03,55.27410000030175,1.0941000002999999,-0.0,224.42999999999955,0.2462865927028555,50055.2741000003,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250922_143500_inv,SELL,2025-09-22 14:35:00+00:00,2025-09-22 14:36:00+00:00,2025-09-25 12:43:00+00:00,46247.26,47141.45,46024.95,46024.95,TP,0.02,45.19140000020099,0.7294000002000001,-0.0,178.83799999999903,0.2526946174761585,50100.4655000005,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250925_143900_inv,SELL,2025-09-25 14:39:00+00:00,2025-09-25 14:40:00+00:00,2025-09-25 17:57:00+00:00,46108.95,47017.95,45882.95,45882.95,TP,0.02,45.2,0.0,-0.0,181.8,0.24862486248624863,50145.6655000005,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250930_194900_inv,SELL,2025-09-30 19:49:00+00:00,2025-09-30 19:50:00+00:00,2025-10-01 02:02:00+00:00,46381.45,46919.45,46249.45,46249.45,TP,0.04,53.2862666668,0.4862666668,-0.0,215.20000000000002,0.24761276332156135,50198.9517666673,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251001_152200_inv,SELL,2025-10-01 15:22:00+00:00,2025-10-01 15:24:00+00:00,2025-10-09 18:51:00+00:00,46456.45,47146.95,46271.95,46271.95,TP,0.03,58.2676000008,2.9176000008,-0.0,207.15,0.2812821626879073,50257.2193666681,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251013_151900_inv,SELL,2025-10-13 15:19:00+00:00,2025-10-13 15:20:00+00:00,2025-10-14 05:48:00+00:00,46041.45,46974.45,45806.95,45806.95,TP,0.02,47.14313333340001,0.2431333334,-0.0,186.60000000000002,0.2526427295466238,50304.362500001494,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251014_143300_inv,SELL,2025-10-14 14:33:00+00:00,2025-10-14 14:34:00+00:00,2025-10-17 07:33:00+00:00,45938.95,47908.45,45445.95,45445.95,TP,0.01,49.664700000100005,0.36470000010000003,-0.0,196.95000000000002,0.2521690784468139,50354.0272000016,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251017_181900_inv,SELL,2025-10-17 18:19:00+00:00,2025-10-17 18:20:00+00:00,2025-10-26 22:04:00+00:00,46246.45,47532.95,45925.45,47532.95,SL,0.01,-127.43433333300001,1.2156666670000003,-0.0,128.65,-0.9905505894520016,50226.592866668594,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251027_194600_inv,SELL,2025-10-27 19:46:00+00:00,2025-10-27 19:48:00+00:00,2025-10-31 17:16:00+00:00,47531.55,48215.95,47367.95,47367.95,TP,0.03,50.53880000040174,1.4588000004,-0.0,205.31999999999826,0.24614650302163535,50277.131666668996,False,False
OrbBreakoutinv_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251104_153800_inv,SELL,2025-11-04 15:38:00+00:00,2025-11-04 15:40:00+00:00,2025-11-06 16:18:00+00:00,47266.55,48811.05,46881.05,46881.05,TP,0.01,38.79313333340001,0.2431333334,-0.0,154.45000000000002,0.2511695262764649,50315.924800002394,False,False
