task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250919_141300_inv,SELL,2025-09-19 14:13:00+00:00,2025-09-19 14:14:00+00:00,2025-09-29 00:01:00+00:00,45308.54,46140.34,45094.34,45094.34,TP,0.08,45.72075106651802,-11.58261972,-0.0,224.798659531916,0.2033853367351898,50045.72075106652,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250929_144200_inv,SELL,2025-09-29 14:42:00+00:00,2025-09-29 14:44:00+00:00,2025-09-29 15:27:00+00:00,45209.91,45593.72,45119.57,45116.04,TP,0.19,59.641853932585924,0.0,-0.0,243.86001872659025,0.24457413824549434,50105.3626049991,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250930_134600_inv,SELL,2025-09-30 13:46:00+00:00,2025-09-30 13:48:00+00:00,2025-10-01 00:18:00+00:00,44662.75,44967.87,44568.37,44568.37,TP,0.23,70.03307094587868,-3.3300031695,-0.0,236.10060692513898,0.29662384971371225,50175.39567594498,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251001_142000_inv,SELL,2025-10-01 14:20:00+00:00,2025-10-01 14:22:00+00:00,2025-10-03 00:35:00+00:00,44782.91,45349.75,44623.1,45349.75,SL,0.12,-234.43897025054977,-3.4747859159999996,-0.0,229.8854303964297,-1.0198078662326169,49940.95670569443,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251003_134800_inv,SELL,2025-10-03 13:48:00+00:00,2025-10-03 13:50:00+00:00,2025-10-03 17:51:00+00:00,46041.96,46606.23,45907.13,45907.13,TP,0.13,59.51587053662457,0.0,-0.0,249.076765317073,0.23894589469580302,50000.472576231055,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251006_144900_inv,SELL,2025-10-06 14:49:00+00:00,2025-10-06 14:50:00+00:00,2025-10-06 23:55:00+00:00,48505.67,49087.07,48360.32,48360.32,TP,0.12,56.26031932120776,-1.7373929579999998,-0.0,236.53537113758625,0.23785161200471217,50056.73289555226,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251007_134700_inv,SELL,2025-10-07 13:47:00+00:00,2025-10-07 13:48:00+00:00,2025-10-07 14:04:00+00:00,48149.22,48428.86,48079.31,48079.31,TP,0.26,60.44038625239715,0.0,-0.0,241.761545009576,0.25000000000001305,50117.17328180466,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251008_140000_inv,SELL,2025-10-08 14:00:00+00:00,2025-10-08 14:02:00+00:00,2025-10-09 00:23:00+00:00,47988.53,48317.62,47868.17,48317.62,SL,0.21,-229.32725775744456,-3.0404376765,-0.0,227.4950457894174,-1.0080538543671107,49887.84602404721,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251013_135000_inv,SELL,2025-10-13 13:50:00+00:00,2025-10-13 13:52:00+00:00,2025-10-14 00:01:00+00:00,46720.0,47480.0,46555.0,47480.0,SL,0.1,-250.9357207367054,-1.447827465,-0.0,251.35267426016324,-0.9983411613793841,49636.910303310506,False,False
OrbBreakoutinv_JP225_Paper,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251014_135900_inv,SELL,2025-10-14 13:59:00+00:00,2025-10-14 14:00:00+00:00,2025-10-15 05:00:00+00:00,46741.96,47666.08,46517.18,47666.08,SL,0.08,-244.66974755490966,-1.158261972,-0.0,242.6913178213148,-1.0081520416608043,49392.2405557556,False,False
