task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20250919_162500_inv,SELL,2025-09-19 16:25:00+00:00,2025-09-19 16:30:00+00:00,2025-09-24 15:48:00+00:00,24570.72,24889.28,24491.23,24491.23,TP,0.03,49.99825771500096,2.304257715,-0.0,191.1359999999986,0.26158472352147855,50049.998257715,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20250925_141500_inv,SELL,2025-09-25 14:15:00+00:00,2025-09-25 14:20:00+00:00,2025-10-08 19:19:00+00:00,24370.01,25106.78,24186.13,25106.78,SL,0.01,-145.3569766470001,1.997023353,-0.0,147.3540000000001,-0.9864474438902235,49904.641281068,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251009_224000_inv,SELL,2025-10-09 22:40:00+00:00,2025-10-09 22:46:00+00:00,2025-10-10 14:58:00+00:00,25133.1,25460.98,25053.48,25053.48,TP,0.03,47.77199999999939,0.0,-0.0,196.7280000000006,0.2428327436867108,49952.413281067995,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251013_140000_inv,SELL,2025-10-13 14:00:00+00:00,2025-10-13 14:06:00+00:00,2025-10-14 05:39:00+00:00,24732.73,25443.75,24549.35,24549.35,TP,0.01,36.82961718100021,0.153617181,-0.0,142.2040000000001,0.2589914290807585,49989.242898248995,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251014_142000_inv,SELL,2025-10-14 14:20:00+00:00,2025-10-14 14:26:00+00:00,2025-10-17 08:20:00+00:00,24525.23,25595.83,24246.33,24246.33,TP,0.01,56.240851542999565,0.460851543,-0.0,214.12000000000046,0.26266043126751093,50045.483749791994,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251017_141000_inv,SELL,2025-10-17 14:10:00+00:00,2025-10-17 14:16:00+00:00,2025-10-27 19:55:00+00:00,24789.98,25796.33,24506.98,25796.33,SL,0.01,-199.73382819000042,1.53617181,-0.0,201.27000000000044,-0.9923676066477866,49845.74992160199,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251028_140000_inv,SELL,2025-10-28 14:00:00+00:00,2025-10-28 14:06:00+00:00,2025-10-28 20:28:00+00:00,25909.1,26082.35,25858.6,26082.35,SL,0.06,-207.9,0.0,-0.0,207.9,-1.0,49637.84992160199,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251029_143000_inv,SELL,2025-10-29 14:30:00+00:00,2025-10-29 14:36:00+00:00,2025-10-29 16:10:00+00:00,26126.85,26269.83,26100.48,26100.48,TP,0.09,47.46599999999816,0.0,-0.0,257.3640000000057,0.18443138900544406,49685.31592160199,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251030_232000_inv,SELL,2025-10-30 23:20:00+00:00,2025-10-30 23:26:00+00:00,2025-10-31 15:04:00+00:00,26027.98,26394.6,25944.6,25944.6,TP,0.03,50.02800000000061,0.0,-0.0,219.97199999999938,0.22742894550215823,49735.34392160199,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251105_153000_inv,SELL,2025-11-05 15:30:00+00:00,2025-11-05 15:36:00+00:00,2025-11-06 15:00:00+00:00,25584.97,26395.3,25364.95,25364.95,TP,0.01,44.15761718100009,0.153617181,-0.0,162.06599999999963,0.2724668788086347,49779.50153878299,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251107_195500_inv,SELL,2025-11-07 19:55:00+00:00,2025-11-07 20:00:00+00:00,2025-11-14 08:42:00+00:00,25009.0,25812.35,24807.85,24807.85,TP,0.01,41.3053202670003,1.075320267,-0.0,160.66999999999973,0.25708172195805296,49820.80685904999,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251114_152500_inv,SELL,2025-11-14 15:25:00+00:00,2025-11-14 15:30:00+00:00,2025-11-18 04:20:00+00:00,24918.42,26469.05,24531.85,24531.85,TP,0.01,77.92846872399996,0.614468724,-0.0,310.1260000000002,0.2512800240031468,49898.73532777399,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251119_150000_inv,SELL,2025-11-19 15:00:00+00:00,2025-11-19 15:06:00+00:00,2025-11-19 17:33:00+00:00,24847.48,26247.25,24491.6,24491.6,TP,0.01,71.1760000000002,0.0,-0.0,279.9540000000001,0.2542417682905055,49969.91132777399,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251120_154000_inv,SELL,2025-11-20 15:40:00+00:00,2025-11-20 15:46:00+00:00,2025-11-20 16:00:00+00:00,25211.64,25799.33,25062.48,25062.48,TP,0.02,59.663999999999945,0.0,-0.0,235.07600000000093,0.25380727934795433,50029.575327773986,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251121_165500_inv,SELL,2025-11-21 16:55:00+00:00,2025-11-21 17:00:00+00:00,2025-11-28 17:55:00+00:00,24299.61,25387.15,24028.35,25387.15,SL,0.01,-216.43267973300019,1.075320267,-0.0,217.50800000000018,-0.9950561806140464,49813.14264804099,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251201_155000_inv,SELL,2025-12-01 15:50:00+00:00,2025-12-01 15:56:00+00:00,2025-12-12 16:05:00+00:00,25356.42,26160.6,25157.85,25157.85,TP,0.01,41.40378899099994,1.689788991,-0.0,160.83600000000007,0.2574286166716402,49854.54643703199,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251216_203500_inv,SELL,2025-12-16 20:35:00+00:00,2025-12-16 20:40:00+00:00,2025-12-17 15:41:00+00:00,25154.98,26018.5,24939.1,24939.1,TP,0.01,43.32961718100021,0.153617181,-0.0,172.7040000000001,0.2508894824729027,49897.87605421299,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20251218_153000_inv,SELL,2025-12-18 15:30:00+00:00,2025-12-18 15:36:00+00:00,2026-01-21 11:55:00+00:00,25114.07,25883.45,24926.1,24926.1,TP,0.01,42.81698415400024,5.222984153999999,-0.0,153.8760000000002,0.2782564152564414,49940.69303836699,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260121_151500_inv,SELL,2026-01-21 15:15:00+00:00,2026-01-21 15:20:00+00:00,2026-01-28 01:07:00+00:00,25206.79,26090.5,24985.4,26090.5,SL,0.01,-175.66667973299985,1.075320267,-0.0,176.74199999999985,-0.9939158758699121,49765.02635863399,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260202_150500_inv,SELL,2026-02-02 15:05:00+00:00,2026-02-02 15:10:00+00:00,2026-02-03 15:13:00+00:00,25719.35,26884.85,25427.35,25427.35,TP,0.01,58.55361718100001,0.153617181,-0.0,233.10000000000002,0.2511952689017589,49823.579975814995,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260206_161000_inv,SELL,2026-02-06 16:10:00+00:00,2026-02-06 16:16:00+00:00,2026-02-13 06:26:00+00:00,24911.12,26122.23,24609.73,24609.73,TP,0.01,61.35332026699989,1.075320267,-0.0,242.22200000000012,0.2532937564176658,49884.933296081996,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260213_153000_inv,SELL,2026-02-13 15:30:00+00:00,2026-02-13 15:36:00+00:00,2026-02-17 05:20:00+00:00,24852.35,26162.38,24506.23,24506.23,TP,0.01,69.83846872399981,0.614468724,-0.0,262.0060000000005,0.26655293666557134,49954.771764806,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260217_183500_inv,SELL,2026-02-17 18:35:00+00:00,2026-02-17 18:40:00+00:00,2026-03-03 10:02:00+00:00,24750.09,26125.3,24406.6,24406.6,TP,0.01,70.84864053400032,2.150640534,-0.0,275.04199999999986,0.25759207878796825,50025.62040534,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260303_164500_inv,SELL,2026-03-03 16:45:00+00:00,2026-03-03 16:50:00+00:00,2026-03-08 23:01:00+00:00,24653.0,25486.7,24444.1,24319.199999999997,TP,0.01,67.68170308600058,0.921703086,-0.0,166.74000000000015,0.4059116174043452,50093.302108426,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260309_143000_inv,SELL,2026-03-09 14:30:00+00:00,2026-03-09 14:36:00+00:00,2026-03-09 14:45:00+00:00,24460.1,24956.75,24326.1,24326.1,TP,0.02,53.6,0.0,-0.0,198.6600000000006,0.26980771166817596,50146.902108426,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260310_142000_inv,SELL,2026-03-10 14:20:00+00:00,2026-03-10 14:26:00+00:00,2026-03-11 18:38:00+00:00,24973.93,25414.78,24865.43,24865.43,TP,0.02,43.70723436200001,0.307234362,-0.0,176.33999999999943,0.2478577427809921,50190.609342788004,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260313_144000_inv,SELL,2026-03-13 14:40:00+00:00,2026-03-13 14:46:00+00:00,2026-03-13 15:40:00+00:00,24779.23,25296.73,24617.98,24617.98,TP,0.02,64.5,0.0,-0.0,207.0,0.3115942028985507,50255.109342788004,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260316_143000_inv,SELL,2026-03-16 14:30:00+00:00,2026-03-16 14:36:00+00:00,2026-03-16 15:38:00+00:00,24694.48,24852.85,24633.95,24633.95,TP,0.07,84.74199999999838,0.0,-0.0,221.7179999999986,0.3822062259266226,50339.851342788,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260317_140000_inv,SELL,2026-03-17 14:00:00+00:00,2026-03-17 14:06:00+00:00,2026-03-17 14:45:00+00:00,24713.85,24842.93,24679.83,24842.93,SL,0.09,-232.34400000000312,0.0,-0.0,232.34400000000312,-1.0,50107.507342788,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260319_145000_inv,SELL,2026-03-19 14:50:00+00:00,2026-03-19 14:56:00+00:00,2026-03-19 15:27:00+00:00,24260.73,24662.98,24202.98,24202.98,TP,0.03,34.65,0.0,-0.0,241.35,0.14356743318831572,50142.157342788,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260323_151500_inv,SELL,2026-03-23 15:15:00+00:00,2026-03-23 15:20:00+00:00,2026-03-23 16:52:00+00:00,24430.85,25189.83,24240.33,24240.33,TP,0.01,38.10399999999936,0.0,-0.0,151.79600000000065,0.25102110727554877,50180.261342788,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260324_162000_inv,SELL,2026-03-24 16:20:00+00:00,2026-03-24 16:26:00+00:00,2026-03-24 17:37:00+00:00,24170.75,24569.43,24050.98,24050.98,TP,0.03,71.86200000000026,0.0,-0.0,239.20800000000017,0.30041637403431415,50252.123342788,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260325_143500_inv,SELL,2026-03-25 14:35:00+00:00,2026-03-25 14:40:00+00:00,2026-03-25 14:52:00+00:00,24272.98,24706.23,24163.73,24163.73,TP,0.02,43.7,0.0,-0.0,173.3,0.25216387766878245,50295.823342788,False,False
OrbBreakoutinv_NDX100_Paper,NDX100,setup_nasdaq_orb_m1_NDX100_M5_BUY_20260326_141500_inv,SELL,2026-03-26 14:15:00+00:00,2026-03-26 14:20:00+00:00,2026-03-26 14:39:00+00:00,23940.85,24233.5,23867.85,23867.85,TP,0.04,58.400000000000006,0.0,-0.0,234.12000000000117,0.2494447291987003,50354.223342788,False,False
