task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250919_164800_inv,SELL,2025-09-19 16:48:00+00:00,2025-09-19 16:50:00+00:00,2025-09-22 07:24:00+00:00,6650.35,6711.76,6636.81,6636.81,TP,0.08,56.570017571199855,2.4100175712,-0.0,245.63999999999942,0.23029644020192147,50056.5700175712,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250922_143500_inv,SELL,2025-09-22 14:35:00+00:00,2025-09-22 14:36:00+00:00,2025-09-23 17:41:00+00:00,6666.47,6746.56,6646.51,6646.51,TP,0.06,60.48250439280011,0.6025043928,-0.0,240.27000000000044,0.2517272418229492,50117.052521964,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250925_154300_inv,SELL,2025-09-25 15:43:00+00:00,2025-09-25 15:44:00+00:00,2025-09-25 18:01:00+00:00,6618.42,6790.28,6575.58,6575.58,TP,0.02,42.840000000000146,0.0,-0.0,171.85999999999967,0.24927266379611443,50159.89252196399,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20250930_162100_inv,SELL,2025-09-30 16:21:00+00:00,2025-09-30 16:22:00+00:00,2025-09-30 17:24:00+00:00,6663.85,6744.68,6643.73,6643.73,TP,0.06,60.3600000000024,0.0,-0.0,242.48999999999978,0.24891748113325274,50220.252521963994,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251001_143400_inv,SELL,2025-10-01 14:34:00+00:00,2025-10-01 14:36:00+00:00,2025-10-10 15:24:00+00:00,6681.8,6788.33,6653.13,6653.13,TP,0.04,60.95502635680015,3.6150263568,-0.0,213.0599999999995,0.28609324301511446,50281.207548320795,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251013_160800_inv,SELL,2025-10-13 16:08:00+00:00,2025-10-13 16:10:00+00:00,2025-10-14 04:31:00+00:00,6656.62,6801.36,6621.31,6621.31,TP,0.03,53.266252196399236,0.3012521964,-0.0,217.10999999999967,0.24534223295287788,50334.4738005172,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251014_143600_inv,SELL,2025-10-14 14:36:00+00:00,2025-10-14 14:38:00+00:00,2025-10-17 07:14:00+00:00,6619.12,6897.43,6553.23,6553.23,TP,0.01,33.246252196400164,0.3012521964,-0.0,139.1550000000002,0.23891525418705842,50367.720052713594,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251017_180500_inv,SELL,2025-10-17 18:05:00+00:00,2025-10-17 18:06:00+00:00,2025-10-28 13:01:00+00:00,6658.55,6885.76,6601.71,6885.76,SL,0.02,-225.00081722640005,2.2091827736000003,-0.0,227.21000000000004,-0.9902769122239339,50142.719235487195,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251028_170100_inv,SELL,2025-10-28 17:01:00+00:00,2025-10-28 17:02:00+00:00,2025-10-29 18:36:00+00:00,6895.5,6984.66,6873.21,6873.21,TP,0.05,56.22708699399991,0.502086994,-0.0,222.89999999999964,0.2522525212830866,50198.94632248119,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251030_031700_inv,SELL,2025-10-30 03:17:00+00:00,2025-10-30 03:18:00+00:00,2025-10-30 04:08:00+00:00,6919.96,6982.46,6904.21,6904.21,TP,0.08,63.0,0.0,-0.0,250.0,0.252,50261.94632248119,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251104_153900_inv,SELL,2025-11-04 15:39:00+00:00,2025-11-04 15:40:00+00:00,2025-11-04 19:43:00+00:00,6817.3,7022.61,6766.06,6766.06,TP,0.02,51.23999999999978,0.0,-0.0,205.3099999999995,0.249573815206273,50313.18632248119,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251105_154300_inv,SELL,2025-11-05 15:43:00+00:00,2025-11-05 15:44:00+00:00,2025-11-06 14:59:00+00:00,6801.75,6961.26,6761.71,6761.71,TP,0.03,60.361252196399946,0.3012521964,-0.0,239.26500000000033,0.25227781830355406,50373.54757467759,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251107_193800_inv,SELL,2025-11-07 19:38:00+00:00,2025-11-07 19:40:00+00:00,2025-11-11 19:49:00+00:00,6699.65,6855.2,6655.6,6855.2,SL,0.03,-232.11999121440027,1.2050087856,-0.0,233.32500000000027,-0.9948354921864352,50141.42758346319,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251114_153500_inv,SELL,2025-11-14 15:35:00+00:00,2025-11-14 15:36:00+00:00,2025-11-17 19:56:00+00:00,6716.35,6989.88,6648.28,6648.28,TP,0.01,34.33625219640031,0.3012521964,-0.0,136.76499999999987,0.25106022883340284,50175.76383565959,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251118_175700_inv,SELL,2025-11-18 17:57:00+00:00,2025-11-18 17:58:00+00:00,2025-11-20 17:20:00+00:00,6658.17,6962.45,6581.95,6581.95,TP,0.01,38.31083479760013,0.2008347976,-0.0,152.13999999999987,0.2518130327172352,50214.074670457194,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251121_163600_inv,SELL,2025-11-21 16:36:00+00:00,2025-11-21 16:38:00+00:00,2025-11-25 20:04:00+00:00,6579.7,6758.55,6533.3,6758.55,SL,0.02,-178.04666080960035,0.8033391904,-0.0,178.85000000000036,-0.9955083075739446,50036.02800964759,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251126_155900_inv,SELL,2025-11-26 15:59:00+00:00,2025-11-26 16:00:00+00:00,2025-12-16 01:39:00+00:00,6807.55,6921.35,6779.5,6779.5,TP,0.04,64.13339190400036,8.033391903999998,-0.0,227.60000000000036,0.2817811595079098,50100.16140155159,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251218_153100_inv,SELL,2025-12-18 15:31:00+00:00,2025-12-18 15:32:00+00:00,2025-12-18 17:16:00+00:00,6798.25,6940.68,6762.73,6762.73,TP,0.03,53.280000000000655,0.0,-0.0,213.64500000000044,0.24938566313276953,50153.44140155159,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20251219_171700_inv,SELL,2025-12-19 17:17:00+00:00,2025-12-19 17:18:00+00:00,2026-01-20 20:14:00+00:00,6830.1,6998.38,6787.93,6787.93,TP,0.02,48.59671352320007,6.426713523199998,-0.0,168.27999999999975,0.28878484385072584,50202.038115074785,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260121_153100_inv,SELL,2026-01-21 15:31:00+00:00,2026-01-21 15:32:00+00:00,2026-01-21 17:12:00+00:00,6852.3,7036.01,6806.46,6806.46,TP,0.02,45.840000000000146,0.0,-0.0,183.71000000000004,0.24952370584072797,50247.87811507478,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260122_173200_inv,SELL,2026-01-22 17:32:00+00:00,2026-01-22 17:34:00+00:00,2026-01-25 23:01:00+00:00,6926.8,7084.8,6887.45,6855.74,TP,0.03,107.7950087856006,1.2050087856,-0.0,237.0,0.4548312606987367,50355.67312386038,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260126_170300_inv,SELL,2026-01-26 17:03:00+00:00,2026-01-26 17:04:00+00:00,2026-01-29 15:03:00+00:00,6953.55,7097.81,6917.51,6917.51,TP,0.03,54.963756589199946,0.9037565892,-0.0,216.39000000000033,0.2540032191376675,50410.63688044958,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260202_153900_inv,SELL,2026-02-02 15:39:00+00:00,2026-02-02 15:40:00+00:00,2026-02-03 17:12:00+00:00,6978.72,7231.08,6915.73,6915.73,TP,0.01,31.595417398800347,0.1004173988,-0.0,126.17999999999984,0.25039956727532403,50442.23229784838,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260206_154200_inv,SELL,2026-02-06 15:42:00+00:00,2026-02-06 15:44:00+00:00,2026-02-12 20:51:00+00:00,6881.75,7112.16,6825.71,6825.71,TP,0.02,57.245008785599964,1.2050087856,-0.0,230.40999999999985,0.24844845616770106,50499.47730663398,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260213_153000_inv,SELL,2026-02-13 15:30:00+00:00,2026-02-13 15:32:00+00:00,2026-02-17 13:12:00+00:00,6850.4,7111.58,6790.38,6790.38,TP,0.01,30.411669595199765,0.4016695952,-0.0,130.59000000000015,0.2328790075442203,50529.88897622917,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260217_162200_inv,SELL,2026-02-17 16:22:00+00:00,2026-02-17 16:24:00+00:00,2026-03-02 06:51:00+00:00,6846.07,7115.25,6779.5,6779.5,TP,0.01,34.59042618439985,1.3054261844,-0.0,134.59000000000015,0.2570059156282028,50564.47940241357,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260302_160900_inv,SELL,2026-03-02 16:09:00+00:00,2026-03-02 16:10:00+00:00,2026-03-03 08:14:00+00:00,6869.77,7168.83,6794.73,6794.73,TP,0.01,37.620417398800434,0.1004173988,-0.0,149.52999999999975,0.25159110144319197,50602.09981981237,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260303_164500_inv,SELL,2026-03-03 16:45:00+00:00,2026-03-03 16:46:00+00:00,2026-03-06 14:59:00+00:00,6788.4,7098.42,6710.77,6710.77,TP,0.01,39.1162521963996,0.3012521964,-0.0,155.01000000000022,0.25234663696793463,50641.21607200877,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260306_153100_inv,SELL,2026-03-06 15:31:00+00:00,2026-03-06 15:32:00+00:00,2026-03-08 22:01:00+00:00,6757.47,6951.58,6709.13,6652.089999999999,TP,0.02,105.98250439280102,0.6025043928,-0.0,194.10999999999967,0.5459919859502406,50747.19857640157,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260309_144700_inv,SELL,2026-03-09 14:47:00+00:00,2026-03-09 14:48:00+00:00,2026-03-13 17:50:00+00:00,6686.82,6899.8,6633.55,6633.55,TP,0.02,54.07333919039953,0.8033391904,-0.0,212.98000000000047,0.25388928157761015,50801.27191559197,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260319_150600_inv,SELL,2026-03-19 15:06:00+00:00,2026-03-19 15:08:00+00:00,2026-03-20 10:10:00+00:00,6599.25,6789.81,6561.86,6561.86,TP,0.02,37.59083479760033,0.2008347976,-0.0,190.5600000000004,0.19726508604953952,50838.86275038957,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260323_150200_inv,SELL,2026-03-23 15:02:00+00:00,2026-03-23 15:04:00+00:00,2026-03-23 15:58:00+00:00,6650.5,6911.98,6587.13,6587.13,TP,0.01,31.684999999999945,0.0,-0.0,130.73999999999978,0.24235123145173626,50870.54775038957,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260324_144400_inv,SELL,2026-03-24 14:44:00+00:00,2026-03-24 14:46:00+00:00,2026-03-26 16:17:00+00:00,6551.85,6719.67,6523.22,6523.22,TP,0.03,43.547504392800164,0.6025043928,-0.0,251.72999999999956,0.1729929066571336,50914.09525478237,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260331_163800_inv,SELL,2026-03-31 16:38:00+00:00,2026-03-31 16:40:00+00:00,2026-04-07 22:01:00+00:00,6474.99,6674.94,6408.69,6677.719999999999,SL_GAP_PROXY,0.02,-201.12332161919957,1.6066783808,-0.0,199.94999999999982,-1.0058680751147775,50712.97193316317,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260409_151500_inv,SELL,2026-04-09 15:15:00+00:00,2026-04-09 15:16:00+00:00,2026-04-12 22:01:00+00:00,6784.12,6869.24,6762.84,6744.139999999999,TP,0.05,101.95834797600118,2.008347976,-0.0,212.79999999999973,0.4791275750751941,50814.930281139175,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260413_144500_inv,SELL,2026-04-13 14:45:00+00:00,2026-04-13 14:46:00+00:00,2026-04-14 17:22:00+00:00,6823.66,6963.79,6788.59,6963.79,SL,0.03,-209.89374780360018,0.3012521964,-0.0,210.19500000000016,-0.9985667965631914,50605.03653333557,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260415_143100_inv,SELL,2026-04-15 14:31:00+00:00,2026-04-15 14:32:00+00:00,2026-04-17 13:08:00+00:00,6994.5,7104.49,6966.79,7104.49,SL,0.04,-219.17666080959955,0.8033391904,-0.0,219.97999999999956,-0.9963481262369306,50385.85987252597,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260417_143100_inv,SELL,2026-04-17 14:31:00+00:00,2026-04-17 14:32:00+00:00,2026-04-19 22:01:00+00:00,7119.52,7277.44,7079.84,7052.549999999999,TP,0.03,101.35875658920175,0.9037565892,-0.0,236.87999999999874,0.42789073197062766,50487.218629115174,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260420_220500_inv,SELL,2026-04-20 22:05:00+00:00,2026-04-20 22:06:00+00:00,2026-04-21 14:58:00+00:00,7123.16,7197.97,7104.62,7104.62,TP,0.06,55.61999999999989,0.0,-0.0,224.4300000000012,0.2478278305039415,50542.83862911518,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260422_195000_inv,SELL,2026-04-22 19:50:00+00:00,2026-04-22 19:52:00+00:00,2026-04-23 00:12:00+00:00,7132.2,7239.55,7105.55,7105.55,TP,0.04,53.70166959519927,0.4016695952,-0.0,214.70000000000073,0.25012421795621376,50596.54029871037,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260423_145200_inv,SELL,2026-04-23 14:52:00+00:00,2026-04-23 14:54:00+00:00,2026-04-23 17:04:00+00:00,7137.32,7224.21,7115.11,7115.11,TP,0.05,55.52500000000009,0.0,-0.0,217.22500000000082,0.2556105420646789,50652.065298710375,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260424_144600_inv,SELL,2026-04-24 14:46:00+00:00,2026-04-24 14:48:00+00:00,2026-04-29 18:08:00+00:00,7132.27,7230.24,7111.54,7111.54,TP,0.05,54.33543497000118,2.51043497,-0.0,244.92499999999836,0.22184519738696148,50706.40073368038,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260430_153100_inv,SELL,2026-04-30 15:31:00+00:00,2026-04-30 15:32:00+00:00,2026-05-06 14:56:00+00:00,7171.53,7346.26,7127.71,7346.26,SL,0.02,-173.52499121440047,1.2050087856,-0.0,174.73000000000047,-0.9931035953436731,50532.87574246598,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260507_143900_inv,SELL,2026-05-07 14:39:00+00:00,2026-05-07 14:40:00+00:00,2026-05-07 16:00:00+00:00,7374.24,7438.99,7357.79,7357.79,TP,0.07,57.57499999999937,0.0,-0.0,226.62500000000003,0.25405405405405124,50590.450742465975,False,False
OrbBreakoutinv_SPX500_Paper,SPX500,setup_nasdaq_orb_m1_SPX500_M1_BUY_20260508_162600_inv,SELL,2026-05-08 16:26:00+00:00,2026-05-08 16:28:00+00:00,2026-05-10 22:17:00+00:00,7398.06,7521.4,7366.05,7366.05,TP,0.04,65.22500878560044,1.2050087856,-0.0,246.67999999999847,0.26441141878385294,50655.675751251576,False,False
