task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250919_162300,BUY,2025-09-19 16:23:00+00:00,2025-09-19 16:24:00+00:00,2025-09-22 12:37:00+00:00,46285.9,46103.6,47010.6,46103.6,SL,0.27,-284.25594577500397,-38.150945775,-0.0,246.10500000000394,-1.1550189787895386,49715.744054225,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250919_162300_sar,SELL,2025-09-22 12:37:00+00:00,2025-09-22 12:37:00+00:00,2025-09-22 14:45:00+00:00,46103.6,46285.9,46012.45,46285.9,SL,0.27,-246.10500000000394,0.0,-0.0,246.10500000000394,-1.0,49469.639054224994,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250925_143900,BUY,2025-09-25 14:39:00+00:00,2025-09-25 14:40:00+00:00,2025-09-25 17:57:00+00:00,46110.200000000004,45882.0,47021.0,45882.0,SL,0.21,-239.6100000000046,0.0,-0.0,239.6100000000046,-1.0,49230.029054224986,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250925_143900_sar,SELL,2025-09-25 17:57:00+00:00,2025-09-25 17:57:00+00:00,2025-09-26 12:28:00+00:00,45882.0,46110.200000000004,45767.899999999994,46110.200000000004,SL,0.21,-241.39304266583792,-1.7830426658333336,-0.0,239.6100000000046,-1.0074414367757327,48988.636011559145,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250930_194900,BUY,2025-09-30 19:49:00+00:00,2025-09-30 19:50:00+00:00,2025-10-01 01:52:00+00:00,46384.700000000004,46250.1,46911.1,46250.1,SL,0.37,-266.4535491750108,-17.443549174999998,-0.0,249.0100000000108,-1.0700516010401158,48722.18246238413,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250930_194900_sar,SELL,2025-10-01 01:52:00+00:00,2025-10-01 01:52:00+00:00,2025-10-01 06:17:00+00:00,46250.1,46384.700000000004,46182.799999999996,46182.799999999996,TP,0.37,124.5050000000054,0.0,-0.0,249.0100000000108,0.5,48846.687462384136,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251001_152200,BUY,2025-10-01 15:22:00+00:00,2025-10-01 15:24:00+00:00,2025-10-02 15:20:00+00:00,46456.9,46273.08,47145.68,46273.08,SL,0.27,-260.9156942062496,-12.75869420625,-0.0,248.1569999999996,-1.0514137993538366,48585.77176817789,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251001_152200_sar,SELL,2025-10-02 15:20:00+00:00,2025-10-02 15:20:00+00:00,2025-10-02 17:37:00+00:00,46273.08,46456.9,46181.17,46456.9,SL,0.27,-248.1569999999996,0.0,-0.0,248.1569999999996,-1.0,48337.61476817789,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251002_183200,BUY,2025-10-02 18:32:00+00:00,2025-10-02 18:34:00+00:00,2025-10-09 17:02:00+00:00,46591.5,46330.3,47650.3,46330.3,SL,0.18,-294.95729483749733,-59.87729483749999,-0.0,235.07999999999737,-1.2547102894227524,48042.65747334039,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251002_183200_sar,SELL,2025-10-09 17:02:00+00:00,2025-10-09 17:02:00+00:00,2025-10-10 13:37:00+00:00,46330.3,46591.5,46199.700000000004,46591.5,SL,0.18,-236.62148994999737,-1.5414899499999999,-0.0,235.07999999999737,-1.0065572994299814,47806.03598339039,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251013_151900,BUY,2025-10-13 15:19:00+00:00,2025-10-13 15:20:00+00:00,2025-10-14 05:47:00+00:00,46042.5,45806.1,46976.1,45806.1,SL,0.2,-245.77743188889033,-9.37743188888889,-0.0,236.40000000000146,-1.039667647584132,47560.2585515015,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251013_151900_sar,SELL,2025-10-14 05:47:00+00:00,2025-10-14 05:47:00+00:00,2025-10-14 10:53:00+00:00,45806.1,46042.5,45687.899999999994,45687.899999999994,TP,0.2,118.20000000000437,0.0,-0.0,236.40000000000146,0.5000000000000154,47678.458551501506,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251014_143300,BUY,2025-10-14 14:33:00+00:00,2025-10-14 14:34:00+00:00,2025-10-17 07:33:00+00:00,45939.700000000004,45446.0,47907.5,45446.0,SL,0.09,-234.84962913750195,-12.684629137499998,-0.0,222.16500000000195,-1.0570955332185532,47443.608922364,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251014_143300_sar,SELL,2025-10-17 07:33:00+00:00,2025-10-17 07:33:00+00:00,2025-10-17 11:13:00+00:00,45446.0,45939.700000000004,45199.149999999994,45939.700000000004,SL,0.09,-222.16500000000195,0.0,-0.0,222.16500000000195,-1.0,47221.443922364,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251017_181900,BUY,2025-10-17 18:19:00+00:00,2025-10-17 18:20:00+00:00,2025-10-26 23:00:00+00:00,46246.4,45925.46,47528.16,47533.6,TP,0.14,834.4506017652758,-66.58939823472224,-0.0,224.65800000000166,3.7143151001311754,48055.894524129275,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251027_150300,BUY,2025-10-27 15:03:00+00:00,2025-10-27 15:04:00+00:00,2025-10-27 15:52:00+00:00,47514.14,47422.6,47864.3,47422.6,SL,0.54,-247.15800000000237,0.0,-0.0,247.15800000000237,-1.0,47808.73652412927,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251027_150300_sar,SELL,2025-10-27 15:52:00+00:00,2025-10-27 15:52:00+00:00,2025-10-27 20:37:00+00:00,47422.6,47514.14,47376.83,47514.14,SL,0.54,-247.15800000000237,0.0,-0.0,247.15800000000237,-1.0,47561.57852412927,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251028_143100,BUY,2025-10-28 14:31:00+00:00,2025-10-28 14:32:00+00:00,2025-10-28 14:41:00+00:00,47900.399999999994,47734.0,48560.0,47734.0,SL,0.28,-232.95999999999188,0.0,-0.0,232.95999999999188,-1.0,47328.61852412928,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251028_143100_sar,SELL,2025-10-28 14:41:00+00:00,2025-10-28 14:41:00+00:00,2025-10-28 18:01:00+00:00,47734.0,47900.399999999994,47650.8,47900.399999999994,SL,0.28,-232.95999999999188,0.0,-0.0,232.95999999999188,-1.0,47095.658524129285,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251029_143600,BUY,2025-10-29 14:36:00+00:00,2025-10-29 14:38:00+00:00,2025-10-29 19:23:00+00:00,47911.899999999994,47782.55,48277.5,47782.55,SL,0.47000000000000003,-303.9724999999795,0.0,-0.0,303.9724999999795,-1.0,46791.6860241293,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251029_143600_sar,SELL,2025-10-29 19:23:00+00:00,2025-10-29 19:23:00+00:00,2025-10-29 19:35:00+00:00,47782.55,47911.899999999994,47717.87500000001,47717.87500000001,TP,0.47000000000000003,151.98624999998975,0.0,-0.0,303.9724999999795,0.5,46943.67227412929,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251030_143000,BUY,2025-10-30 14:30:00+00:00,2025-10-30 14:32:00+00:00,2025-10-30 15:36:00+00:00,47494.6,47388.4,47942.4,47942.4,TP,0.42,940.3800000000061,0.0,-0.0,223.0199999999939,4.216572504708241,47884.052274129295,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251031_154500,BUY,2025-10-31 15:45:00+00:00,2025-10-31 15:46:00+00:00,2025-10-31 16:39:00+00:00,47667.38,47533.36,48187.06,47533.36,SL,0.36,-241.23599999999422,0.0,-0.0,241.23599999999422,-1.0,47642.8162741293,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251031_154500_sar,SELL,2025-10-31 16:39:00+00:00,2025-10-31 16:39:00+00:00,2025-10-31 17:15:00+00:00,47533.36,47667.38,47466.350000000006,47466.350000000006,TP,0.36,120.61799999999056,0.0,-0.0,241.23599999999422,0.49999999999997286,47763.434274129286,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251104_153800,BUY,2025-11-04 15:38:00+00:00,2025-11-04 15:40:00+00:00,2025-11-06 16:18:00+00:00,47268.2,46879.8,48812.5,46879.8,SL,0.12,-244.5861830149965,-11.546183015,-0.0,233.0399999999965,-1.0495459278020949,47518.84809111429,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251104_153800_sar,SELL,2025-11-06 16:18:00+00:00,2025-11-06 16:18:00+00:00,2025-11-07 14:32:00+00:00,46879.8,47268.2,46685.600000000006,46685.600000000006,TP,0.12,115.47848786166492,-1.0415121383333334,-0.0,233.0399999999965,0.49553075807443636,47634.32657897595,False,False
OrbBreakout_DJI30_Demo,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251107_193900,BUY,2025-11-07 19:39:00+00:00,2025-11-07 19:40:00+00:00,2025-11-11 18:18:00+00:00,46899.969999999994,46646.6,47897.45,47897.45,TP,0.19,911.1505706759751,-36.455429324027776,-0.0,240.70149999999558,3.785396313176245,48545.47714965193,False,False
