task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250919_162300,BUY,2025-09-19 16:23:00+00:00,2025-09-19 16:24:00+00:00,2025-09-22 12:37:00+00:00,46285.9,46103.6,47010.6,46103.6,SL,0.27,-284.25594577500397,-38.150945775,-0.0,246.10500000000394,-1.1550189787895386,49715.744054225,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250922_143500,BUY,2025-09-22 14:35:00+00:00,2025-09-22 14:36:00+00:00,2025-09-25 12:41:00+00:00,46249.310000000005,46025.6,47142.1,46025.6,SL,0.22,-277.1777557572293,-31.096755757222226,-0.0,246.08100000000707,-1.1263679672840299,49438.56629846777,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250925_143900,BUY,2025-09-25 14:39:00+00:00,2025-09-25 14:40:00+00:00,2025-09-25 17:57:00+00:00,46110.200000000004,45882.0,47021.0,45882.0,SL,0.21,-239.6100000000046,0.0,-0.0,239.6100000000046,-1.0,49198.95629846776,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20250930_194900,BUY,2025-09-30 19:49:00+00:00,2025-09-30 19:50:00+00:00,2025-10-01 01:52:00+00:00,46384.700000000004,46250.1,46911.1,46250.1,SL,0.37,-266.4535491750108,-17.443549174999998,-0.0,249.0100000000108,-1.0700516010401158,48932.50274929275,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251001_152200,BUY,2025-10-01 15:22:00+00:00,2025-10-01 15:24:00+00:00,2025-10-02 15:20:00+00:00,46456.9,46273.08,47145.68,46273.08,SL,0.28,-270.5792384361107,-13.231238436111113,-0.0,257.3479999999996,-1.0514137993538364,48661.923510856635,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251002_183200,BUY,2025-10-02 18:32:00+00:00,2025-10-02 18:34:00+00:00,2025-10-09 17:02:00+00:00,46591.5,46330.3,47650.3,46330.3,SL,0.18,-294.95729483749733,-59.87729483749999,-0.0,235.07999999999737,-1.2547102894227524,48366.96621601914,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251013_151900,BUY,2025-10-13 15:19:00+00:00,2025-10-13 15:20:00+00:00,2025-10-14 05:47:00+00:00,46042.5,45806.1,46976.1,45806.1,SL,0.2,-245.77743188889033,-9.37743188888889,-0.0,236.40000000000146,-1.039667647584132,48121.188784130245,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251014_143300,BUY,2025-10-14 14:33:00+00:00,2025-10-14 14:34:00+00:00,2025-10-17 07:33:00+00:00,45939.700000000004,45446.0,47907.5,45446.0,SL,0.09,-234.84962913750195,-12.684629137499998,-0.0,222.16500000000195,-1.0570955332185532,47886.33915499274,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251017_181900,BUY,2025-10-17 18:19:00+00:00,2025-10-17 18:20:00+00:00,2025-10-26 22:00:00+00:00,46246.4,45925.46,47528.16,47533.6,TP,0.14,834.4506017652758,-66.58939823472224,-0.0,224.65800000000166,3.7143151001311754,48720.789756758015,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251027_194600,BUY,2025-10-27 19:46:00+00:00,2025-10-27 19:48:00+00:00,2025-10-31 17:16:00+00:00,47533.7,47367.1,48216.6,47367.1,SL,0.28,-287.52454046944246,-54.284540469444444,-0.0,233.239999999998,-1.232741127034149,48433.26521628857,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251104_153800,BUY,2025-11-04 15:38:00+00:00,2025-11-04 15:40:00+00:00,2025-11-06 16:18:00+00:00,47268.2,46879.8,48812.5,46879.8,SL,0.12,-244.5861830149965,-11.546183015,-0.0,233.0399999999965,-1.0495459278020949,48188.679033273576,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251107_193900,BUY,2025-11-07 19:39:00+00:00,2025-11-07 19:40:00+00:00,2025-11-11 18:18:00+00:00,46899.969999999994,46646.6,47897.45,47897.45,TP,0.19,911.1505706759751,-36.455429324027776,-0.0,240.70149999999558,3.785396313176245,49099.829603949554,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251114_154500,BUY,2025-11-14 15:45:00+00:00,2025-11-14 15:46:00+00:00,2025-11-17 18:41:00+00:00,47145.28,46855.1,48295.0,46855.1,SL,0.17,-271.1480653716669,-24.49506537166667,-0.0,246.65300000000028,-1.0993098213752381,48828.68153857789,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251118_184000,BUY,2025-11-18 18:40:00+00:00,2025-11-18 18:42:00+00:00,2025-11-19 16:24:00+00:00,46358.44,45951.32,48035.22,45951.32,SL,0.11,-229.07081700250146,-5.154817002500001,-0.0,223.91600000000145,-1.0230212088573392,48599.61072157539,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251119_233700,BUY,2025-11-19 23:37:00+00:00,2025-11-19 23:38:00+00:00,2025-11-20 16:59:00+00:00,46306.200000000004,46027.2,47410.7,46027.2,SL,0.17,-237.1500000000062,0.0,-0.0,237.1500000000062,-1.0,48362.46072157538,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251121_162900,BUY,2025-11-21 16:29:00+00:00,2025-11-21 16:30:00+00:00,2025-11-26 14:37:00+00:00,46094.590000000004,45782.1,47342.5,47342.5,TP,0.15,900.4397771979138,-35.49272280208333,-0.0,234.36750000000393,3.8419993266894887,49262.90049877329,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251126_155900,BUY,2025-11-26 15:59:00+00:00,2025-11-26 16:00:00+00:00,2025-12-11 14:39:00+00:00,47428.12,47190.0,48361.15,48361.15,TP,0.21,826.6332730395821,-153.04822696041666,-0.0,250.02600000000277,3.3061892484764503,50089.53377181287,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251211_153200,BUY,2025-12-11 15:32:00+00:00,2025-12-11 15:34:00+00:00,2025-12-16 15:25:00+00:00,48508.92,48116.64,50137.84,48116.64,SL,0.12,-265.01872715666593,-29.650727156666665,-0.0,235.36799999999928,-1.1259760339411762,49824.515044656204,False,False
OrbBreakout_DJI30_Paper,DJI30,setup_nasdaq_orb_m1_DJI30_M1_BUY_20251218_153700,BUY,2025-12-18 15:37:00+00:00,2025-12-18 15:38:00+00:00,2025-12-18 17:09:00+00:00,48323.200000000004,48035.66,49463.86,48035.66,SL,0.17,-244.40900000000076,0.0,-0.0,244.40900000000076,-1.0,49580.106044656204,False,False
