task,symbol,setup_id,direction,signal_time,entry_time,exit_time,entry,stop,target,exit,exit_reason,volume,pnl_usd,swap_usd,commission_usd,risk_usd,r,balance_after,closed_on_entry_bar,both_levels_touched
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250922_134900,BUY,2025-09-22 13:49:00+00:00,2025-09-22 13:50:00+00:00,2025-09-24 00:00:00+00:00,45566.01,45458.49,45933.49,45458.49,SL,10.0,-78.74580871811297,-5.9071890749869205,-0.0,72.69039651151276,-1.0833041570441997,49921.254191281885,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250922_134900_sar,SELL,2025-09-24 00:00:00+00:00,2025-09-24 00:00:00+00:00,2025-09-24 00:00:00+00:00,45458.49,45566.01,45404.729999999996,45404.729999999996,TP,10.0,36.419309821563026,0.0,-0.0,72.83861964312605,0.5,49957.67350110345,True,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250925_140100,BUY,2025-09-25 14:01:00+00:00,2025-09-25 14:02:00+00:00,2025-09-26 09:01:00+00:00,45461.01,45251.01,46238.41,45251.01,SL,10.0,-143.11310225676127,-2.90933945482249,-0.0,141.0569870227572,-1.0145764862655995,49814.56039884668,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250925_140100_sar,SELL,2025-09-26 09:01:00+00:00,2025-09-26 09:01:00+00:00,2025-09-26 13:49:00+00:00,45251.01,45461.01,45146.01,45461.01,SL,10.0,-140.20376280193878,0.0,-0.0,140.20376280193878,-1.0,49674.356636044744,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250926_134800,BUY,2025-09-26 13:48:00+00:00,2025-09-26 13:50:00+00:00,2025-09-26 14:07:00+00:00,45450.99,45333.49,45871.09,45333.49,SL,10.0,-78.44734347251337,0.0,-0.0,78.44734347251337,-1.0,49595.90929257223,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250926_134800_sar,SELL,2025-09-26 14:07:00+00:00,2025-09-26 14:07:00+00:00,2025-09-26 14:24:00+00:00,45333.49,45450.99,45274.74,45274.74,TP,10.0,39.223671736256684,0.0,-0.0,78.44734347251337,0.5,49635.13296430848,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250930_134600,BUY,2025-09-30 13:46:00+00:00,2025-09-30 13:48:00+00:00,2025-09-30 14:09:00+00:00,44679.99,44574.99,44974.99,44574.99,SL,10.0,-70.66757300633316,0.0,-0.0,70.66757300633316,-1.0,49564.46539130215,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20250930_134600_sar,SELL,2025-09-30 14:09:00+00:00,2025-09-30 14:09:00+00:00,2025-09-30 15:04:00+00:00,44574.99,44679.99,44522.49,44679.99,SL,10.0,-70.66757300633316,0.0,-0.0,70.66757300633316,-1.0,49493.79781829581,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251001_142000,BUY,2025-10-01 14:20:00+00:00,2025-10-01 14:22:00+00:00,2025-10-03 00:35:00+00:00,44805.01,44632.49,45369.99,45369.99,TP,10.0,377.9041153963958,-5.830398839637095,-0.0,116.66136961476056,3.239325208029973,49871.70193369221,False,False
OrbBreakout_JP225_Demo,JP225,setup_nasdaq_orb_m1_JP225_M1_BUY_20251003_134800,BUY,2025-10-03 13:48:00+00:00,2025-10-03 13:50:00+00:00,2025-10-03 17:51:00+00:00,46065.01,45917.49,46617.59,45917.49,SL,10.0,-100.19560965007885,0.0,-0.0,100.19560965007885,-1.0,49771.50632404213,False,False
